Umlauf_ID;Name;Uhrzeit;Richtung;Type
1;Arheilgen Kornweg,3;05:55:00;1;W
1;Arheilgen Auf der Hardt,1;05:56:00;1;W
1;Arheilgen Stadtteilschule,1;05:57:00;1;W
1;Arheilgen Thomas-Mann-Platz,1;05:58:00;1;W
1;Arheilgen Kreuzkirche,1;05:59:00;1;W
1;Arheilgen Fuchsstraße,3;06:00:00;1;W
1;Arheilgen Wechslerstraße,1;06:01:00;1;W
1;Arheilgen Fritz-Meister-Anlage,1;06:03:00;1;W
1;Arheilgen Asternweg,1;06:04:00;1;W
1;Arheilgen Bahnhof,1;06:05:00;1;W
1;Arheilgen Bahnhof,1;06:10:00;2;W
1;Arheilgen Asternweg,2;06:11:00;2;W
1;Arheilgen Fritz-Meister-Anlage,2;06:13:00;2;W
1;Arheilgen Wechslerstraße,2;06:14:00;2;W
1;Arheilgen Fuchsstraße,4;06:15:00;2;W
1;Arheilgen Kreuzkirche,2;06:17:00;2;W
1;Arheilgen Thomas-Mann-Platz,2;06:18:00;2;W
1;Arheilgen Stadtteilschule,2;06:18:00;2;W
1;Arheilgen Auf der Hardt,2;06:19:00;2;W
1;Arheilgen Kornweg,3;06:21:00;2;W
2;Arheilgen Kornweg,3;06:25:00;1;W
2;Arheilgen Auf der Hardt,1;06:26:00;1;W
2;Arheilgen Stadtteilschule,1;06:27:00;1;W
2;Arheilgen Thomas-Mann-Platz,1;06:28:00;1;W
2;Arheilgen Kreuzkirche,1;06:29:00;1;W
2;Arheilgen Fuchsstraße,3;06:30:00;1;W
2;Arheilgen Wechslerstraße,1;06:31:00;1;W
2;Arheilgen Fritz-Meister-Anlage,1;06:33:00;1;W
2;Arheilgen Asternweg,1;06:34:00;1;W
2;Arheilgen Bahnhof,1;06:35:00;1;W
2;Arheilgen Bahnhof,1;06:40:00;2;W
2;Arheilgen Asternweg,2;06:41:00;2;W
2;Arheilgen Fritz-Meister-Anlage,2;06:43:00;2;W
2;Arheilgen Wechslerstraße,2;06:44:00;2;W
2;Arheilgen Fuchsstraße,4;06:45:00;2;W
2;Arheilgen Kreuzkirche,2;06:47:00;2;W
2;Arheilgen Thomas-Mann-Platz,2;06:48:00;2;W
2;Arheilgen Stadtteilschule,2;06:48:00;2;W
2;Arheilgen Auf der Hardt,2;06:49:00;2;W
2;Arheilgen Kornweg,3;06:51:00;2;W
3;Arheilgen Kornweg,3;06:55:00;1;W
3;Arheilgen Auf der Hardt,1;06:56:00;1;W
3;Arheilgen Stadtteilschule,1;06:57:00;1;W
3;Arheilgen Thomas-Mann-Platz,1;06:58:00;1;W
3;Arheilgen Kreuzkirche,1;06:59:00;1;W
3;Arheilgen Fuchsstraße,3;07:00:00;1;W
3;Arheilgen Wechslerstraße,1;07:01:00;1;W
3;Arheilgen Fritz-Meister-Anlage,1;07:03:00;1;W
3;Arheilgen Asternweg,1;07:04:00;1;W
3;Arheilgen Bahnhof,1;07:05:00;1;W
3;Arheilgen Bahnhof,1;07:10:00;2;W
3;Arheilgen Asternweg,2;07:11:00;2;W
3;Arheilgen Fritz-Meister-Anlage,2;07:13:00;2;W
3;Arheilgen Wechslerstraße,2;07:14:00;2;W
3;Arheilgen Fuchsstraße,4;07:15:00;2;W
3;Arheilgen Kreuzkirche,2;07:17:00;2;W
3;Arheilgen Thomas-Mann-Platz,2;07:18:00;2;W
3;Arheilgen Stadtteilschule,2;07:18:00;2;W
3;Arheilgen Auf der Hardt,2;07:19:00;2;W
