Umlauf_ID;Name;Uhrzeit;Richtung;Type
1;Da Kongresszentr. darmstadtium,1;04:02:00;1;W
1;Darmstadt Luisenplatz,8;04:06:00;1;W
1;Darmstadt Hauptbahnhof,20;04:15:00;1;W
1;Ffm Flughafen Terminal 1,14;04:41:00;1;W
1;Ffm Flughafen Terminal 1,14;04:44:00;2;W
1;Ffm Flughafen Tor 3,2;04:47:00;2;W
1;Ffm Hugo-Eckener-Ring,41;04:50:00;2;W
1;Darmstadt Hauptbahnhof,11;05:16:00;2;W
1;Darmstadt Luisenplatz,7;05:22:00;2;W
1;Da Kongresszentr. darmstadtium,1;05:25:00;2;W
1;Da Kongresszentr. darmstadtium,1;05:32:00;1;W
1;Darmstadt Luisenplatz,8;05:36:00;1;W
1;Darmstadt Hauptbahnhof,20;05:45:00;1;W
1;Ffm Flughafen Terminal 1,14;06:11:00;1;W
1;Ffm Flughafen Terminal 1,14;06:14:00;2;W
1;Ffm Flughafen Tor 3,2;06:17:00;2;W
1;Ffm Hugo-Eckener-Ring,41;06:20:00;2;W
1;Darmstadt Hauptbahnhof,11;06:46:00;2;W
1;Darmstadt Luisenplatz,7;06:52:00;2;W
1;Da Kongresszentr. darmstadtium,1;06:55:00;2;W
1;Da Kongresszentr. darmstadtium,1;07:02:00;1;W
1;Darmstadt Luisenplatz,8;07:06:00;1;W
1;Darmstadt Hauptbahnhof,20;07:15:00;1;W
1;Ffm Flughafen Terminal 1,14;07:41:00;1;W
1;Ffm Flughafen Terminal 1,14;07:44:00;2;W
1;Ffm Flughafen Tor 3,2;07:47:00;2;W
1;Ffm Hugo-Eckener-Ring,41;07:50:00;2;W
1;Darmstadt Hauptbahnhof,11;08:16:00;2;W
1;Darmstadt Luisenplatz,7;08:22:00;2;W
1;Da Kongresszentr. darmstadtium,1;08:25:00;2;W
1;Da Kongresszentr. darmstadtium,1;08:32:00;1;W
1;Darmstadt Luisenplatz,8;08:36:00;1;W
1;Darmstadt Hauptbahnhof,20;08:45:00;1;W
1;Ffm Flughafen Terminal 1,14;09:11:00;1;W
1;Ffm Flughafen Terminal 1,14;09:14:00;2;W
1;Ffm Flughafen Tor 3,2;09:17:00;2;W
1;Ffm Hugo-Eckener-Ring,41;09:20:00;2;W
1;Darmstadt Hauptbahnhof,11;09:46:00;2;W
