Umlauf_ID;Name;Uhrzeit;Richtung;Type
1;Eberstadt Wartehalle,3;05:00:00;2;W
1;Eberstadt Heinrich-Delp-Straße,2;05:02:00;2;W
1;Eberstadt Schwimmbad,2;05:03:00;2;W
1;Eberstadt Kaisermühle,2;05:05:00;2;W
1;Eberstadt Kühler Grund,2;05:06:00;2;W
1;Eberstadt Kühler Grund,4;05:06:00;2;W
1;Eberstadt Kinderheim,2;05:07:00;2;W
1;Eberst. Frankenbergers Mühle,2;05:08:00;2;W
1;Nd.-Beerbach Haus Burgwald,2;05:09:00;2;W
1;Nieder-Beerbach Waldmühle,2;05:10:00;2;W
1;Nieder-Beerbach Burgweg,2;05:10:00;2;W
1;Nd.-Beerbach Am Wingertsberg,2;05:11:00;2;W
1;Nieder-Beerbach Untergasse,2;05:12:00;2;W
1;Nd.-Beerbach Quergasse,2;05:13:00;2;W
1;Ober-Beerbach Eberstädter Str.,2;05:16:00;2;W
1;Ob.-Beerbach Ernsth. Str.,1;05:18:00;2;W
1;Ober-Beerbach Eberstädter Str.,1;05:20:00;2;W
1;Seeheim Altes Rathaus,2;05:24:00;2;W
1;Seeheim Neues Rathaus,4;05:26:00;2;W
1;Seeheim Im Bangert,2;05:28:00;2;W
1;Seeheim Tannenstraße,2;05:29:00;2;W
1;Seeheim Gewerbegebiet,2;05:30:00;2;W
2;Bickenbach Bürgerhaus,2;05:36:00;2;W
2;Bickenbach Hartenauer Straße,11;05:37:00;2;W
2;Bickenbach Bahnhof,1;05:39:00;2;W
2;Bickenbach Bahnhof,1;06:13:00;1;W
2;Bickenbach Pfungstädter Straße,1;06:15:00;1;W
2;Bickenbach Bürgerhaus,1;06:16:00;1;W
3;Seeheim Gewerbegebiet,1;06:23:00;1;W
3;Seeheim Tannenstraße,1;06:24:00;1;W
3;Seeheim Im Bangert,1;06:25:00;1;W
3;Seeheim Neues Rathaus,3;06:27:00;1;W
3;Seeheim Altes Rathaus,1;06:29:00;1;W
3;Ober-Beerbach Eberstädter Str.,2;06:33:00;1;W
3;Ob.-Beerbach Ernsth. Str.,1;06:35:00;1;W
3;Ober-Beerbach Eberstädter Str.,1;06:37:00;1;W
3;Nd.-Beerbach Quergasse,1;06:41:00;1;W
3;Nieder-Beerbach Untergasse,1;06:41:00;1;W
3;Nd.-Beerbach Am Wingertsberg,1;06:42:00;1;W
3;Nieder-Beerbach Burgweg,1;06:43:00;1;W
3;Nieder-Beerbach Waldmühle,1;06:44:00;1;W
3;Nd.-Beerbach Haus Burgwald,1;06:45:00;1;W
3;Eberst. Frankenbergers Mühle,1;06:45:00;1;W
3;Eberstadt Kinderheim,1;06:46:00;1;W
3;Eberstadt Kühler Grund,3;06:47:00;1;W
3;Eberstadt Kühler Grund,1;06:48:00;1;W
3;Eberstadt Kaisermühle,1;06:49:00;1;W
3;Eberstadt Schwimmbad,1;06:51:00;1;W
3;Eberstadt Heinrich-Delp-Straße,1;06:53:00;1;W
3;Eberstadt Wartehalle,3;06:55:00;1;W
3;Eberstadt Wartehalle,3;07:00:00;2;W
3;Eberstadt Heinrich-Delp-Straße,2;07:02:00;2;W
3;Eberstadt Schwimmbad,2;07:03:00;2;W
3;Eberstadt Kaisermühle,2;07:05:00;2;W
3;Eberstadt Kühler Grund,2;07:06:00;2;W
3;Eberstadt Kühler Grund,4;07:06:00;2;W
3;Eberstadt Kinderheim,2;07:07:00;2;W
3;Eberst. Frankenbergers Mühle,2;07:08:00;2;W
3;Nd.-Beerbach Haus Burgwald,2;07:09:00;2;W
3;Nieder-Beerbach Waldmühle,2;07:10:00;2;W
3;Nieder-Beerbach Burgweg,2;07:10:00;2;W
3;Nd.-Beerbach Am Wingertsberg,2;07:11:00;2;W
3;Nieder-Beerbach Untergasse,2;07:12:00;2;W
3;Nd.-Beerbach Quergasse,2;07:13:00;2;W
3;Ober-Beerbach Eberstädter Str.,2;07:16:00;2;W
3;Ob.-Beerbach Ernsth. Str.,1;07:18:00;2;W
3;Ober-Beerbach Eberstädter Str.,1;07:20:00;2;W
3;Seeheim Altes Rathaus,2;07:24:00;2;W
3;Seeheim Neues Rathaus,4;07:26:00;2;W
4;Seeheim Schuldorf,2;07:32:00;2;W
4;Bickenbach Bürgerhaus,2;07:36:00;2;W
4;Bickenbach Hartenauer Straße,11;07:37:00;2;W
4;Bickenbach Bahnhof,1;07:39:00;2;W
4;Bickenbach Bahnhof,1;07:41:00;1;W
4;Bickenbach Pfungstädter Straße,1;07:43:00;1;W
4;Bickenbach Bürgerhaus,1;07:44:00;1;W
5;Seeheim Schuldorf,3;07:48:00;1;W
