Umlauf_ID;Name;Uhrzeit;Richtung;Type
1;Seeheim Schuldorf,1;11:41:00;2;W
1;Jugenheim Ludwigstraße,6;11:44:00;2;W
1;Jugenheim Kreiskrankenhaus,2;11:45:00;2;W
1;Balkhausen Schelleklingenweg,2;11:49:00;2;W
1;Balkhausen Feuerwehr,2;11:50:00;2;W
1;Balkhausen Bürgerhalle,1;11:51:00;2;W
1;Balkhausen Feuerwehr,1;11:52:00;2;W
1;Balkhausen Schelleklingenweg,1;11:53:00;2;W
1;Jugenh. Balkhäuser Tal Anw. 36,1;11:55:00;2;W
1;Jugenheim Stettbacher Tal 36,2;11:58:00;2;W
1;Jugenheim Fischteiche,2;11:59:00;2;W
1;Jugenheim Brandhof,2;12:00:00;2;W
1;Stettbach Talstraße,2;12:02:00;2;W
2;Stettbach Talstraße,1;12:17:00;1;W
2;Jugenheim Brandhof,1;12:19:00;1;W
2;Jugenheim Fischteiche,1;12:20:00;1;W
2;Jugenheim Stettbacher Tal 36,1;12:21:00;1;W
2;Balkhausen Schelleklingenweg,2;12:26:00;1;W
2;Balkhausen Feuerwehr,2;12:27:00;1;W
2;Balkhausen Bürgerhalle,1;12:28:00;1;W
2;Balkhausen Feuerwehr,1;12:29:00;1;W
2;Balkhausen Schelleklingenweg,1;12:30:00;1;W
2;Jugenh. Balkhäuser Tal Anw. 36,1;12:32:00;1;W
2;Jugenheim Kreiskrankenhaus,1;12:34:00;1;W
2;Jugenheim Ludwigstraße,7;12:35:00;1;W
2;Seeheim Schuldorf,1;12:36:00;1;W
2;Seeheim Schuldorf,1;12:41:00;2;W
2;Jugenheim Ludwigstraße,6;12:44:00;2;W
2;Jugenheim Kreiskrankenhaus,2;12:45:00;2;W
2;Balkhausen Schelleklingenweg,2;12:49:00;2;W
2;Balkhausen Feuerwehr,2;12:50:00;2;W
2;Balkhausen Bürgerhalle,1;12:51:00;2;W
2;Balkhausen Feuerwehr,1;12:52:00;2;W
2;Balkhausen Schelleklingenweg,1;12:53:00;2;W
2;Jugenh. Balkhäuser Tal Anw. 36,1;12:55:00;2;W
2;Jugenheim Stettbacher Tal 36,2;12:58:00;2;W
2;Jugenheim Fischteiche,2;12:59:00;2;W
2;Jugenheim Brandhof,2;13:00:00;2;W
2;Stettbach Talstraße,2;13:02:00;2;W
3;Stettbach Talstraße,1;13:17:00;1;W
3;Jugenheim Brandhof,1;13:19:00;1;W
3;Jugenheim Fischteiche,1;13:20:00;1;W
3;Jugenheim Stettbacher Tal 36,1;13:21:00;1;W
3;Balkhausen Schelleklingenweg,2;13:26:00;1;W
3;Balkhausen Feuerwehr,2;13:27:00;1;W
3;Balkhausen Bürgerhalle,1;13:28:00;1;W
3;Balkhausen Feuerwehr,1;13:29:00;1;W
3;Balkhausen Schelleklingenweg,1;13:30:00;1;W
3;Jugenh. Balkhäuser Tal Anw. 36,1;13:32:00;1;W
3;Jugenheim Kreiskrankenhaus,1;13:34:00;1;W
3;Jugenheim Ludwigstraße,7;13:35:00;1;W
3;Seeheim Schuldorf,1;13:36:00;1;W
3;Seeheim Schuldorf,1;13:41:00;2;W
3;Jugenheim Ludwigstraße,6;13:44:00;2;W
3;Jugenheim Kreiskrankenhaus,2;13:45:00;2;W
3;Balkhausen Schelleklingenweg,2;13:49:00;2;W
3;Balkhausen Feuerwehr,2;13:50:00;2;W
3;Balkhausen Bürgerhalle,1;13:51:00;2;W
3;Balkhausen Feuerwehr,1;13:52:00;2;W
3;Balkhausen Schelleklingenweg,1;13:53:00;2;W
3;Jugenh. Balkhäuser Tal Anw. 36,1;13:55:00;2;W
3;Jugenheim Stettbacher Tal 36,2;13:58:00;2;W
3;Jugenheim Fischteiche,2;13:59:00;2;W
3;Jugenheim Brandhof,2;14:00:00;2;W
3;Stettbach Talstraße,2;14:02:00;2;W
4;Stettbach Talstraße,1;14:17:00;1;W
4;Jugenheim Brandhof,1;14:19:00;1;W
4;Jugenheim Fischteiche,1;14:20:00;1;W
4;Jugenheim Stettbacher Tal 36,1;14:21:00;1;W
4;Balkhausen Schelleklingenweg,2;14:26:00;1;W
4;Balkhausen Feuerwehr,2;14:27:00;1;W
4;Balkhausen Bürgerhalle,1;14:28:00;1;W
4;Balkhausen Feuerwehr,1;14:29:00;1;W
4;Balkhausen Schelleklingenweg,1;14:30:00;1;W
4;Jugenh. Balkhäuser Tal Anw. 36,1;14:32:00;1;W
4;Jugenheim Kreiskrankenhaus,1;14:34:00;1;W
4;Jugenheim Ludwigstraße,7;14:35:00;1;W
4;Seeheim Schuldorf,1;14:36:00;1;W
4;Seeheim Schuldorf,1;15:11:00;2;W
4;Jugenheim Ludwigstraße,6;15:14:00;2;W
4;Jugenheim Kreiskrankenhaus,2;15:15:00;2;W
4;Balkhausen Schelleklingenweg,2;15:19:00;2;W
4;Balkhausen Feuerwehr,2;15:20:00;2;W
4;Balkhausen Bürgerhalle,1;15:21:00;2;W
4;Balkhausen Feuerwehr,1;15:22:00;2;W
4;Balkhausen Schelleklingenweg,1;15:23:00;2;W
4;Jugenh. Balkhäuser Tal Anw. 36,1;15:25:00;2;W
4;Jugenheim Stettbacher Tal 36,2;15:28:00;2;W
4;Jugenheim Fischteiche,2;15:29:00;2;W
4;Jugenheim Brandhof,2;15:30:00;2;W
