Umlauf_ID;Name;Uhrzeit;Richtung;Type
1;Darmstadt Schloss,3;04:57:00;2;W
1;Darmstadt Luisenplatz,6;05:00:00;2;W
1;Darmstadt Berliner Allee,1;05:03:00;2;W
1;Darmstadt Heinrich-Hertz-Str.,2;05:06:00;2;W
1;Darmstadt Hochschule West,12;05:07:00;2;W
1;Darmstadt Philipp-Röth-Weg,2;05:10:00;2;W
1;Darmstadt Haardtring,2;05:12:00;2;W
1;Darmstadt Südbahnhof,2;05:13:00;2;W
1;Darmstadt Pulverhäuserweg,2;05:16:00;2;W
1;Darmstadt Anne-Frank-Straße,2;05:19:00;2;W
1;Darmstadt Anne-Frank-Straße,2;05:25:00;1;W
1;Darmstadt Pulverhäuserweg,1;05:29:00;1;W
1;Darmstadt Südbahnhof,1;05:32:00;1;W
1;Darmstadt Haardtring,1;05:34:00;1;W
1;Darmstadt Holzhofallee,1;05:36:00;1;W
1;Darmstadt Berliner Allee,2;05:40:00;1;W
1;Darmstadt Luisenplatz,1;05:45:00;1;W
1;Darmstadt Schloss,4;05:46:00;1;W
1;Darmstadt Alexanderstraße/TU,1;05:48:00;1;W
1;Darmstadt Am Karlshof,1;05:51:00;1;W
1;Darmstadt Schwarzer Weg,1;05:53:00;1;W
1;Kranichstein Siemensstraße,2;05:56:00;1;W
1;Kranichstein Kesselhutweg,1;05:59:00;1;W
1;Kranichstein Kesselhutweg,1;06:04:00;2;W
1;Kranichstein Siemensstraße,1;06:06:00;2;W
1;Darmstadt Schwarzer Weg,2;06:09:00;2;W
1;Darmstadt Am Karlshof,2;06:11:00;2;W
1;Darmstadt Alexanderstraße/TU,2;06:15:00;2;W
1;Darmstadt Schloss,3;06:17:00;2;W
1;Darmstadt Luisenplatz,6;06:20:00;2;W
1;Darmstadt Berliner Allee,1;06:23:00;2;W
1;Darmstadt Heinrich-Hertz-Str.,2;06:26:00;2;W
1;Darmstadt Hochschule West,12;06:27:00;2;W
1;Darmstadt Philipp-Röth-Weg,2;06:30:00;2;W
1;Darmstadt Haardtring,2;06:32:00;2;W
1;Darmstadt Südbahnhof,2;06:33:00;2;W
1;Darmstadt Pulverhäuserweg,2;06:36:00;2;W
1;Darmstadt Anne-Frank-Straße,2;06:39:00;2;W
1;Darmstadt Anne-Frank-Straße,2;06:45:00;1;W
1;Darmstadt Pulverhäuserweg,1;06:49:00;1;W
1;Darmstadt Südbahnhof,1;06:52:00;1;W
1;Darmstadt Haardtring,1;06:54:00;1;W
1;Darmstadt Holzhofallee,1;06:56:00;1;W
1;Darmstadt Berliner Allee,2;07:00:00;1;W
1;Darmstadt Luisenplatz,1;07:05:00;1;W
1;Darmstadt Schloss,4;07:06:00;1;W
1;Darmstadt Alexanderstraße/TU,1;07:08:00;1;W
1;Darmstadt Am Karlshof,1;07:11:00;1;W
1;Darmstadt Schwarzer Weg,1;07:13:00;1;W
1;Kranichstein Siemensstraße,2;07:16:00;1;W
1;Kranichstein Kesselhutweg,1;07:19:00;1;W
1;Kranichstein Kesselhutweg,1;07:24:00;2;W
1;Kranichstein Siemensstraße,1;07:26:00;2;W
1;Darmstadt Schwarzer Weg,2;07:29:00;2;W
1;Darmstadt Am Karlshof,2;07:31:00;2;W
1;Darmstadt Alexanderstraße/TU,2;07:35:00;2;W
1;Darmstadt Schloss,3;07:37:00;2;W
1;Darmstadt Luisenplatz,6;07:40:00;2;W
1;Darmstadt Berliner Allee,1;07:43:00;2;W
1;Darmstadt Heinrich-Hertz-Str.,2;07:46:00;2;W
1;Darmstadt Hochschule West,12;07:47:00;2;W
1;Darmstadt Philipp-Röth-Weg,2;07:50:00;2;W
1;Darmstadt Haardtring,2;07:52:00;2;W
1;Darmstadt Südbahnhof,2;07:53:00;2;W
1;Darmstadt Pulverhäuserweg,2;07:56:00;2;W
1;Darmstadt Anne-Frank-Straße,2;07:59:00;2;W
1;Darmstadt Anne-Frank-Straße,2;08:05:00;1;W
1;Darmstadt Pulverhäuserweg,1;08:09:00;1;W
1;Darmstadt Südbahnhof,1;08:12:00;1;W
1;Darmstadt Haardtring,1;08:14:00;1;W
1;Darmstadt Holzhofallee,1;08:16:00;1;W
1;Darmstadt Berliner Allee,2;08:20:00;1;W
1;Darmstadt Luisenplatz,1;08:25:00;1;W
1;Darmstadt Schloss,4;08:26:00;1;W
1;Darmstadt Alexanderstraße/TU,1;08:28:00;1;W
1;Darmstadt Am Karlshof,1;08:31:00;1;W
1;Darmstadt Schwarzer Weg,1;08:33:00;1;W
1;Kranichstein Siemensstraße,2;08:36:00;1;W
1;Kranichstein Kesselhutweg,1;08:39:00;1;W
1;Kranichstein Kesselhutweg,1;08:44:00;2;W
1;Kranichstein Siemensstraße,1;08:46:00;2;W
1;Darmstadt Schwarzer Weg,2;08:49:00;2;W
