Umlauf_ID;Name;Uhrzeit;Richtung;Type
1;Darmstadt Kleyerstraße,2;12:38:00;1;W
1;Darmstadt von Taxis,1;12:38:00;1;W
1;Darmstadt Hauptzollamt,1;12:39:00;1;W
1;Darmstadt Hilpertstraße,11;12:40:00;1;W
1;Darmstadt Hochschule West,1;12:44:00;1;W
1;Darmstadt Heinrich-Hertz-Str.,1;12:45:00;1;W
1;Darmstadt Hauptbahnhof,20;12:48:00;1;W
1;Darmstadt Hauptbahnhof,20;12:48:00;2;W
1;Darmstadt Kleyerstraße,2;12:56:00;2;W
1;Darmstadt Kleyerstraße,2;12:56:00;1;W
1;Darmstadt von Taxis,1;12:56:00;1;W
1;Darmstadt Hauptzollamt,1;12:57:00;1;W
1;Darmstadt Hilpertstraße,11;12:58:00;1;W
1;Darmstadt Hochschule West,1;13:02:00;1;W
1;Darmstadt Heinrich-Hertz-Str.,1;13:03:00;1;W
1;Darmstadt Hauptbahnhof,20;13:06:00;1;W
1;Darmstadt Hauptbahnhof,20;13:06:00;2;W
1;Darmstadt Kleyerstraße,2;13:14:00;2;W
1;Darmstadt Kleyerstraße,2;13:14:00;1;W
1;Darmstadt von Taxis,1;13:14:00;1;W
1;Darmstadt Hauptzollamt,1;13:15:00;1;W
1;Darmstadt Hilpertstraße,11;13:16:00;1;W
1;Darmstadt Hochschule West,1;13:20:00;1;W
1;Darmstadt Heinrich-Hertz-Str.,1;13:21:00;1;W
1;Darmstadt Hauptbahnhof,20;13:24:00;1;W
1;Darmstadt Hauptbahnhof,20;13:24:00;2;W
1;Darmstadt Kleyerstraße,2;13:32:00;2;W
1;Darmstadt Kleyerstraße,2;13:32:00;1;W
1;Darmstadt von Taxis,1;13:32:00;1;W
1;Darmstadt Hauptzollamt,1;13:33:00;1;W
1;Darmstadt Hilpertstraße,11;13:34:00;1;W
1;Darmstadt Hochschule West,1;13:38:00;1;W
1;Darmstadt Heinrich-Hertz-Str.,1;13:39:00;1;W
1;Darmstadt Hauptbahnhof,20;13:42:00;1;W
