Umlauf_ID;Name;Uhrzeit;Richtung;Type
1;1;10:27:00;1;W
1;8;10:27:00;1;W
1;4;10:45:00;2;W
1;4;10:47:00;2;W
1;4;10:53:00;2;W
1;4;10:56:00;2;W
1;4;11:02:00;3;W
1;4;11:07:00;3;W
1;4;11:10:00;3;W
1;4;11:11:00;3;W
2;8;10:40:00;1;W
2;4;11:15:00;2;W
2;4;11:17:00;2;W
2;4;11:23:00;2;W
2;4;11:26:00;2;W
2;4;11:32:00;3;W
2;4;11:37:00;3;W
2;4;11:40:00;3;W
2;4;11:41:00;3;W
3;4;11:45:00;2;W
3;4;11:47:00;2;W
3;4;11:53:00;2;W
3;4;11:56:00;2;W
3;4;12:02:00;3;W
3;4;12:07:00;3;W
3;4;12:10:00;3;W
3;4;12:11:00;3;W
4;4;12:15:00;2;W
4;4;12:17:00;2;W
4;4;12:23:00;2;W
4;4;12:26:00;2;W
4;4;12:32:00;3;W
4;4;12:37:00;3;W
4;4;12:40:00;3;W
4;4;12:41:00;3;W
5;4;12:45:00;2;W
5;4;12:47:00;2;W
5;4;12:53:00;2;W
5;4;12:56:00;2;W
5;4;13:02:00;3;W
5;4;13:07:00;3;W
5;4;13:10:00;3;W
5;4;13:11:00;3;W
6;4;13:15:00;2;W
6;4;13:17:00;2;W
6;4;13:23:00;2;W
6;4;13:26:00;2;W
6;4;13:32:00;3;W
6;4;13:37:00;3;W
6;4;13:40:00;3;W
6;4;13:41:00;3;W
7;4;13:45:00;2;W
7;4;13:47:00;2;W
7;4;13:53:00;2;W
7;4;13:56:00;2;W
7;4;14:02:00;3;W
7;4;14:07:00;3;W
7;4;14:10:00;3;W
7;4;14:11:00;3;W
8;4;14:15:00;2;W
8;4;14:17:00;2;W
8;4;14:23:00;2;W
8;4;14:26:00;2;W
8;4;14:32:00;3;W
8;4;14:37:00;3;W
8;4;14:40:00;3;W
8;4;14:41:00;3;W
9;4;14:45:00;2;W
9;4;14:47:00;2;W
9;4;14:53:00;2;W
9;4;14:56:00;2;W
9;4;15:02:00;3;W
9;4;15:07:00;3;W
9;4;15:10:00;3;W
9;4;15:11:00;3;W
10;4;15:15:00;2;W
10;4;15:17:00;2;W
10;4;15:23:00;2;W
10;4;15:26:00;2;W
10;4;15:32:00;3;W
10;4;15:37:00;3;W
10;4;15:40:00;3;W
10;4;15:41:00;3;W
10;9;17:41:00;3;W
10;1;17:54:00;1;W
11;4;15:45:00;2;W
11;4;15:47:00;2;W
11;4;15:53:00;2;W
11;4;15:56:00;2;W
11;4;16:02:00;3;W
11;4;16:07:00;3;W
11;4;16:10:00;3;W
11;4;16:11:00;3;W
11;9;17:54:00;3;W
12;4;16:15:00;2;W
12;4;16:17:00;2;W
12;4;16:23:00;2;W
12;4;16:26:00;2;W
12;4;16:32:00;3;W
12;4;16:37:00;3;W
12;4;16:40:00;3;W
12;4;16:41:00;3;W
13;4;16:45:00;2;W
13;4;16:47:00;2;W
13;4;16:53:00;2;W
13;4;16:56:00;2;W
13;4;17:02:00;3;W
13;4;17:07:00;3;W
13;4;17:10:00;3;W
13;4;17:11:00;3;W
14;4;17:15:00;2;W
14;4;17:17:00;2;W
14;4;17:23:00;2;W
14;4;17:26:00;2;W
14;4;17:32:00;3;W
14;4;17:37:00;3;W
14;4;17:40:00;3;W
14;4;17:41:00;3;W
