Umlauf_ID;Name;Uhrzeit;Richtung;Type
1;Darmstadt Böllenfalltor,3;06:47:00;1;W
1;Trautheim,1;06:50:00;1;W
1;Nd.-Ramstadt Mühltal Bf,12;06:52:00;1;W
1;Nieder-Ramstadt Wacker Fabrik,1;06:53:00;1;W
1;Ober-Ramstadt Roßdörfer Straße,1;06:57:00;1;W
1;Ober-Ramstadt Rathaus,1;06:59:00;1;W
1;Ober-Ramstadt Rondell,1;07:01:00;1;W
1;Modau Horeth,1;07:04:00;1;W
1;Modau Kirchstraße,1;07:05:00;1;W
1;Modau Modauhalle,1;07:06:00;1;W
1;Modau Neutscher Weg,1;07:08:00;1;W
1;Ernsthofen Schule,2;08:53:00;1;W
2;Ernsthofen Schule,3;07:13:00;1;W
2;Hoxhohl Mitte,1;08:57:00;1;W
2;Brandau Mitte,1;09:01:00;1;W
2;Brandau Feuerwehr,1;09:02:00;1;W
2;Brandau Feuerwehr,2;09:48:00;2;W
2;Brandau Mitte,2;09:49:00;2;W
3;Ernsthofen Schule,3;07:13:00;3;W
3;Lützelbach Alte Schule,1;07:26:00;3;W
3;Lützelbach Alte Schule,1;07:26:00;4;W
3;Neunkirchen Heilquelle,1;07:30:00;4;W
3;Brandau Lützelbacher Straße,1;07:34:00;4;W
3;Brandau Rathaus,1;07:36:00;4;W
3;Brandau Feuerwehr,2;07:37:00;4;W
3;Darmstadt Böllenfalltor,3;08:27:00;1;W
3;Trautheim,1;08:30:00;1;W
3;Nd.-Ramstadt Mühltal Bf,12;08:32:00;1;W
3;Nieder-Ramstadt Wacker Fabrik,1;08:33:00;1;W
3;Ober-Ramstadt Roßdörfer Straße,1;08:37:00;1;W
3;Ober-Ramstadt Rathaus,1;08:39:00;1;W
3;Ober-Ramstadt Rondell,1;08:41:00;1;W
3;Modau Horeth,1;08:44:00;1;W
3;Modau Kirchstraße,1;08:45:00;1;W
3;Modau Modauhalle,1;08:46:00;1;W
3;Modau Neutscher Weg,1;08:48:00;1;W
4;Brandau Feuerwehr,2;07:43:00;2;W
4;Brandau Mitte,2;07:44:00;2;W
4;Beedenkirchen Modaustraße,1;07:48:00;2;W
4;Allertshofen Alt Allertshofen,2;07:50:00;2;W
4;Hoxhohl Alt Hoxhohl,2;07:53:00;2;W
4;Hoxhohl Mitte,2;09:53:00;2;W
4;Ernsthofen Schule,1;09:57:00;2;W
4;Ernsthofen Mitte,2;09:58:00;2;W
4;Modau St.-Pankratius-Weg,2;10:02:00;2;W
5;Ernsthofen Schule,1;07:57:00;2;W
5;Ernsthofen Mitte,2;07:58:00;2;W
5;Modau St.-Pankratius-Weg,2;08:02:00;2;W
6;Modau Modauhalle,2;08:03:00;2;W
6;Modau Kirchstraße,2;08:04:00;2;W
6;Modau Horeth,2;08:05:00;2;W
6;Ober-Ramstadt Schlossmühle,2;08:06:00;2;W
6;Ober-Ramstadt Rondell,2;08:08:00;2;W
6;Ober-Ramstadt Alter Markt,2;08:09:00;2;W
6;Ober-Ramstadt Roßdörfer Straße,2;08:12:00;2;W
6;Ober-Ramstadt Waldmühle,2;08:14:00;2;W
6;Nieder-Ramstadt Wacker Fabrik,2;08:15:00;2;W
6;Nd.-Ramstadt Mühltal Bf,11;08:17:00;2;W
6;Trautheim,2;08:20:00;2;W
6;Darmstadt Böllenfalltor,3;08:23:00;2;W
7;Modau Modauhalle,2;10:03:00;2;W
7;Modau Kirchstraße,2;10:04:00;2;W
7;Modau Horeth,2;10:05:00;2;W
7;Ober-Ramstadt Schlossmühle,2;10:06:00;2;W
7;Ober-Ramstadt Rondell,2;10:08:00;2;W
7;Ober-Ramstadt Alter Markt,2;10:09:00;2;W
7;Ober-Ramstadt Roßdörfer Straße,2;10:12:00;2;W
7;Ober-Ramstadt Waldmühle,2;10:14:00;2;W
7;Nieder-Ramstadt Wacker Fabrik,2;10:15:00;2;W
