Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) (m/s²);Nachtverkehr (10%) (m/s²);Nebenverkehr (50%) (m/s²);Hauptverkehrszeit (100%) (m/s²)
0,0;2,8851263296026826;2,071162303247659;1,2;1,2;1,2;1,2
0,1;2,885126190536413;2,0711622024246137;1,2;1,2;1,2;1,2
0,2;2,885125773337605;2,0711618999554777;1,2;1,2;1,2;1,2
0,30000000000000004;2,8851250780062587;2,0711613958402517;1,2;1,2;1,2;1,2
0,4;2,8851241045423732;2,0711606900789348;1,2;1,2;1,2;1,2
0,5;2,885122852945949;2,0711597826715273;1,2;1,2;1,2;1,2
0,6000000000000001;2,8851213232169863;2,0711586736180294;1,2;1,2;1,2;1,2
0,7000000000000001;2,885119515355485;2,071157362918441;1,2;1,2;1,2;1,2
0,8;2,885117429361445;2,071155850572762;1,2;1,2;1,2;1,2
0,9;2,8851150652348663;2,0711541365809922;1,2;1,2;1,2;1,2
1,0;2,885112422975749;2,0711522209431323;1,2;1,2;1,2;1,2
1,1;2,885109502584093;2,0711501036591815;1,2;1,2;1,2;1,2
1,2000000000000002;2,8851063040598985;2,0711477847291406;1,2;1,2;1,2;1,2
1,3;2,885102827403165;2,071145264153009;1,2;1,2;1,2;1,2
1,4000000000000001;2,885099072613893;2,0711425419307865;1,2;1,2;1,2;1,2
1,5;2,8850950396920823;2,0711396180624737;1,2;1,2;1,2;1,2
1,6;2,885090728637733;2,071136492548071;1,2;1,2;1,2;1,2
1,7000000000000002;2,885086139450845;2,0711331653875766;1,2;1,2;1,2;1,2
1,8;2,885081272131418;2,0711296365809924;1,2;1,2;1,2;1,2
1,9000000000000001;2,8850761266794525;2,0711259061283176;1,2;1,2;1,2;1,2
2,0;2,8850707030949483;2,071121974029552;1,2;1,2;1,2;1,2
2,1;2,885065001377906;2,071117840284696;1,2;1,2;1,2;1,2
2,2;2,8850590215283245;2,0711135048937495;1,2;1,2;1,2;1,2
2,3000000000000003;2,8850527635462044;2,0711089678567127;1,2;1,2;1,2;1,2
2,4000000000000004;2,8850462274315456;2,071104229173585;1,2;1,2;1,2;1,2
2,5;2,8850394131843484;2,071099288844367;1,2;1,2;1,2;1,2
2,6;2,8850323208046125;2,0710941468690582;1,2;1,2;1,2;1,2
2,7;2,8850249502923377;2,071088803247659;1,2;1,2;1,2;1,2
2,8000000000000003;2,8850173016475242;2,0710832579801695;1,2;1,2;1,2;1,2
2,9000000000000004;2,8850093748701724;2,0710775110665893;1,2;1,2;1,2;1,2
3,0;2,8850011699602818;2,0710715625069183;1,2;1,2;1,2;1,2
3,1;2,8849926869178524;2,071065412301157;1,2;1,2;1,2;1,2
3,2;2,884983925742884;2,071059060449305;1,2;1,2;1,2;1,2
3,3000000000000003;2,8849748864353777;2,0710525069513626;1,2;1,2;1,2;1,2
3,4000000000000004;2,8849655689953315;2,07104575180733;1,2;1,2;1,2;1,2
3,5;2,8849559734227475;2,0710387950172064;1,2;1,2;1,2;1,2
3,6;2,884946099717625;2,0710316365809924;1,2;1,2;1,2;1,2
3,7;2,8849359478799634;2,071024276498688;1,2;1,2;1,2;1,2
3,8000000000000003;2,8849255179097635;2,071016714770293;1,2;1,2;1,2;1,2
3,9000000000000004;2,8849148098070247;2,0710089513958074;1,2;1,2;1,2;1,2
4,0;2,8849038235717472;2,071000986375231;1,2;1,2;1,2;1,2
4,1000000000000005;2,8848925592039314;2,0709928197085645;1,2;1,2;1,2;1,2
4,2;2,8848810167035768;2,070984451395807;1,2;1,2;1,2;1,2
4,3;2,884869196070683;2,0709758814369597;1,2;1,2;1,2;1,2
4,4;2,8848570973052508;2,0709671098320213;1,2;1,2;1,2;1,2
4,5;2,8848447204072802;2,0709581365809924;1,2;1,2;1,2;1,2
