Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) & 80 % Volllast (m/s²);Nachtverkehr (10%) & 80 % Volllast (m/s²);Hauptverkehrszeit (100%) & 80 % Volllast (m/s²)
0,0;4,1401457466195115;2,8851263296026826;1,2;1,2;1,2
0,1;4,140145647603509;2,8851262600695478;1,2;1,2;1,2
0,2;4,1401453505555;2,885126051470144;1,2;1,2;1,2
0,30000000000000004;4,140144855475484;2,88512570380447;1,2;1,2;1,2
0,4;4,140144162363461;2,885125217072528;1,2;1,2;1,2
0,5;4,140143271219432;2,8851245912743155;1,2;1,2;1,2
0,6000000000000001;4,140142182043397;2,8851238264098344;1,2;1,2;1,2
0,7000000000000001;4,140140894835355;2,8851229224790838;1,2;1,2;1,2
0,8;4,140139409595307;2,885121879482064;1,2;1,2;1,2
0,9;4,140137726323252;2,8851206974187744;1,2;1,2;1,2
1,0;4,140135845019191;2,8851193762892158;1,2;1,2;1,2
1,1;4,140133765683124;2,8851179160933875;1,2;1,2;1,2
1,2000000000000002;4,14013148831505;2,8851163168312906;1,2;1,2;1,2
1,3;4,14012901291497;2,8851145785029235;1,2;1,2;1,2
1,4000000000000001;4,140126339482883;2,8851127011082878;1,2;1,2;1,2
1,5;4,14012346801879;2,8851106846473824;1,2;1,2;1,2
1,6;4,140120398522691;2,885108529120208;1,2;1,2;1,2
1,7000000000000002;4,140117130994585;2,8851062345267637;1,2;1,2;1,2
1,8;4,140113665434472;2,8851038008670504;1,2;1,2;1,2
1,9000000000000001;4,140110001842353;2,8851012281410675;1,2;1,2;1,2
2,0;4,140106140218228;2,885098516348816;1,2;1,2;1,2
2,1;4,140102080562096;2,885095665490294;1,2;1,2;1,2
2,2;4,140097822873959;2,8850926755655038;1,2;1,2;1,2
2,3000000000000003;4,140093367153814;2,8850895465744433;1,2;1,2;1,2
2,4000000000000004;4,1400887134016635;2,8850862785171145;1,2;1,2;1,2
2,5;4,140083861617507;2,8850828713935153;1,2;1,2;1,2
2,6;4,1400788118013425;2,8850793252036473;1,2;1,2;1,2
2,7;4,140073563953172;2,88507563994751;1,2;1,2;1,2
2,8000000000000003;4,140068118072996;2,8850718156251034;1,2;1,2;1,2
2,9000000000000004;4,140062474160813;2,8850678522364275;1,2;1,2;1,2
3,0;4,140056632216624;2,885063749781482;1,2;1,2;1,2
3,1;4,140050592240429;2,8850595082602672;1,2;1,2;1,2
3,2;4,140044354232226;2,885055127672783;1,2;1,2;1,2
3,3000000000000003;4,140037918192018;2,88505060801903;1,2;1,2;1,2
3,4000000000000004;4,140031284119803;2,8850459492990073;1,2;1,2;1,2
3,5;4,140024452015581;2,8850411515127155;1,2;1,2;1,2
3,6;4,140017421879353;2,8850362146601536;1,2;1,2;1,2
3,7;4,140010193711119;2,8850311387413234;1,2;1,2;1,2
3,8000000000000003;4,140002767510879;2,885025923756223;1,2;1,2;1,2
3,9000000000000004;4,139995143278631;2,8850205697048534;1,2;1,2;1,2
4,0;4,139987321014378;2,885015076587215;1,2;1,2;1,2
4,1000000000000005;4,139979300718117;2,8850094444033068;1,2;1,2;1,2
4,2;4,1399710823898515;2,8850036731531294;1,2;1,2;1,2
4,3;4,139962666029579;2,8849977628366825;1,2;1,2;1,2
4,4;4,139954051637299;2,884991713453967;1,2;1,2;1,2
4,5;4,139945239213014;2,884985525004981;1,2;1,2;1,2
4,6000000000000005;4,1399362287567225;2,8849791974897263;1,2;1,2;1,2
4,7;4,1399270202684235;2,8849727309082027;1,2;1,2;1,2
4,800000000000001;4,139917613748119;2,884966125260409;1,2;1,2;1,2
4,9;4,139908009195808;2,8849593805463467;1,2;1,2;1,2
5,0;4,139898206611489;2,8849524967660143;1,2;1,2;1,2
5,1000000000000005;4,139888205995165;2,884945473919413;1,2;1,2;1,2
5,2;4,139878007346835;2,8849383120065424;1,2;1,2;1,2
5,300000000000001;4,1398676106664976;2,8849310110274025;1,2;1,2;1,2
5,4;4,139857015954155;2,884923570981993;1,2;1,2;1,2
5,5;4,139846223209805;2,884915991870314;1,2;1,2;1,2
5,6000000000000005;4,139835232433449;2,884908273692366;1,2;1,2;1,2
5,7;4,139824043625087;2,8849004164481484;1,2;1,2;1,2
5,800000000000001;4,139812656784717;2,8848924201376622;1,2;1,2;1,2
5,9;4,139801071912342;2,884884284760906;1,2;1,2;1,2
6,0;4,13978928900796;2,88487601031788;1,2;1,2;1,2
6,1000000000000005;4,139777308071571;2,8848675968085855;1,2;1,2;1,2
6,2;4,139765129103177;2,8848590442330213;1,2;1,2;1,2
6,300000000000001;4,139752752102775;2,8848503525911884;1,2;1,2;1,2
6,4;4,139740177070368;2,8848415218830854;1,2;1,2;1,2
6,5;4,139727404005955;2,8848325521087137;1,2;1,2;1,2
6,6000000000000005;4,139714432909535;2,884823443268072;1,2;1,2;1,2
6,7;4,139701263781108;2,884814195361161;1,2;1,2;1,2
6,800000000000001;4,139687896620674;2,8848048083879814;1,2;1,2;1,2
6,9;4,139674331428234;2,8847952823485317;1,2;1,2;1,2
7,0;4,139660568203788;2,8847856172428132;1,2;1,2;1,2
7,1000000000000005;4,139646606947336;2,8847758130708248;1,2;1,2;1,2
7,2;4,139632447658877;2,8847658698325676;1,2;1,2;1,2
7,300000000000001;4,139618090338412;2,8847557875280407;1,2;1,2;1,2
7,4;4,13960353498594;2,8847455661572448;1,2;1,2;1,2
7,5;4,139588781601462;2,8847352057201796;1,2;1,2;1,2
7,6000000000000005;4,139573830184977;2,8847247062168444;1,2;1,2;1,2
7,7;4,139558680736487;2,8847140676472405;1,2;1,2;1,2
7,800000000000001;4,139543333255989;2,884703290011367;1,2;1,2;1,2
7,9;4,139527787743485;2,8846923733092242;1,2;1,2;1,2
8,0;4,139512044198975;2,8846813175408124;1,2;1,2;1,2
8,1;4,139496102622458;2,884670122706131;1,2;1,2;1,2
8,200000000000001;4,139479963013936;2,88465878880518;1,2;1,2;1,2
8,3;4,1394636253734065;2,88464731583796;1,2;1,2;1,2
8,4;4,1394470897008695;2,8846357038044705;1,2;1,2;1,2
8,5;4,1394303559963275;2,884623952704712;1,2;1,2;1,2
8,6;4,139413424259779;2,8846120625386837;1,2;1,2;1,2
8,700000000000001;4,139396294491224;2,884600033306386;1,2;1,2;1,2
8,8;4,139378966690662;2,8845878650078194;1,2;1,2;1,2
8,9;4,139361440858094;2,8845755576429832;1,2;1,2;1,2
9,0;4,13934371699352;2,8845631112118775;1,2;1,2;1,2
9,1;4,139325795096939;2,884550525714503;1,2;1,2;1,2
9,200000000000001;4,139307675168352;2,884537801150859;1,2;1,2;1,2
9,3;4,139289357207758;2,8845249375209456;1,2;1,2;1,2
9,4;4,139270841215159;2,8845119348247628;1,2;1,2;1,2
9,5;4,139252127190551;2,8844987930623107;1,2;1,2;1,2
9,600000000000001;4,139233215133938;2,8844855122335895;1,2;1,2;1,2
9,700000000000001;4,139214105045319;2,8844720923385982;1,2;1,2;1,2
9,8;4,139194796924693;2,8844585333773383;1,2;1,2;1,2
9,9;4,139175290772061;2,884444835349809;1,2;1,2;1,2
10,0;4,139155586587423;2,88443099825601;1,2;1,2;1,2
10,100000000000001;4,139135684370777;2,8844170220959424;1,2;1,2;1,2
10,200000000000001;4,139115584122126;2,8844029068696044;1,2;1,2;1,2
10,3;4,139095285841468;2,8843886525769977;1,2;1,2;1,2
10,4;4,139074789528804;2,884374259218122;1,2;1,2;1,2
10,5;4,139054095184133;2,8843597267929764;1,2;1,2;1,2
10,600000000000001;4,139033202807457;2,8843450553015613;1,2;1,2;1,2
10,700000000000001;4,139012112398773;2,8843302447438774;1,2;1,2;1,2
10,8;4,138990823958083;2,884315295119924;1,2;1,2;1,2
10,9;4,138969337485387;2,884300206429701;1,2;1,2;1,2
11,0;4,138947652980684;2,884284978673209;1,2;1,2;1,2
11,100000000000001;4,138925770443975;2,8842696118504474;1,2;1,2;1,2
11,200000000000001;4,138903689875259;2,8842541059614164;1,2;1,2;1,2
11,3;4,138881411274537;2,8842384610061167;1,2;1,2;1,2
11,4;4,138858934641809;2,884222676984547;1,2;1,2;1,2
11,5;4,138836259977074;2,884206753896708;1,2;1,2;1,2
11,600000000000001;4,138813387280333;2,8841906917426003;1,2;1,2;1,2
11,700000000000001;4,138790316551585;2,8841744905222226;1,2;1,2;1,2
11,8;4,1387670477908305;2,884158150235576;1,2;1,2;1,2
11,9;4,138743580998071;2,8841416708826597;1,2;1,2;1,2
12,0;4,1387199161733035;2,884125052463474;1,2;1,2;1,2
12,100000000000001;4,13869605331653;2,8841082949780192;1,2;1,2;1,2
12,200000000000001;4,13867199242775;2,8840913984262952;1,2;1,2;1,2
12,3;4,138647733506964;2,8840743628083017;1,2;1,2;1,2
12,4;4,1386232765541715;2,8840571881240393;1,2;1,2;1,2
12,5;4,138598621569373;2,884039874373507;1,2;1,2;1,2
12,600000000000001;4,1385737685525665;2,8840224215567054;1,2;1,2;1,2
12,700000000000001;4,138548717503755;2,8840048296736343;1,2;1,2;1,2
12,8;4,138523468422937;2,883987098724295;1,2;1,2;1,2
12,9;4,138498021310112;2,883969228708685;1,2;1,2;1,2
13,0;4,138472376165281;2,883951219626806;1,2;1,2;1,2
