Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) (m/s²);Nachtverkehr (10%) (m/s²);Nebenverkehr (50%) (m/s²);Hauptverkehrszeit (100%) (m/s²)
0,0;2,990835943415023;2,071162303247659;1,2;1,2;1,2;1,2
0,1;2,9908357993821015;2,0711622024246137;1,2;1,2;1,2;1,2
0,2;2,9908353672833363;2,0711618999554777;1,2;1,2;1,2;1,2
0,30000000000000004;2,990834647118727;2,0711613958402517;1,2;1,2;1,2;1,2
0,4;2,990833638888274;2,0711606900789348;1,2;1,2;1,2;1,2
0,5;2,990832342591978;2,0711597826715273;1,2;1,2;1,2;1,2
0,6000000000000001;2,9908307582298383;2,0711586736180294;1,2;1,2;1,2;1,2
0,7000000000000001;2,9908288858018546;2,071157362918441;1,2;1,2;1,2;1,2
0,8;2,990826725308027;2,071155850572762;1,2;1,2;1,2;1,2
0,9;2,9908242767483566;2,0711541365809922;1,2;1,2;1,2;1,2
1,0;2,9908215401228424;2,0711522209431323;1,2;1,2;1,2;1,2
1,1;2,990818515431484;2,0711501036591815;1,2;1,2;1,2;1,2
1,2000000000000002;2,9908152026742822;2,0711477847291406;1,2;1,2;1,2;1,2
1,3;2,990811601851237;2,071145264153009;1,2;1,2;1,2;1,2
1,4000000000000001;2,990807712962348;2,0711425419307865;1,2;1,2;1,2;1,2
1,5;2,990803536007616;2,0711396180624737;1,2;1,2;1,2;1,2
1,6;2,99079907098704;2,071136492548071;1,2;1,2;1,2;1,2
1,7000000000000002;2,9907943179006202;2,0711331653875766;1,2;1,2;1,2;1,2
1,8;2,990789276748356;2,0711296365809924;1,2;1,2;1,2;1,2
1,9000000000000001;2,9907839475302493;2,0711259061283176;1,2;1,2;1,2;1,2
2,0;2,990778330246299;2,071121974029552;1,2;1,2;1,2;1,2
2,1;2,9907724248965044;2,071117840284696;1,2;1,2;1,2;1,2
2,2;2,9907662314808667;2,0711135048937495;1,2;1,2;1,2;1,2
2,3000000000000003;2,990759749999385;2,0711089678567127;1,2;1,2;1,2;1,2
2,4000000000000004;2,9907529804520605;2,071104229173585;1,2;1,2;1,2;1,2
2,5;2,9907459228388915;2,071099288844367;1,2;1,2;1,2;1,2
2,6;2,9907385771598793;2,0710941468690582;1,2;1,2;1,2;1,2
2,7;2,990730943415023;2,071088803247659;1,2;1,2;1,2;1,2
2,8000000000000003;2,9907230216043232;2,0710832579801695;1,2;1,2;1,2;1,2
2,9000000000000004;2,99071481172778;2,0710775110665893;1,2;1,2;1,2;1,2
3,0;2,9907063137853935;2,0710715625069183;1,2;1,2;1,2;1,2
3,1;2,9906975277771632;2,071065412301157;1,2;1,2;1,2;1,2
3,2;2,990688453703089;2,071059060449305;1,2;1,2;1,2;1,2
3,3000000000000003;2,9906790915631714;2,0710525069513626;1,2;1,2;1,2;1,2
3,4000000000000004;2,99066944135741;2,07104575180733;1,2;1,2;1,2;1,2
3,5;2,9906595030858054;2,0710387950172064;1,2;1,2;1,2;1,2
3,6;2,9906492767483566;2,0710316365809924;1,2;1,2;1,2;1,2
3,7;2,9906387623450645;2,071024276498688;1,2;1,2;1,2;1,2
3,8000000000000003;2,9906279598759284;2,071016714770293;1,2;1,2;1,2;1,2
3,9000000000000004;2,9906168693409487;2,0710089513958074;1,2;1,2;1,2;1,2
4,0;2,9906054907401263;2,071000986375231;1,2;1,2;1,2;1,2
4,1000000000000005;2,9905938240734593;2,0709928197085645;1,2;1,2;1,2;1,2
