Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Luisenplatz;49.8726857;8.6511984;;Bus Stop
Haltestelle;Kölner Straße (Bushalt Richtung Süd);49.8810682;8.6172229;;Bus Stop
Haltestelle;Oberwaldhaus;49.8905063;8.6971913;;Bus Stop
Haltestelle;Rodensteinweg/Altes Schalthaus;49.875512;8.6239325;;Bus Stop
Haltestelle;Haasstraße (nur Ausstieg);49.8856905;8.6185243;;Bus Stop
Haltestelle;Fasanerie;49.8842945;8.6856372;;Bus Stop
Haltestelle;Regerweg;49.8816848;8.6776702;;Bus Stop
Haltestelle;Im Harras (Bushalt Richtung Nord/West);49.878504;8.618731;;Bus Stop
Haltestelle;Spessartring;49.8795203;8.6711667;;Bus Stop
Haltestelle;Luisenplatz;49.8727447;8.6515174;;Bus Stop
Haltestelle;Schloss;49.8728863;8.6554564;;Bus Stop
Haltestelle;Schloss;49.8729745;8.6560323;;Bus Stop
Haltestelle;Hauptbahnhof;49.8723775;8.6315773;;Bus Stop
Haltestelle;Hauptbahnhof;49.8717225;8.6318654;;Bus Stop
Haltestelle;Fasanerie;49.8838885;8.6848225;;Bus Stop
Haltestelle;Moldenhauerweg (Bushalt Richtung Ost);49.875764;8.6196062;;Bus Stop
Haltestelle;Moldenhauerweg (Bushalt Richtung West);49.8757295;8.620247;;Bus Stop
Haltestelle;Pützerstraße/Mathildenhöhe (Bushalt Richtung Süd);49.874984;8.6627086;;Bus Stop
Haltestelle;Pützerstraße/Mathildenhöhe (Bushalt Richtung Nord);49.8750966;8.6626578;;Bus Stop
Haltestelle;Hauptbahnhof;49.8723017;8.6315902;;Bus Stop
Haltestelle;Alice-Hospital;49.8773459;8.6636046;;Bus Stop
Haltestelle;Hauptbahnhof;49.8715538;8.6320127;;Bus Stop
Haltestelle;Hauptbahnhof;49.8713891;8.6321536;;Bus Stop
Haltestelle;Im Harras (Bushalt Richtung Ost/Süd);49.8789297;8.61815;;Bus Stop
