Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Grube Prinz von Hessen;49.9029243;8.7349282;;Bus Stop
Haltestelle;Wagnerstraße;49.9733414;8.7990058;;Bus Stop
Haltestelle;Bahnhof;49.9747154;8.7989287;;Bus Stop
Haltestelle;Luisenplatz;49.8726857;8.6511984;;Bus Stop
Haltestelle;Kölner Straße (Bushalt Richtung Süd);49.8810682;8.6172229;;Bus Stop
Haltestelle;Oberwaldhaus;49.8905063;8.6971913;;Bus Stop
Haltestelle;Bienengarten;49.9647111;8.7899219;;Bus Stop
Haltestelle;Darmstädter Straße;49.9664396;8.7926818;;Bus Stop
Haltestelle;Rodensteinweg/Altes Schalthaus;49.875512;8.6239325;;Bus Stop
Haltestelle;Haasstraße;49.8856823;8.6204974;;Bus Stop
Haltestelle;Fasanerie;49.8842945;8.6856372;;Bus Stop
Haltestelle;Regerweg;49.8816848;8.6776702;;Bus Stop
Haltestelle;Im Harras (Bushalt Richtung Nord/West);49.878504;8.618731;;Bus Stop
Haltestelle;Spessartring;49.8795203;8.6711667;;Bus Stop
Haltestelle;Luisenplatz;49.8727447;8.6515174;;Bus Stop
Haltestelle;Schloss;49.8728863;8.6554564;;Bus Stop
Haltestelle;Schloss;49.8729745;8.6560323;;Bus Stop
Haltestelle;Hauptbahnhof;49.8723775;8.6315773;;Bus Stop
Haltestelle;Hauptbahnhof;49.8717225;8.6318654;;Bus Stop
Haltestelle;Am Mörsbach;49.940691;8.743778;;Bus Stop
Haltestelle;Grube Messel Besucherzentrum Abzweig;49.9099884;8.7506096;;Bus Stop
Haltestelle;Bahnhof;49.9220645;8.7449748;;Bus Stop
Haltestelle;Rathaus;49.9367562;8.7442385;;Bus Stop
Haltestelle;Sudetenstraße;49.9317607;8.7435268;;Bus Stop
Haltestelle;Bahnhof;49.9747465;8.7989525;;Bus Stop
Haltestelle;Am Mörsbach;49.9405836;8.7438993;;Bus Stop
Haltestelle;Fasanerie;49.8838885;8.6848225;;Bus Stop
Haltestelle;Moldenhauerweg (Bushalt Richtung Ost);49.875764;8.6196062;;Bus Stop
Haltestelle;Moldenhauerweg (Bushalt Richtung West);49.8757295;8.620247;;Bus Stop
Haltestelle;Pützerstraße/Mathildenhöhe (Bushalt Richtung Süd);49.874984;8.6627086;;Bus Stop
Haltestelle;Pützerstraße/Mathildenhöhe (Bushalt Richtung Nord);49.8750966;8.6626578;;Bus Stop
Haltestelle;Hauptbahnhof;49.8723017;8.6315902;;Bus Stop
Haltestelle;Hauptbahnhof;49.8715538;8.6320127;;Bus Stop
Haltestelle;Hauptbahnhof;49.8713891;8.6321536;;Bus Stop
Haltestelle;Im Harras (Bushalt Richtung Ost/Süd);49.8789297;8.61815;;Bus Stop
Haltestelle;Hauptbahnhof;49.8718677;8.6317402;;Bus Stop
Haltestelle;Alice-Hospital;49.8773254;8.66365;;Bus Stop
Haltestelle;Lucasweg/Hochzeitsturm;49.8786787;8.6673013;;Bus Stop
Haltestelle;Lucasweg/Hochzeitsturm;49.8786224;8.6667366;;Bus Stop
Haltestelle;Regerweg;49.8816193;8.6773896;;Bus Stop
Haltestelle;Spessartring;49.8792415;8.6702163;;Bus Stop
Haltestelle;Kölner Straße (Bushalt Richtung Nord);49.8809414;8.6172654;;Bus Stop
Haltestelle;Rodensteinweg/Altes Schalthaus;49.8755024;8.6241002;;Bus Stop
Haltestelle;Bahnhof;49.9746384;8.7991325;;Bus Stop
Haltestelle;Grube Prinz von Hessen;49.9028421;8.734799;;Bus Stop
Haltestelle;Einsiedel;49.9062542;8.7451164;;Bus Stop
Haltestelle;Einsiedel;49.9065274;8.745776;;Bus Stop
Haltestelle;Einsiedel;49.9064801;8.7458286;;Bus Stop
Haltestelle;Grube Messel Besucherzentrum Abzweig;49.9100069;8.7505643;;Bus Stop
Haltestelle;Grube Messel Am Wildpark;49.9190909;8.7470403;;Bus Stop
Haltestelle;Bahnhof;49.9220203;8.744869;;Bus Stop
Haltestelle;Darmstädter Straße;49.9664411;8.7926258;;Bus Stop
Haltestelle;Bienengarten;49.9647002;8.7897499;;Bus Stop
Haltestelle;Rathaus;49.9368052;8.7441507;;Bus Stop
Haltestelle;Sudetenstraße;49.9311057;8.7436275;;Bus Stop
Haltestelle;Sudetenstraße;49.9312425;8.7435857;;Bus Stop
Haltestelle;Grube Messel Am Wildpark;49.9190956;8.7471054;;Bus Stop
Haltestelle;Luisenplatz;49.8727306;8.6506233;;Bus Stop
Haltestelle;Darmstädter Straße;49.9671882;8.7940072;;Bus Stop
Haltestelle;Rhein-/Neckarstraße;49.8718184;8.6438651;;Bus Stop
Haltestelle;Rhein-/Neckarstraße;49.8717226;8.6431695;;Bus Stop
Haltestelle;Berliner Allee;49.8706918;8.6356895;;Bus Stop
Haltestelle;Berliner Allee;49.8707828;8.6363499;;Bus Stop
Routenpunkt (Way);Darmstädter Straße;49.9713378;8.7962472;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.9712353;8.7961657;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.9712208;8.7961565;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.971122199999996;8.79610975;50;Interpoliert
Routenpunkt (Way);Darmstädter Straße;49.9710236;8.796063;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.97092035;8.79602585;50;Interpoliert
Routenpunkt (Way);Darmstädter Straße;49.9708171;8.7959887;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.97069325;8.79596325;50;Interpoliert
Routenpunkt (Way);Darmstädter Straße;49.9705694;8.7959378;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.9704524;8.795909300000002;50;Interpoliert
Routenpunkt (Way);Darmstädter Straße;49.9703354;8.7958808;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.97025205;8.7958578;50;Interpoliert
Routenpunkt (Way);Darmstädter Straße;49.9701687;8.7958348;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.97007035;8.7958093;50;Interpoliert
Routenpunkt (Way);Darmstädter Straße;49.969972;8.7957838;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.96986585;8.7957452;50;Interpoliert
Routenpunkt (Way);Darmstädter Straße;49.9697597;8.7957066;50;Original OSM
Routenpunkt (Way);Darmstädter Straße;49.969664800000004;8.79566295;50;Interpoliert
Routenpunkt (Way);Darmstädter Straße;49.9695699;8.7956193;50;Original OSM
Routenpunkt (Way);Haasstraße;49.88474;8.6205518;30;Original OSM
Routenpunkt (Way);Haasstraße;49.884873166666665;8.620545833333333;30;Interpoliert
Routenpunkt (Way);Haasstraße;49.88500633333334;8.620539866666666;30;Interpoliert
Routenpunkt (Way);Haasstraße;49.8851395;8.6205339;30;Original OSM
Routenpunkt (Way);Haasstraße;49.8852722;8.6205253;30;Original OSM
Routenpunkt (Way);Haasstraße;49.885373200000004;8.620518433333334;30;Interpoliert
Routenpunkt (Way);Haasstraße;49.8854742;8.620511566666666;30;Interpoliert
Routenpunkt (Way);Haasstraße;49.8855752;8.6205047;30;Original OSM
Routenpunkt (Way);Haasstraße;49.8856823;8.6204974;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8790094;8.6178727;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8790989;8.617847633333334;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8791884;8.617822566666666;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8792779;8.6177975;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8793962;8.6177601;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8795145;8.6177227;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.879632799999996;8.6176853;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8797511;8.6176479;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.87987016666666;8.617610233333334;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.87998923333333;8.617572566666666;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8801083;8.617534899999999;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.88022736666667;8.617497233333333;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.88034643333333;8.617459566666668;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8804655;8.6174219;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8805886;8.6173793;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.880625;8.6173677;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8807114;8.6173402;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.880826400000004;8.617302800000001;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8809414;8.6172654;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8810682;8.6172229;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8811219;8.617207;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.88123924999999;8.617166825;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8813566;8.61712665;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.88147395;8.617086475;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8815913;8.6170463;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8816986;8.617011266666667;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.881805899999996;8.616976233333332;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8819132;8.6169412;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.8820382;8.61690045;30;Interpoliert
Routenpunkt (Way);Kölner Straße;49.8821632;8.6168597;30;Original OSM
Routenpunkt (Way);Kölner Straße;49.882251933333336;8.616830733333332;30;Interpoliert
