Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Jagdschloß;49.8988784;8.6937914;;Bus Stop
Haltestelle;Kesselhutweg;49.89586;8.6856115;;Bus Stop
Haltestelle;Jagdschloß;49.8989239;8.6937673;;Bus Stop
Haltestelle;Kreuzkirche;49.9057128;8.6609494;;Bus Stop
Haltestelle;Stadtteilschule Arheilgen;49.9031277;8.6630353;;Bus Stop
Haltestelle;Thomas-Mann-Platz;49.9033189;8.6604405;;Bus Stop
Haltestelle;Am Mörsbach;49.9405013;8.7439463;;Bus Stop
Haltestelle;Rathaus;49.9368345;8.7440642;;Bus Stop
Haltestelle;Sudetenstraße;49.9310969;8.7435204;;Bus Stop
Haltestelle;Am Mörsbach;49.9405836;8.7438993;;Bus Stop
Haltestelle;Fuchsstraße;49.9061792;8.6568858;;Bus Stop
Haltestelle;Rathaus;49.9368052;8.7441507;;Bus Stop
Haltestelle;Sudetenstraße;49.9311057;8.7436275;;Bus Stop
Haltestelle;Sudetenstraße;49.9312425;8.7435857;;Bus Stop
Haltestelle;Jagdschloß;49.8989448;8.6938687;;Bus Stop
Haltestelle;Siemensstraße;49.8963681;8.6801313;;Bus Stop
Routenpunkt (Way);Kranichsteiner Straße;49.896073;8.687918;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.89606353333333;8.687775566666666;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89605406666667;8.687633133333334;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.8960446;8.6874907;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.89603125;8.687312366666667;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.896017900000004;8.687134033333333;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89600455;8.686955699999999;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.8959912;8.686777366666666;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89597785;8.686599033333334;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.8959645;8.6864207;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.8959573;8.6863579;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.8959403;8.6861816;;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9309189;8.7436482;30;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9310078;8.7436567;30;Original OSM
