Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Hannah-Arendt-Weg;49.8495174;8.6211819;;Bus Stop
Haltestelle;Anne-Frank-Straße;49.8478254;8.6209834;;Bus Stop
Haltestelle;Pulverhäuserweg (Bushalt Richtung West);49.8506737;8.6277939;;Bus Stop
Haltestelle;Klausenburger Straße;49.8467921;8.6239159;;Bus Stop
Haltestelle;Buchenlandweg;49.8474952;8.6283711;;Bus Stop
Haltestelle;Kopernikusplatz;49.8780406;8.6615435;;Bus Stop
Haltestelle;Luisenplatz;49.8730369;8.6514501;;Bus Stop
Haltestelle;Schloss;49.8728863;8.6554564;;Bus Stop
Haltestelle;Schloss;49.8729745;8.6560323;;Bus Stop
Haltestelle;Hauptzollamt;49.861852;8.6234647;;Bus Stop
Haltestelle;Hauptzollamt;49.8618765;8.6236965;;Bus Stop
Haltestelle;Kleyerstraße;49.8588593;8.6236002;;Bus Stop
Haltestelle;Kopernikusplatz;49.8783205;8.6619386;;Bus Stop
Haltestelle;Alexanderstraße/TU;49.8758223;8.6606822;;Bus Stop
Haltestelle;Alfred-Messel-Weg;49.8859079;8.6727991;;Bus Stop
Haltestelle;Am Karlshof;49.8822342;8.6658908;;Bus Stop
Haltestelle;Peter-Behrens-Straße;49.8852662;8.6692299;;Bus Stop
Haltestelle;Fünfkirchner Straße;49.8508288;8.6219063;;Bus Stop
Haltestelle;Hochschule West;49.8659438;8.6315455;;Bus Stop
Haltestelle;Alexanderstraße/TU;49.8757411;8.6605019;;Bus Stop
Haltestelle;Pulverhäuserweg (Bushalt Richtung Nord und Ost);49.8503608;8.6282615;;Bus Stop
Haltestelle;Taunusplatz;49.8803108;8.664547;;Bus Stop
Haltestelle;Am Karlshof;49.882195;8.665871;;Bus Stop
Haltestelle;Peter-Behrens-Straße;49.8852704;8.6694052;;Bus Stop
Haltestelle;Rosa-Parks-Straße;49.8602148;8.6231547;;Bus Stop
Haltestelle;Rosa-Parks-Straße;49.8603173;8.623121;;Bus Stop
Haltestelle;Fünfkirchner Straße;49.8507416;8.6215778;;Bus Stop
Haltestelle;Fünfkirchner Straße;49.8508877;8.6218158;;Bus Stop
Haltestelle;Kongresszentrum darmstadtium;49.8737485;8.6562861;;Bus Stop
Haltestelle;Ersatzhaltestelle Hilpertstraße;49.8622462;8.6268388;;Bus Stop
Haltestelle;Halt;49.8622857;8.6267698;;Bus Stop
Haltestelle;Halt;49.862238;8.6264496;;Bus Stop
Haltestelle;Luisenplatz;49.8729466;8.6515978;;Bus Stop
Haltestelle;Willy-Brandt-Platz;49.8760631;8.6503173;;Bus Stop
Haltestelle;Klinikum;49.8755857;8.6472223;;Bus Stop
Haltestelle;Kasinostraße;49.8749999;8.6430445;;Bus Stop
Haltestelle;Kasinostraße;49.8751066;8.6438022;;Bus Stop
Haltestelle;Klinikum;49.8757429;8.64819;;Bus Stop
Haltestelle;Kirschenallee;49.8748146;8.6357336;;Bus Stop
Haltestelle;Kirschenallee;49.8748495;8.6351083;;Bus Stop
Haltestelle;Ersatzhaltestelle Hauptbahnhof;49.8724401;8.6327495;;Bus Stop
Routenpunkt (Way);Haardtring;49.8676023;8.6331566;50;Original OSM
Routenpunkt (Way);Haardtring;49.86765845;8.63329465;50;Interpoliert
Routenpunkt (Way);Haardtring;49.8677146;8.6334327;50;Original OSM
Routenpunkt (Way);Haardtring;49.867758800000004;8.63354045;50;Interpoliert
Routenpunkt (Way);Haardtring;49.867803;8.6336482;50;Original OSM
Routenpunkt (Way);Alexanderstraße;49.8742456;8.6561402;50;Original OSM
Routenpunkt (Way);Alexanderstraße;49.8743207;8.6561828;50;Interpoliert
Routenpunkt (Way);Alexanderstraße;49.8743958;8.6562254;50;Original OSM
Routenpunkt (Way);Alexanderstraße;49.8744401;8.6562577;50;Original OSM
