Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Südbahnhof;49.8550726;8.6381292;;Bus Stop
Haltestelle;Windmühle;49.8833755;8.6382576;;Bus Stop
Haltestelle;Schiebelhuthweg (Bussteig Nord);49.854098;8.6409664;;Bus Stop
Haltestelle;Landskronstraße (Bushalt West);49.8534054;8.6458251;;Bus Stop
Haltestelle;Böllenfalltor;49.8525511;8.6696371;;Bus Stop
Haltestelle;Ludwigshöhstraße (Bushalt Nordseite);49.8534213;8.6528941;;Bus Stop
Haltestelle;Ludwigshöhstraße (Bushalt Südseite);49.8534218;8.6531376;;Bus Stop
Haltestelle;Klappacher Straße;49.8530916;8.6574321;;Bus Stop
Haltestelle;Klappacher Straße;49.8531677;8.6573646;;Bus Stop
Haltestelle;Marienhospital;49.8511393;8.6623912;;Bus Stop
Haltestelle;Marienhospital;49.8511215;8.6625433;;Bus Stop
Haltestelle;Nordbahnhof;49.8916303;8.6535068;;Bus Stop
Haltestelle;Haardtring;49.8580741;8.6355163;;Bus Stop
Haltestelle;Philipp-Röth-Weg (Bushalt Richtung Nord);49.863216;8.6325915;;Bus Stop
Haltestelle;Mainzer Straße;49.8795852;8.6357244;;Bus Stop
Haltestelle;Daimlerweg;49.8899299;8.6408026;;Bus Stop
Haltestelle;Otto-Röhm-Straße;49.8880207;8.6328905;;Bus Stop
Haltestelle;Windmühle (Richtung Nordwest);49.8835022;8.6380937;;Bus Stop
Haltestelle;Windmühle (Richtung Südost);49.8833056;8.6383479;;Bus Stop
Haltestelle;Daimlerweg;49.8899164;8.6404719;;Bus Stop
Haltestelle;Wöhlerweg;49.8897622;8.6366878;;Bus Stop
Haltestelle;Wöhlerweg;49.8897474;8.6363239;;Bus Stop
Haltestelle;Evonik;49.8758881;8.6349479;;Bus Stop
Haltestelle;Hochschule West;49.8659438;8.6315455;;Bus Stop
Haltestelle;Ludwigshöhstraße;49.8534215;8.6530079;;Bus Stop
Haltestelle;Otto-Röhm-Straße;49.8879695;8.6330184;;Bus Stop
Haltestelle;Carl-Schenck-Ring;49.8885269;8.6465042;;Bus Stop
Haltestelle;Ersatzhaltestelle Hauptbahnhof;49.8724401;8.6327495;;Bus Stop
Routenpunkt (Way);Haardtring;49.8676023;8.6331566;50;Original OSM
Routenpunkt (Way);Haardtring;49.86765845;8.63329465;50;Interpoliert
Routenpunkt (Way);Haardtring;49.8677146;8.6334327;50;Original OSM
Routenpunkt (Way);Haardtring;49.867758800000004;8.63354045;50;Interpoliert
Routenpunkt (Way);Haardtring;49.867803;8.6336482;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8822335;8.6374055;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8821922;8.63735;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8821555;8.6373047;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8821107;8.6372555;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8820647;8.6372099;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8820209;8.6371737;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8819669;8.6371348;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8819142;8.6371037;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.8818001;8.63703712;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.881685999999995;8.63697054;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8815719;8.636903960000001;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8814578;8.636837380000001;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8813437;8.6367708;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8812296;8.63670422;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8811155;8.63663764;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8810014;8.636571060000001;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8808873;8.636504480000001;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8807732;8.6364379;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.880666;8.63637534;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8805588;8.63631278;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8804516;8.636250219999999;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.880344400000006;8.63618766;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8802372;8.6361251;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.88014076666667;8.6360698;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.88004433333333;8.6360145;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8799479;8.6359592;50;Original OSM
Routenpunkt (Way);Kirschenallee;49.879847299999994;8.6358897;50;Interpoliert
Routenpunkt (Way);Kirschenallee;49.8797467;8.6358202;50;Original OSM
Routenpunkt (Way);Goebelstraße;49.8705074;8.6331411;50;Original OSM
Routenpunkt (Way);Goebelstraße;49.8705897;8.6330953;50;Original OSM
Routenpunkt (Way);Goebelstraße;49.8707074;8.6330305;50;Original OSM
Routenpunkt (Way);Gräfenhäuser Straße;49.8881811;8.6329519;50;Original OSM
Routenpunkt (Way);Gräfenhäuser Straße;49.8882548;8.63297185;50;Interpoliert
Routenpunkt (Way);Gräfenhäuser Straße;49.8883285;8.6329918;50;Original OSM
Routenpunkt (Way);Martin-Luther-King-Ring;49.8896043;8.6526717;50;Original OSM
Routenpunkt (Way);Martin-Luther-King-Ring;49.8896219;8.65279;50;Original OSM
Routenpunkt (Way);Martin-Luther-King-Ring;49.8896286;8.6528353;50;Original OSM
Routenpunkt (Way);Martin-Luther-King-Ring;49.8896497;8.6529524;50;Original OSM
Routenpunkt (Way);Danziger Platz;49.8553282;8.6374521;50;Original OSM
