Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Gablonzer Straße;50.084762;8.6719994;;Bus Stop
Haltestelle;Stresemannallee/Mörfelder Landstraße;50.0897699;8.6720642;;Bus Stop
Haltestelle;Beuthener Straße;50.0915207;8.6748096;;Bus Stop
Haltestelle;Breslauer Straße;50.0927892;8.6771138;;Bus Stop
Haltestelle;Stresemannallee/Mörfelder Landstraße;50.0897039;8.6720868;;Bus Stop
Haltestelle;Lerchesberg;50.0831591;8.6809099;;Bus Stop
Haltestelle;Gablonzer Straße;50.0847817;8.6720323;;Bus Stop
Haltestelle;Karlsbader Straße;50.0868203;8.6715233;;Bus Stop
Haltestelle;Lerchesberg;50.0831904;8.6809289;;Bus Stop
Haltestelle;Lerchesbergring;50.0832675;8.6793631;;Bus Stop
Haltestelle;Lerchesbergring;50.0832354;8.6793346;;Bus Stop
Haltestelle;Gablonzer Straße;50.0846764;8.6725883;;Bus Stop
Haltestelle;Karlsbader Straße;50.0868294;8.6714494;;Bus Stop
Haltestelle;Lerchesbergring;50.0833365;8.6786906;;Bus Stop
Haltestelle;Beuthener Straße;50.0914837;8.6748404;;Bus Stop
Haltestelle;Breslauer Straße;50.0927462;8.6771206;;Bus Stop
Ampel;Ampel;50.090105;8.6722983;;Traffic Signal
Routenpunkt (Way);Stresemannallee;50.0877676;8.6716807;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.08785095;8.67169415;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0879343;8.6717076;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0880054;8.671718049999999;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0880765;8.6717285;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.08818985;8.67173825;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0883032;8.671748;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.088412399999996;8.671756266666666;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0885216;8.671764533333333;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0886308;8.6717728;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.088734349999996;8.67176905;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0888379;8.6717653;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.08894145;8.67176155;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.089045;8.6717578;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.089155133333335;8.671747633333334;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.089265266666665;8.671737466666666;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0893754;8.6717273;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0894676;8.6717224;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0894889;8.6717229;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0895064;8.6717247;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0895227;8.6717266;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0852898;8.6710445;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0854037;8.671061925;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0855176;8.67107935;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0856315;8.671096775;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0857454;8.6711142;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0858697;8.671155783333333;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.085994;8.671197366666666;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.086118299999995;8.67123895;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0862426;8.671280533333334;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0863669;8.671322116666667;50;Interpoliert
Routenpunkt (Way);Stresemannallee;50.0864912;8.6713637;50;Original OSM
Routenpunkt (Way);Stresemannallee;50.0865948;8.6713899;50;Original OSM
Routenpunkt (Way);Gablonzer Straße;50.0846401;8.6728014;30;Original OSM
Routenpunkt (Way);Gablonzer Straße;50.084658250000004;8.67269485;30;Interpoliert
Routenpunkt (Way);Gablonzer Straße;50.0846764;8.6725883;30;Original OSM
Routenpunkt (Way);Gablonzer Straße;50.0847025;8.6724351;30;Original OSM
Routenpunkt (Way);Gablonzer Straße;50.08472233333333;8.672289866666667;30;Interpoliert
Routenpunkt (Way);Gablonzer Straße;50.084742166666665;8.672144633333334;30;Interpoliert
Routenpunkt (Way);Gablonzer Straße;50.084762;8.6719994;30;Original OSM
Routenpunkt (Way);Gablonzer Straße;50.08478673333333;8.6717966;30;Interpoliert
Routenpunkt (Way);Gablonzer Straße;50.084811466666665;8.6715938;30;Interpoliert
Routenpunkt (Way);Gablonzer Straße;50.0848362;8.671391;30;Original OSM
Routenpunkt (Way);Gablonzer Straße;50.0848465;8.67126955;30;Interpoliert
Routenpunkt (Way);Gablonzer Straße;50.0848568;8.6711481;30;Original OSM
Routenpunkt (Way);Gablonzer Straße;50.0848775;8.6710763;30;Original OSM
Routenpunkt (Way);Gablonzer Straße;50.0849117;8.6710338;30;Original OSM
Routenpunkt (Way);Bischofsweg;50.0834649;8.6776931;30;Original OSM
Routenpunkt (Way);Bischofsweg;50.0835084;8.6775576;30;Interpoliert
Routenpunkt (Way);Bischofsweg;50.0835519;8.677422100000001;30;Interpoliert
Routenpunkt (Way);Bischofsweg;50.0835954;8.6772866;30;Original OSM
Routenpunkt (Way);Bischofsweg;50.0835954;8.6772866;30;Original OSM
