Typ;Name;Latitude;Longitude;Tempolimit;Details
Ampel;Ampel;49.4060164;8.6726028;;Traffic Signal
Ampel;Ampel;49.4138488;8.692218;;Traffic Signal
Ampel;Ampel;49.4160654;8.7162726;;Traffic Signal
Ampel;Ampel;49.4185152;8.756895;;Traffic Signal
Haltestelle;Bergstraße;49.4137459;8.6941915;;Bus Stop
Haltestelle;Peterstaler Straße;49.4347176;8.7492325;;Bus Stop
Ampel;Ampel;49.4055182;8.6727282;;Traffic Signal
Ampel;Ampel;49.4056314;8.6852528;;Traffic Signal
Ampel;Ampel;49.4052015;8.683771;;Traffic Signal
Haltestelle;Haarlass;49.4201242;8.7301762;;Bus Stop
Ampel;Ampel;49.4191435;8.735552;;Traffic Signal
Haltestelle;Peterstaler Straße;49.4346372;8.749231;;Bus Stop
Haltestelle;Grüner Baum;49.4377005;8.7520756;;Bus Stop
Haltestelle;Löwen;49.4444855;8.7541278;;Bus Stop
Haltestelle;Schweizertalstraße;49.4482988;8.7533893;;Bus Stop
Haltestelle;Heidebuckelweg;49.4504464;8.7544928;;Bus Stop
Haltestelle;Bergstraße;49.4136993;8.6941956;;Bus Stop
Haltestelle;Grüner Baum;49.4376255;8.7520115;;Bus Stop
Ampel;Ampel;49.4051845;8.68412;;Traffic Signal
Haltestelle;Hirschgasse;49.4162237;8.7167715;;Bus Stop
Haltestelle;Bismarckplatz (Steig C);49.4095652;8.6932299;;Bus Stop
Ampel;Ampel;49.4149491;8.7060311;;Traffic Signal
Ampel;Ampel;49.4152517;8.7092647;;Traffic Signal
Ampel;Ampel;49.4135206;8.6958331;;Traffic Signal
Haltestelle;Heidebuckelweg;49.4499422;8.754193;;Bus Stop
Haltestelle;Heidebuckelweg;49.4504597;8.7544324;;Bus Stop
Haltestelle;Stadtbücherei;49.406183;8.6866082;;Bus Stop
Haltestelle;Heidelberg Hauptbahnhof Süd;49.4019555;8.6730302;;Bus Stop
Haltestelle;Bismarckplatz (Steig F);49.4090851;8.6927327;;Bus Stop
Haltestelle;Bismarckplatz (Steig E);49.409238;8.6929569;;Bus Stop
Haltestelle;Bismarckplatz (Steig D);49.4093977;8.6931098;;Bus Stop
Haltestelle;Czernybrücke;49.4061648;8.6715911;;Bus Stop
Haltestelle;Seegarten;49.4071015;8.691849;;Bus Stop
Haltestelle;Stadtwerke;49.4050501;8.6822695;;Bus Stop
Haltestelle;Czernybrücke;49.4060979;8.6716477;;Bus Stop
Haltestelle;Alte Brücke Nord;49.4152241;8.7089281;;Bus Stop
Haltestelle;Alte Brücke Nord;49.4152385;8.7091077;;Bus Stop
Haltestelle;Hirschgasse;49.4159846;8.7160389;;Bus Stop
Haltestelle;Neckarhelle;49.4173292;8.7493023;;Bus Stop
Haltestelle;Neckarhelle;49.4173737;8.7480314;;Bus Stop
Haltestelle;Neuer Weg;49.4173579;8.7526738;;Bus Stop
Haltestelle;Stift Neuburg;49.4191718;8.7354568;;Bus Stop
Haltestelle;Stift Neuburg;49.4192243;8.7353125;;Bus Stop
Haltestelle;Stiftsmühle;49.4174603;8.7439723;;Bus Stop
Haltestelle;Hauptbahnhof Süd;49.4016744;8.6727174;;Bus Stop
Haltestelle;Neckarschule;49.4192255;8.7568877;;Bus Stop
Haltestelle;Fürstendamm;49.4280314;8.7496153;;Bus Stop
Haltestelle;Fürstendamm;49.4284587;8.7494974;;Bus Stop
Haltestelle;Kreuzgrundweg;49.4315524;8.7477184;;Bus Stop
Haltestelle;Kreuzgrundweg;49.4319018;8.7474137;;Bus Stop
Haltestelle;Mühldamm;49.4250994;8.7518803;;Bus Stop
Haltestelle;Mühldamm;49.4253906;8.7515716;;Bus Stop
