Typ;Name;Latitude;Longitude;Tempolimit;Details
Ampel;Ampel;49.4088043;8.6924098;;Traffic Signal
Ampel;Ampel;49.4092056;8.6925549;;Traffic Signal
Ampel;Ampel;49.4062184;8.6927658;;Traffic Signal
Haltestelle;Kühruhweg;49.3937693;8.7085194;;Bus Stop
Ampel;Ampel;49.4084424;8.6924509;;Traffic Signal
Ampel;Ampel;49.4038765;8.6921475;;Traffic Signal
Haltestelle;Alois-Link-Platz;49.3999244;8.6912464;;Bus Stop
Haltestelle;Bismarckplatz;49.4099846;8.6928532;;Bus Stop
Haltestelle;Hans-Böckler-Straße;49.4055795;8.6925319;;Bus Stop
Haltestelle;Kaiserstraße;49.4026927;8.6916456;;Bus Stop
Haltestelle;Steigerweg;49.3969358;8.6946462;;Bus Stop
Haltestelle;Rohrbacher Grenzweg;49.3962708;8.6967836;;Bus Stop
Haltestelle;MPI Kernphysik;49.3887992;8.707733;;Bus Stop
Haltestelle;Bierhelderhof/Ehrenfriedhof;49.3901409;8.7050848;;Bus Stop
Haltestelle;Drei Eichen;49.380076;8.7238428;;Bus Stop
Haltestelle;Posseltslust;49.3846718;8.7336368;;Bus Stop
Haltestelle;Alter Kohlhof;49.3881645;8.7311542;;Bus Stop
Haltestelle;Kohlhof Fachklinik;49.389329;8.7351786;;Bus Stop
Haltestelle;Sternwarte;49.4006965;8.7274404;;Bus Stop
Haltestelle;Königstuhl;49.4030748;8.7277354;;Bus Stop
Ampel;Ampel;49.4051061;8.6924913;;Traffic Signal
Haltestelle;Steigerweg;49.3969252;8.6947754;;Bus Stop
Ampel;Ampel;49.4093453;8.6926799;;Traffic Signal
Haltestelle;Speyererhof;49.3954971;8.7094612;;Bus Stop
Haltestelle;Kühruhweg;49.3938023;8.7085948;;Bus Stop
Haltestelle;Rohrbacher Grenzweg;49.3960951;8.6970307;;Bus Stop
Haltestelle;Bierhelderhof/Ehrenfriedhof;49.3900979;8.7051118;;Bus Stop
Ampel;Ampel;49.401828;8.6913785;;Traffic Signal
Ampel;Ampel;49.4075611;8.6925512;;Traffic Signal
Haltestelle;Bismarckplatz (Steig G);49.4098277;8.6928936;;Bus Stop
Haltestelle;Bismarckplatz (Steig H);49.4099745;8.6929145;;Bus Stop
Haltestelle;Hans-Böckler-Straße;49.4054478;8.6925756;;Bus Stop
Haltestelle;Hans-Böckler-Straße;49.4055662;8.6926048;;Bus Stop
Ampel;Ampel;49.400396;8.6907495;;Traffic Signal
Haltestelle;Alois-Link-Platz;49.399991;8.6912035;;Bus Stop
Haltestelle;Kaiserstraße;49.4027834;8.6917627;;Bus Stop
Haltestelle;Kaiserstraße;49.4020259;8.6914571;;Bus Stop
Haltestelle;Königstuhl;49.4030733;8.7277638;;Bus Stop
Routenpunkt (Way);Königstuhl;49.4006945;8.727319;50;Original OSM
Routenpunkt (Way);Königstuhl;49.400764550000005;8.72733775;50;Interpoliert
Routenpunkt (Way);Königstuhl;49.4008346;8.7273565;50;Original OSM
Routenpunkt (Way);Gaiberger Weg;49.3799676;8.7242663;50;Original OSM
Routenpunkt (Way);Gaiberger Weg;49.3799959;8.7242114;50;Original OSM
Routenpunkt (Way);Gaiberger Weg;49.3800242;8.7241508;50;Original OSM
Routenpunkt (Way);Kühruhweg;49.3951247;8.7034209;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3951294;8.7034322;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3951699;8.7035309;;Original OSM
Routenpunkt (Way);Kühruhweg;49.39521965;8.703686950000002;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3952694;8.703843;;Original OSM
Routenpunkt (Way);Kühruhweg;49.39532325;8.7040067;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3953771;8.7041704;;Original OSM
Routenpunkt (Way);Kühruhweg;49.39543956666667;8.704346866666667;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.39550203333333;8.704523333333334;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3955645;8.7046998;;Original OSM
Routenpunkt (Way);Kühruhweg;49.39561775;8.704831200000001;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.395671;8.7049626;;Original OSM
Routenpunkt (Way);Kühruhweg;49.39573045;8.705089300000001;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3957899;8.705216;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3958447;8.7053152;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3959181;8.7054416;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3959828;8.7055427;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3960557;8.7056456;;Original OSM
Routenpunkt (Way);Kühruhweg;49.396140566666666;8.705752866666668;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.396225433333335;8.705860133333333;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3963103;8.7059674;;Original OSM
Routenpunkt (Way);Kühruhweg;49.396325;8.7059882;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963407;8.7060104;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963639;8.7060478;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963805;8.7060854;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963898;8.7061173;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963945;8.7061533;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963958;8.7061844;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963945;8.7062107;;Original OSM
Routenpunkt (Way);Kühruhweg;49.396389;8.7062513;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963827;8.7062756;;Original OSM
Routenpunkt (Way);Kühruhweg;49.396376;8.7062956;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963646;8.7063222;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963486;8.70635;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963311;8.7063747;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3963155;8.7063923;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3962888;8.7064191;;Original OSM
Routenpunkt (Way);Kühruhweg;49.396257;8.7064466;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3962262;8.7064698;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3961792;8.7064969;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3961341;8.7065231;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3960937;8.7065437;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3960336;8.7065677;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3959658;8.7065859;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3959087;8.7065924;;Original OSM
Routenpunkt (Way);Kühruhweg;49.395857;8.7065912;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3958219;8.7065883;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3957688;8.7065806;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3956784;8.706555366666667;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.395588;8.706530133333334;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3954976;8.7065049;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3954408;8.706493;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3953947;8.7064843;;Original OSM
Routenpunkt (Way);Kühruhweg;49.395341;8.7064805;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3953024;8.706483;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3952472;8.7064926;;Original OSM
Routenpunkt (Way);Kühruhweg;49.395178;8.7065161;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3950974;8.7065573;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3950412;8.7065853;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3950001;8.7065978;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3949639;8.7066063;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3949297;8.7066129;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3948878;8.7066148;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3948488;8.7066096;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3947998;8.7065938;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3947692;8.7065796;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3947245;8.7065521;;Original OSM
Routenpunkt (Way);Kühruhweg;49.394685;8.7065236;;Original OSM
Routenpunkt (Way);Kühruhweg;49.394652;8.7064931;;Original OSM
Routenpunkt (Way);Kühruhweg;49.394611;8.7064512;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3945744;8.7063992;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3945042;8.7062936;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3944191;8.7061686;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3943251;8.7060425;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3942762;8.7059874;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3942351;8.7059457;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3941886;8.7059067;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3941527;8.7058816;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3940962;8.7058455;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3940032;8.7058085;;Original OSM
Routenpunkt (Way);Kühruhweg;49.393913233333336;8.705779033333334;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.393823266666665;8.705749566666666;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3937333;8.7057201;;Original OSM
Routenpunkt (Way);Kühruhweg;49.393637;8.7056732;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3935469;8.7056251;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3934645;8.7055787;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3934348;8.7055643;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3934063;8.7055544;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3933851;8.70555;;Original OSM
Routenpunkt (Way);Kühruhweg;49.393357;8.7055478;;Original OSM
Routenpunkt (Way);Kühruhweg;49.393333;8.7055511;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3933108;8.7055569;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932879;8.705569;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932614;8.7055947;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932453;8.7056154;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932315;8.7056384;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932191;8.7056686;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932112;8.7056974;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932055;8.7057236;;Original OSM
Routenpunkt (Way);Kühruhweg;49.393203;8.7057513;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932031;8.7057778;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932042;8.7058055;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932078;8.7058512;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932221;8.7059945;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3932364;8.7061378;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932494;8.7062487;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932622;8.7063401;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932785;8.7064415;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3932973;8.7065221;;Original OSM
Routenpunkt (Way);Kühruhweg;49.393316;8.7065834;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3933443;8.7066594;;Original OSM
Routenpunkt (Way);Kühruhweg;49.39338615;8.70677015;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.393428;8.7068809;;Original OSM
Routenpunkt (Way);Kühruhweg;49.393485133333336;8.7070287;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.393542266666664;8.7071765;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3935994;8.7073243;;Original OSM
Routenpunkt (Way);Kühruhweg;49.393653875;8.707467725;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.39370835;8.70761115;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.393762825;8.707754575;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3938173;8.707898;;Original OSM
Routenpunkt (Way);Kühruhweg;49.3938724;8.708038949999999;;Interpoliert
Routenpunkt (Way);Kühruhweg;49.3939275;8.7081799;;Original OSM
Routenpunkt (Way);Steigerweg;49.4002018;8.6906658;30;Original OSM
Routenpunkt (Way);Steigerweg;49.4001772;8.690794;30;Original OSM
Routenpunkt (Way);Steigerweg;49.4001663;8.6908361;30;Original OSM
Routenpunkt (Way);Steigerweg;49.4001519;8.6908766;30;Original OSM
Routenpunkt (Way);Steigerweg;49.4001326;8.6909141;30;Original OSM
Routenpunkt (Way);Steigerweg;49.4000618;8.6910588;30;Interpoliert
Routenpunkt (Way);Steigerweg;49.399991;8.6912035;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3999252;8.691337350000001;30;Interpoliert
Routenpunkt (Way);Steigerweg;49.3998594;8.6914712;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3998486;8.6914965;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3998428;8.6915151;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3998385;8.6915368;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3998315;8.6915637;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3998243;8.6915839;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3998173;8.6916006;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3998097;8.6916146;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3997841;8.691651;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3997566;8.6916825;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3997277;8.6917055;30;Original OSM
Routenpunkt (Way);Steigerweg;49.3995983;8.69181;30;Original OSM
Routenpunkt (Way);Steigerweg;49.399583;8.6918325;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3821372;8.7192295;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3821927;8.7191108;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38225505;8.7189655;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3823174;8.7188202;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.382388199999994;8.718653199999999;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.382459;8.7184862;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.382524599999996;8.718338225;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.382590199999996;8.71819025;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3826558;8.718042274999998;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3827214;8.7178943;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.382779;8.7177682;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3828483;8.7176267;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.382925;8.7174754;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3829893;8.7173642;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3830349;8.717296;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.383117;8.7171824;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.383171399999995;8.717118;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3832258;8.7170536;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3833082;8.716967499999999;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3833906;8.7168814;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3834876;8.71678;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3835431;8.7167186;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3836179;8.7166464;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3836758;8.7165805;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3837379;8.7165367;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3837794;8.7165046;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3838372;8.7164647;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.383944;8.71639525;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3840508;8.7163258;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3841422;8.7162721;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3842454;8.7162115;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38433066666666;8.7161622;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38441593333334;8.7161129;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3845012;8.7160636;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38457495;8.7160191;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3846487;8.7159746;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38472245;8.7159301;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3847962;8.7158856;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.384896866666665;8.715824633333334;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38499753333333;8.715763666666666;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3850982;8.7157027;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38519875;8.71564345;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3852993;8.7155842;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3854153;8.71551585;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3855313;8.7154475;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38562176666667;8.715396333333333;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38571223333333;8.715345166666667;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3858027;8.715294;30;Original OSM
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.38589965;8.715236625;30;Interpoliert
Routenpunkt (Way);Unterer Sankt Nikolausweg;49.3859966;8.71517925;30;Interpoliert
