Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Heppenheim Bahnhof;49.6409992;8.6339688;;Bus Stop
Haltestelle;Heppenheim Bahnhof;49.6410045;8.6339381;;Bus Stop
Haltestelle;Lindenstraße;49.644626;8.635079;;Bus Stop
Haltestelle;Gesundheitsamt;49.6460099;8.635766;;Bus Stop
Haltestelle;Silvanerweg;49.65146;8.635028;;Bus Stop
Haltestelle;Christuskirche;49.64092;8.62984;;Bus Stop
Haltestelle;Hans-Kohl-Straße;49.651039;8.628576;;Bus Stop
Haltestelle;Daimlerstraße;49.643561;8.629727;;Bus Stop
Haltestelle;Dieselstraße;49.647125;8.628971;;Bus Stop
Haltestelle;Burgunderweg;49.6540955;8.6337267;;Bus Stop
Haltestelle;Gunderslache;49.6531454;8.6269859;;Bus Stop
Haltestelle;Briefelstraße;49.6483191;8.633672;;Bus Stop
Haltestelle;Heppenheim Christuskirche;49.6406373;8.6299016;;Bus Stop
Routenpunkt (Way);Kalterer Straße;49.6431805;8.6331904;30;Original OSM
Routenpunkt (Way);Kalterer Straße;49.6431002;8.6332235;30;Original OSM
Routenpunkt (Way);Kalterer Straße;49.6429913;8.633268399999999;30;Interpoliert
Routenpunkt (Way);Kalterer Straße;49.6428824;8.6333133;30;Original OSM
Routenpunkt (Way);Uhlandstraße;49.6403794;8.6300254;30;Original OSM
Routenpunkt (Way);Uhlandstraße;49.64028103333333;8.630086033333333;30;Interpoliert
Routenpunkt (Way);Uhlandstraße;49.64018266666667;8.630146666666667;30;Interpoliert
Routenpunkt (Way);Uhlandstraße;49.6400843;8.6302073;30;Original OSM
Routenpunkt (Way);Uhlandstraße;49.6399689;8.6302903;30;Interpoliert
Routenpunkt (Way);Uhlandstraße;49.6398535;8.6303733;30;Original OSM
Routenpunkt (Way);Uhlandstraße;49.6397473;8.630460733333333;30;Interpoliert
Routenpunkt (Way);Uhlandstraße;49.6396411;8.630548166666667;30;Interpoliert
Routenpunkt (Way);Uhlandstraße;49.6395349;8.6306356;30;Original OSM
Routenpunkt (Way);Uhlandstraße;49.6395167;8.6306506;30;Original OSM
Routenpunkt (Way);Uhlandstraße;49.639457;8.6306992;30;Original OSM
Routenpunkt (Way);Uhlandstraße;49.6427444;8.6295252;30;Original OSM
Routenpunkt (Way);Uhlandstraße;49.64265585;8.629512349999999;30;Interpoliert
Routenpunkt (Way);Uhlandstraße;49.6425673;8.6294995;30;Original OSM
Routenpunkt (Way);Kalterer Straße;49.6424937;8.6334766;30;Original OSM
Routenpunkt (Way);Kalterer Straße;49.64237235;8.63353175;30;Interpoliert
Routenpunkt (Way);Kalterer Straße;49.642251;8.6335869;30;Original OSM
