Typ;Name;Latitude;Longitude;Tempolimit;Details
Ampel;Ampel;49.4847487;8.4746843;;Traffic Signal
Ampel;Ampel;49.4987451;8.4841491;;Traffic Signal
Ampel;Ampel;49.4820589;8.4811068;;Traffic Signal
Ampel;Ampel;49.4647;8.4750207;;Traffic Signal
Haltestelle;Am Friedrichsplatz;49.4827826;8.4794165;;Bus Stop
Ampel;Ampel;49.473765;8.4860332;;Traffic Signal
Haltestelle;August-Bebel-Straße;49.4667182;8.4803548;;Bus Stop
Haltestelle;Akademiestraße;49.4924535;8.4568808;;Bus Stop
Ampel;Ampel;49.4813254;8.4713573;;Traffic Signal
Haltestelle;Mühldorferstraße;49.4770764;8.4881419;;Bus Stop
Haltestelle;Kunstverein;49.4796086;8.4876016;;Bus Stop
Haltestelle;Pfalzplatz;49.4646813;8.4697589;;Bus Stop
Haltestelle;Markuskirche;49.4647428;8.4753413;;Bus Stop
Haltestelle;Wasserturm;49.4849024;8.4747319;;Bus Stop
Ampel;Ampel;49.4871278;8.4561145;;Traffic Signal
Haltestelle;Teufelsbrücke;49.4939865;8.4571177;;Bus Stop
Ampel;Ampel;49.4991864;8.4804114;;Traffic Signal
Haltestelle;Universität West;49.4869612;8.4574128;;Bus Stop
Haltestelle;Schloss;49.4847391;8.4625489;;Bus Stop
Ampel;Ampel;49.4850626;8.4615292;;Traffic Signal
Ampel;Ampel;49.4850427;8.4754287;;Traffic Signal
Haltestelle;Popakademie;49.4970182;8.4577383;;Bus Stop
Haltestelle;Mannheim, Hauptbahnhof;49.4803276;8.4705203;;Bus Stop
Ampel;Ampel;49.4838833;8.4738403;;Traffic Signal
Ampel;Ampel;49.4843732;8.4633043;;Traffic Signal
Ampel;Ampel;49.5033211;8.4601263;;Traffic Signal
Ampel;Ampel;49.4854681;8.4606854;;Traffic Signal
Ampel;Ampel;49.4761918;8.4883241;;Traffic Signal
Haltestelle;Hochschule;49.4696684;8.4839551;;Bus Stop
Ampel;Ampel;49.4825129;8.4799497;;Traffic Signal
Ampel;Ampel;49.4831829;8.4782416;;Traffic Signal
Haltestelle;Otto-Beck-Straße;49.4806098;8.4850018;;Bus Stop
Haltestelle;Möhlstraße;49.4746236;8.4870765;;Bus Stop
Ampel;Ampel;49.4741451;8.4865397;;Traffic Signal
Ampel;Ampel;49.482157;8.4721462;;Traffic Signal
Ampel;Ampel;49.4689973;8.4839665;;Traffic Signal
Haltestelle;Am Salzkai;49.4964675;8.4606312;;Bus Stop
Haltestelle;Kunsthalle Steig F;49.4824519;8.4722229;;Bus Stop
Haltestelle;Ida-Scipio-Heim;49.4990125;8.4814158;;Bus Stop
Haltestelle;Max-Joseph-Straße;49.4996519;8.4761299;;Bus Stop
Haltestelle;Moselstraße;49.4987735;8.4835484;;Bus Stop
Ampel;Ampel;49.4684898;8.4837831;;Traffic Signal
Ampel;Ampel;49.4788861;8.4881774;;Traffic Signal
Haltestelle;Universität;49.4817053;8.4653654;;Bus Stop
Ampel;Ampel;49.4913604;8.4567116;;Traffic Signal
Ampel;Ampel;49.4791347;8.4883914;;Traffic Signal
Ampel;Ampel;49.4807914;8.4843611;;Traffic Signal
Ampel;Ampel;49.4846819;8.4764178;;Traffic Signal
Ampel;Ampel;49.4828649;8.472845;;Traffic Signal
Ampel;Ampel;49.4954829;8.4606528;;Traffic Signal
Haltestelle;Eisenlohrplatz;49.5008506;8.4940596;;Bus Stop
Haltestelle;Eisenlohrplatz;49.5008768;8.4940202;;Bus Stop
Haltestelle;Wohlgelegen EKZ;49.5036856;8.4996731;;Bus Stop
