Typ;Name;Latitude;Longitude;Tempolimit;Details
Ampel;Ampel;49.4745208;8.4866182;;Traffic Signal
Ampel;Ampel;49.4740119;8.4826772;;Traffic Signal
Ampel;Ampel;49.4847487;8.4746843;;Traffic Signal
Ampel;Ampel;49.4838816;8.4739523;;Traffic Signal
Ampel;Ampel;49.4980121;8.4887114;;Traffic Signal
Ampel;Ampel;49.4987451;8.4841491;;Traffic Signal
Ampel;Ampel;49.4687894;8.4838222;;Traffic Signal
Ampel;Ampel;49.4818285;8.4809333;;Traffic Signal
Ampel;Ampel;49.4740024;8.4857736;;Traffic Signal
Haltestelle;Universität West;49.4876343;8.4575249;;Bus Stop
Haltestelle;August-Bebel-Straße;49.4669281;8.4800938;;Bus Stop
Ampel;Ampel;49.4843918;8.4628763;;Traffic Signal
Haltestelle;Popakademie;49.4964074;8.4574643;;Bus Stop
Ampel;Ampel;49.4967354;8.4591754;;Traffic Signal
Haltestelle;Mühldorferstraße;49.4769789;8.4880286;;Bus Stop
Haltestelle;Pfalzplatz;49.4646813;8.4697589;;Bus Stop
Haltestelle;Markuskirche;49.4650337;8.4750952;;Bus Stop
Haltestelle;Wasserturm Steig D;49.4842581;8.4740758;;Bus Stop
Haltestelle;Max-Joseph-Straße;49.4997121;8.4763763;;Bus Stop
Ampel;Ampel;49.4991864;8.4804114;;Traffic Signal
Haltestelle;Otto-Beck-Straße;49.4804847;8.4842029;;Bus Stop
Haltestelle;Mensa am Schloss;49.4866275;8.4591851;;Bus Stop
Ampel;Ampel;49.4854012;8.4606241;;Traffic Signal
Ampel;Ampel;49.4849646;8.46143;;Traffic Signal
Ampel;Ampel;49.4836176;8.4739824;;Traffic Signal
Haltestelle;Teufelsbrücke;49.4945844;8.4571259;;Bus Stop
Ampel;Ampel;49.4911283;8.4565222;;Traffic Signal
Ampel;Ampel;49.4849069;8.4751317;;Traffic Signal
Ampel;Ampel;49.501497;8.500131;;Traffic Signal
Ampel;Ampel;49.5034561;8.4601332;;Traffic Signal
Ampel;Ampel;49.5045419;8.4616742;;Traffic Signal
Ampel;Ampel;49.4737182;8.4825563;;Traffic Signal
Ampel;Ampel;49.4740249;8.4835775;;Traffic Signal
Haltestelle;Hochschule;49.4696684;8.4839551;;Bus Stop
Ampel;Ampel;49.482944;8.4779013;;Traffic Signal
Haltestelle;Am Friedrichsplatz;49.4824836;8.4790373;;Bus Stop
Ampel;Ampel;49.4824561;8.4793313;;Traffic Signal
Haltestelle;Kunstverein;49.4792136;8.4874349;;Bus Stop
Haltestelle;Möhlstraße;49.4745868;8.4866315;;Bus Stop
Ampel;Ampel;49.4833836;8.4748934;;Traffic Signal
Haltestelle;Bonifatiuskirche;49.4997633;8.4908048;;Bus Stop
Haltestelle;Akademiestraße;49.4924466;8.4567084;;Bus Stop
Haltestelle;Kunsthalle Steig G;49.4822812;8.4728044;;Bus Stop
Haltestelle;Ida-Scipio-Heim;49.499282;8.4802035;;Bus Stop
Haltestelle;Käfertaler Straße;49.5023038;8.5014572;;Bus Stop
Haltestelle;Moselstraße;49.4988625;8.4835762;;Bus Stop
Ampel;Ampel;49.4834188;8.4747958;;Traffic Signal
Haltestelle;Mannheim, Hauptbahnhof;49.4800881;8.4699594;;Bus Stop
Haltestelle;Universität;49.4817053;8.4653654;;Bus Stop
Ampel;Ampel;49.4917726;8.4566377;;Traffic Signal
Ampel;Ampel;49.4808005;8.4835575;;Traffic Signal
Ampel;Ampel;49.4842919;8.4746586;;Traffic Signal
Ampel;Ampel;49.48271;8.4730774;;Traffic Signal
Ampel;Ampel;49.4990116;8.4898204;;Traffic Signal
Haltestelle;Wohlgelegen EKZ;49.5037279;8.4996373;;Bus Stop
Haltestelle;Brauerei;49.4959716;8.4897994;;Bus Stop
Haltestelle;Ludolf-Krehl-Straße;49.497432;8.4924832;;Bus Stop
Haltestelle;Bonifatiuskirche;49.4989392;8.4896808;;Bus Stop
Haltestelle;Halt;49.4990464;8.4886619;;Bus Stop
Ampel;Ampel;49.4944015;8.4571521;;Traffic Signal
Ampel;Ampel;49.5046403;8.4703025;;Traffic Signal
Ampel;Ampel;49.5053654;8.4700728;;Traffic Signal
