Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Haltestelle;Stadtteilschule Arheilgen;49.9031277;8.6630353;30.0;Original OSM;W
Routenpunkt (Way);Grillparzerstraße;49.9031266;8.6631176;30.0;Original OSM;T
Routenpunkt (Way);Stadtteilschule Arheilgen;49.9030904;8.6631189;;Original OSM;T
Routenpunkt (Way);Stadtteilschule Arheilgen;49.9030713;8.6631186;;Original OSM;T
Routenpunkt (Way);Stadtteilschule Arheilgen;49.9030707;8.6631644;;Original OSM;T
Routenpunkt (Way);Stadtteilschule Arheilgen;49.9030808;8.6631647;;Original OSM;T
Routenpunkt (Way);Stadtteilschule Arheilgen;49.9030898;8.663165;;Original OSM;T
Routenpunkt (Way);Stadtteilschule Arheilgen;49.9030898;8.663165;;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9031256;8.6631926;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.90312316;8.66337776;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90312072;8.66356292;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90311828;8.66374808;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.903115840000005;8.66393324;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9031134;8.6641184;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9031114;8.6641917;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.903106075;8.6643854;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90310075;8.664579100000001;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.903095425;8.6647728;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9030901;8.6649665;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.903084775;8.6651602;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90307945;8.6653539;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.903074125;8.6655476;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9030688;8.6657413;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.903063475;8.665935000000001;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90305815;8.666128700000002;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.903052825;8.6663224;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9030475;8.6665161;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.90304205;8.666659;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9030366;8.6668019;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.90301795;8.66700045;30.0;Interpoliert;T
Haltestelle;Auf der Hardt;49.9029993;8.667199;30.0;Original OSM;W
Routenpunkt (Way);Grillparzerstraße;49.9029993;8.667199;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9029871;8.667309;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9029749;8.667419;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9029605;8.6675365;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9029461;8.667654;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9029233;8.6678174;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9029005;8.6679808;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9028777;8.6681442;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9028537;8.668314466666667;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9028297;8.668484733333333;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9028057;8.668655;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9028057;8.668655;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.902760775;8.66883435;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90271585;8.6690137;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.902670925;8.66919305;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.902626;8.6693724;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9025943;8.669494;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9025626;8.6696156;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9025084;8.6697104;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.90240016;8.669767779999999;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90229192;8.66982516;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90218368;8.66988254;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.90207544;8.669939920000001;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9019672;8.6699973;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9018813;8.670042833333333;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.901795400000005;8.670088366666667;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9017095;8.6701339;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.90160025;8.6701918;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.901491;8.6702497;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9014533;8.6702698;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.90138695;8.6703385;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.9013206;8.6704072;30.0;Original OSM;T
Routenpunkt (Way);Grillparzerstraße;49.9012643;8.670518099999999;30.0;Interpoliert;T
Routenpunkt (Way);Grillparzerstraße;49.901208;8.670629;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.901208;8.670629;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.901136566666665;8.670513033333334;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90106513333333;8.670397066666666;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.9009937;8.6702811;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.900921925;8.670169725000001;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90085015;8.670058350000001;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.900778375;8.669946975;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.9007066;8.6698356;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.90062022;8.66970055;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90053384;8.669565500000001;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90044746;8.66943045;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90036108;8.669295400000001;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.9002747;8.66916035;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90018832;8.6690253;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90010194;8.66889025;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.90001556;8.6687552;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89992918;8.66862015;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8998428;8.6684851;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.8998428;8.6684851;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.89975539090909;8.668349272727273;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89966798181818;8.668213445454546;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89958057272728;8.668077618181817;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.899493163636365;8.66794179090909;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.899405754545455;8.667805963636363;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89931834545455;8.667670136363636;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89923093636364;8.66753430909091;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89914352727273;8.667398481818182;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89905611818182;8.667262654545453;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89896870909091;8.667126827272726;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8988813;8.666991;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.898793242857145;8.666849114285714;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.898705185714284;8.666707228571427;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89861712857143;8.666565342857142;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89852907142857;8.666423457142857;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89844101428572;8.666281571428572;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.898352957142855;8.666139685714285;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8982649;8.6659978;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.89820446666667;8.665887466666666;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.89814403333333;8.665777133333334;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8980836;8.6656668;30.0;Original OSM;T
Routenpunkt (Way);Würzburger Straße;49.8980374;8.665547133333334;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.8979912;8.665427466666667;30.0;Interpoliert;T
Routenpunkt (Way);Würzburger Straße;49.897945;8.6653078;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977729;8.665379;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977699;8.6654036;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977565;8.6654996;30.0;Original OSM;T
Routenpunkt (Way);Maulbeerallee;49.8977523;8.66557;30.0;Original OSM;T
