Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Am Mörsbach;49.9405013;8.7439463;;Bus Stop
Routenpunkt (Way);Am Mörsbach;49.940541966666665;8.744024466666668;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.94050033333333;8.744149633333333;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9404587;8.7442748;30.0;Original OSM
Routenpunkt (Way);Am Mörsbach;49.9404386;8.744478325;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9404185;8.74468185;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9403984;8.744885375;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9403783;8.7450889;30.0;Original OSM
Routenpunkt (Way);Am Mörsbach;49.9403571;8.74528004;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9403359;8.745471180000001;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9403147;8.74566232;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9402935;8.74585346;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9402723;8.7460446;30.0;Original OSM
Routenpunkt (Way);Am Mörsbach;49.9402465;8.7462229;30.0;Original OSM
Routenpunkt (Way);Am Mörsbach;49.94016845;8.74620995;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9400904;8.746197;30.0;Original OSM
Routenpunkt (Way);Am Mörsbach;49.93998302;8.74618174;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.93987564;8.746166480000001;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.93976826;8.74615122;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.939660880000005;8.74613596;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9395535;8.7461207;30.0;Original OSM
Routenpunkt (Way);Am Mörsbach;49.93943526;8.746103380000001;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.93931702;8.74608606;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.93919878;8.74606874;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.93908054;8.746051419999999;30.0;Interpoliert
Routenpunkt (Way);Am Mörsbach;49.9389623;8.7460341;30.0;Original OSM
Routenpunkt (Way);Berliner Straße;49.9389623;8.7460341;30.0;Original OSM
Routenpunkt (Way);Berliner Straße;49.9388463;8.746006399999999;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.9387303;8.7459787;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.9386143;8.745951;30.0;Original OSM
Routenpunkt (Way);Berliner Straße;49.93849006;8.74595792;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93836582;8.74596484;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93824158;8.74597176;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93811734;8.745978679999999;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.9379931;8.7459856;30.0;Original OSM
Routenpunkt (Way);Berliner Straße;49.9379931;8.7459856;30.0;Original OSM
Routenpunkt (Way);Berliner Straße;49.937865244444446;8.745990755555555;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93773738888889;8.74599591111111;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93760953333334;8.746001066666667;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93748167777778;8.746006222222222;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93735382222222;8.746011377777776;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93722596666667;8.746016533333332;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93709811111111;8.746021688888888;30.0;Interpoliert
Routenpunkt (Way);Berliner Straße;49.93697025555556;8.746026844444444;30.0;Interpoliert
Routenpunkt (Way);Kohlweg;49.9368424;8.746032;30.0;Original OSM
Routenpunkt (Way);Berliner Straße;49.9368424;8.746032;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.93684055;8.74592175;30.0;Interpoliert
Routenpunkt (Way);Kohlweg;49.9368387;8.7458115;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.93683635;8.7456693;30.0;Interpoliert
Routenpunkt (Way);Kohlweg;49.936834;8.7455271;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.93683145;8.745343;30.0;Interpoliert
Routenpunkt (Way);Kohlweg;49.9368289;8.7451589;30.0;Interpoliert
Routenpunkt (Way);Kohlweg;49.93682635;8.7449748;30.0;Interpoliert
Routenpunkt (Way);Kohlweg;49.9368238;8.7447907;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.9368234;8.7447581;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.9368211;8.7445937;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.936818;8.7445073;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.9368116;8.744329;30.0;Interpoliert
Haltestelle;Rathaus;49.9368052;8.7441507;;Bus Stop
Routenpunkt (Way);Kohlweg;49.9368052;8.7441507;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.9368034;8.7441021;30.0;Original OSM
Haltestelle;Rathaus;49.9368345;8.7440642;;Bus Stop
Routenpunkt (Way);Kohlweg;49.9367974;8.7439322;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.9367955;8.7438771;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.9367901;8.7436828;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.93678665;8.74356505;30.0;Interpoliert
Routenpunkt (Way);Kohlweg;49.9367832;8.7434473;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.9367791;8.7433066;30.0;Original OSM
Routenpunkt (Way);Kohlweg;49.9367476;8.7431455;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9367476;8.7431455;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.93663036666666;8.743126133333334;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.936513133333335;8.743106766666667;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9363959;8.7430874;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9362965;8.743068449999999;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9361971;8.7430495;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.93609385;8.743029825;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9359906;8.74301015;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93588735;8.742990475;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9357841;8.7429708;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9356663125;8.7429815;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.935548525;8.7429922;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9354307375;8.7430029;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93531295;8.743013600000001;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9351951625;8.7430243;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.935077375;8.743035;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9349595875;8.7430457;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9348418;8.7430564;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9348418;8.7430564;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.93473105;8.74305735;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9346203;8.743058300000001;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93450955;8.74305925;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9343988;8.7430602;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.93428625;8.7430608;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9341737;8.7430614;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93406115;8.743062;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9339486;8.7430626;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.93382612;8.74307664;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93370364;8.74309068;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93358116;8.74310472;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93345868;8.74311876;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9333362;8.7431328;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.93321414;8.7431512;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93309208;8.7431696;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93297002;8.743188;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93284796;8.7432064;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9327259;8.7432248;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9326349;8.743245633333334;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9325439;8.743266466666666;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9324529;8.7432873;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.93234536666667;8.7433169;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.93223783333333;8.743346500000001;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9321303;8.7433761;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9320437;8.7433978;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9319923;8.7434091;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9318646;8.7434372;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9318327;8.7434442;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.931827;8.7434454;30.0;Original OSM
Routenpunkt (Way);Sudetenstraße;49.9317101;8.74347346;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9315932;8.74350152;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.9314763;8.74352958;30.0;Interpoliert
Routenpunkt (Way);Sudetenstraße;49.931359400000005;8.74355764;30.0;Interpoliert
