Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Bahnhof;49.9747154;8.7989287;;Bus Stop
Routenpunkt (Way);Bodajker Platz;49.9747154;8.7989287;;Original OSM
Routenpunkt (Way);Bodajker Platz;49.9747266;8.7988991;;Original OSM
Routenpunkt (Way);Bodajker Platz;49.9747219;8.7988568;;Original OSM
Routenpunkt (Way);Bodajker Platz;49.9747125;8.7988264;;Original OSM
Routenpunkt (Way);Bodajker Platz;49.9747022;8.7988089;;Original OSM
Routenpunkt (Way);Bodajker Platz;49.9746612;8.7987824;;Original OSM
Routenpunkt (Way);Bodajker Platz;49.974625;8.7987699;;Original OSM
Routenpunkt (Way);Bruchwiesenstraße;49.9745819;8.7987623;;Original OSM
Routenpunkt (Way);Bodajker Platz;49.9745819;8.7987623;;Original OSM
Routenpunkt (Way);Bruchwiesenstraße;49.9745193;8.7989242;;Original OSM
Routenpunkt (Way);Bruchwiesenstraße;49.9744926;8.7989751;;Original OSM
Routenpunkt (Way);Bruchwiesenstraße;49.9744574;8.7990275;;Original OSM
Routenpunkt (Way);Bruchwiesenstraße;49.9743974;8.7990893;;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9743974;8.7990893;50.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.974342825;8.79894835;50.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.97428825;8.798807400000001;50.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.974233675;8.79866645;50.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.9741791;8.7985255;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9741791;8.7985255;50.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.97415;8.798458;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9741244;8.7984082;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9740771;8.7983249;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.97398903333333;8.798215933333333;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.97390096666667;8.798106966666667;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.9738129;8.797998;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9737447;8.797906600000001;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.9736765;8.7978152;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9736029;8.7977394;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9735269;8.7976756;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9734447;8.79761295;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.9733625;8.7975503;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.97326353333333;8.797477733333332;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.97316456666667;8.797405166666667;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.9730656;8.7973326;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9729825;8.797277966666668;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.9728994;8.797223333333333;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.9728163;8.7971687;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9727324;8.7971132;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9726834;8.7970951;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9725737;8.7970764;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9724553;8.7970609;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9723752;8.7970393;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.9723204;8.7969898;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.972259050000005;8.79691755;30.0;Interpoliert
Routenpunkt (Way);Bahnhofstraße;49.9721977;8.7968453;30.0;Original OSM
Routenpunkt (Way);Bahnhofstraße;49.97210115;8.796729849999998;30.0;Interpoliert
Haltestelle;Bahnhofstraße 18;49.9720046;8.7966144;;Bus Stop
Routenpunkt (Way);Bahnhofstraße;49.9720046;8.7966144;30.0;Original OSM
