Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Kesselhutweg;49.89586;8.6856115;;Bus Stop
Routenpunkt (Way);Kranichsteiner Straße;49.89586;8.6856115;;Original OSM
Routenpunkt (Way);Kesselhutweg;49.89589125;8.68565955;;Interpoliert
Routenpunkt (Way);Kesselhutweg;49.89590535;8.6856548;;Interpoliert
Routenpunkt (Way);Kesselhutweg;49.895866;8.6854805;;Original OSM
Routenpunkt (Way);Kesselhutweg;49.8958801;8.6854757;;Original OSM
Routenpunkt (Way);Kesselhutweg;49.8958801;8.6854757;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.895832975;8.685411525;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89580595;8.68521155;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.895778925;8.685011575;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.8957519;8.6848116;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.89572903571428;8.684608721428571;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89570617142857;8.684405842857142;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89568330714286;8.684202964285713;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89566044285714;8.684000085714286;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.895637578571424;8.683797207142858;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89561471428571;8.683594328571429;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89559185;8.68339145;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89556898571429;8.683188571428571;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.895546121428566;8.682985692857143;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.895523257142855;8.682782814285714;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89550039285714;8.682579935714287;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89547752857143;8.682377057142858;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89545466428571;8.68217417857143;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.8954318;8.6819713;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.89541323333333;8.6818238;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.89539466666667;8.681676300000001;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.8953761;8.6815288;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.8953704;8.6814916;;Original OSM
Routenpunkt (Way);Kranichsteiner Straße;49.89535755;8.68137715;;Interpoliert
Routenpunkt (Way);Kranichsteiner Straße;49.8953447;8.6812627;;Original OSM
Routenpunkt (Way);Bartningstraße;49.8953447;8.6812627;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.8954436;8.6812367;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.8955526;8.6812212;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.89564583333333;8.6812103;50.0;Interpoliert
Routenpunkt (Way);Bartningstraße;49.89573906666667;8.681199399999999;50.0;Interpoliert
Routenpunkt (Way);Bartningstraße;49.8958323;8.6811885;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.8959374;8.681179633333333;50.0;Interpoliert
Routenpunkt (Way);Bartningstraße;49.8960425;8.681170766666666;50.0;Interpoliert
Routenpunkt (Way);Bartningstraße;49.8961476;8.6811619;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.8962051;8.6811581;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.8962554;8.6811502;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.8963089;8.681148;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.8963089;8.681148;50.0;Original OSM
Routenpunkt (Way);Bartningstraße;49.8964012;8.6811396;50.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8964012;8.6811396;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8963995;8.6810497;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8963976;8.6809497;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8963938;8.680904;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8964023;8.6807405;;Original OSM
Routenpunkt (Way);Siemensstraße;49.8964023;8.6807405;;Original OSM
Routenpunkt (Way);Siemensstraße;49.8964112;8.68074;;Original OSM
Routenpunkt (Way);Siemensstraße;49.8964199;8.6807394;;Original OSM
Routenpunkt (Way);Siemensstraße;49.896387375;8.680710825;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.896397725;8.68056275;;Interpoliert
Routenpunkt (Way);Siemensstraße;49.896415325;8.68056165;;Interpoliert
Routenpunkt (Way);Siemensstraße;49.89638095;8.680517649999999;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.89639315;8.680385000000001;;Interpoliert
Routenpunkt (Way);Siemensstraße;49.89641075;8.680383899999999;;Interpoliert
Routenpunkt (Way);Siemensstraße;49.896374525;8.680324474999999;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.896388575;8.68020725;;Interpoliert
Routenpunkt (Way);Siemensstraße;49.896406175;8.68020615;;Interpoliert
Haltestelle;Siemensstraße;49.8963681;8.6801313;;Bus Stop
Routenpunkt (Way);Siemensstraße;49.8963681;8.6801313;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.896384;8.6800295;;Original OSM
Routenpunkt (Way);Siemensstraße;49.8963925;8.680029;;Original OSM
Routenpunkt (Way);Siemensstraße;49.8964016;8.6800284;;Original OSM
Routenpunkt (Way);Siemensstraße;49.8963591;8.679924;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.89635695;8.67976435;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.8963548;8.6796047;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8963548;8.6796047;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8963717;8.6794297;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.896401;8.6792573;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8964488;8.6790673;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8964865;8.678927999999999;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.8965242;8.6787887;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.896555;8.67867405;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.8965858;8.6785594;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8966063;8.6784506;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.8966268;8.6783418;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8966492;8.6781436;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8966572;8.6779364;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.89665303333334;8.677769633333334;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.896648866666666;8.677602866666666;30.0;Interpoliert
Routenpunkt (Way);Siemensstraße;49.8966447;8.6774361;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.8966407;8.677346;30.0;Original OSM
Routenpunkt (Way);Siemensstraße;49.896638;8.677276;30.0;Original OSM
Routenpunkt (Way);Jägertorstraße;49.896638;8.677276;50.0;Original OSM
Routenpunkt (Way);Jägertorstraße;49.8965728;8.6772762;50.0;Original OSM
Routenpunkt (Way);Jägertorstraße;49.8965728;8.6772762;50.0;Original OSM
Routenpunkt (Way);Jägertorstraße;49.896542;8.6772763;50.0;Original OSM
Routenpunkt (Way);Jägertorstraße;49.896542;8.6772763;50.0;Original OSM
Routenpunkt (Way);Jägertorstraße;49.8965098;8.677274;50.0;Original OSM
Routenpunkt (Way);Jägertorstraße;49.8965098;8.677274;50.0;Original OSM
Routenpunkt (Way);Jägertorstraße;49.8964362;8.677271900000001;50.0;Interpoliert
Routenpunkt (Way);Jägertorstraße;49.8963626;8.6772698;50.0;Original OSM
