Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Alfred-Messel-Weg;49.8859079;8.6727991;;Bus Stop
Routenpunkt (Way);Schwarzer Weg;49.8859079;8.6727991;30.0;Original OSM
Routenpunkt (Way);Alfred-Messel-Weg;49.8859453;8.672777400000001;;Interpoliert
Routenpunkt (Way);Alfred-Messel-Weg;49.88595225;8.6727737;;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.8858829;8.672695050000002;30.0;Interpoliert
Routenpunkt (Way);Alfred-Messel-Weg;49.8859191;8.6726578;;Original OSM
Routenpunkt (Way);Alfred-Messel-Weg;49.885926;8.6726541;;Original OSM
Routenpunkt (Way);Alfred-Messel-Weg;49.885926;8.6726541;;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8858579;8.672591;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8858165;8.6724177;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8857921;8.67231535;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.8857677;8.672213;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8857467;8.6721248;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.88570905;8.671967;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.8856714;8.6718092;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8856455;8.671701;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8855995;8.6715081;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.88555443333333;8.671319933333333;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.88550936666667;8.671131766666667;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.8854643;8.6709436;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.88542426666667;8.670797166666667;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.88538423333333;8.670650733333332;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.8853442;8.6705043;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8853246;8.670377299999998;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.885305;8.6702503;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8852897;8.6700605;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.88528503333333;8.669885866666666;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.88528036666667;8.669711233333334;30.0;Interpoliert
Routenpunkt (Way);Schwarzer Weg;49.8852757;8.6695366;30.0;Original OSM
Haltestelle;Peter-Behrens-Straße;49.8852704;8.6694052;;Bus Stop
Routenpunkt (Way);Schwarzer Weg;49.8852704;8.6694052;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8852684;8.6693392;30.0;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.8852684;8.6693392;30.0;Original OSM
Routenpunkt (Way);Peter-Behrens-Straße (Bussteig Richtung West);49.8853087;8.6693269;;Original OSM
Routenpunkt (Way);Peter-Behrens-Straße (Bussteig Richtung West);49.8853185;8.6693262;;Original OSM
Haltestelle;Peter-Behrens-Straße;49.8852662;8.6692299;;Bus Stop
Routenpunkt (Way);Schwarzer Weg;49.8852662;8.6692299;30.0;Original OSM
Routenpunkt (Way);Peter-Behrens-Straße (Bussteig Richtung West);49.8853028;8.6691313;;Original OSM
Routenpunkt (Way);Peter-Behrens-Straße (Bussteig Richtung West);49.8853125;8.6691306;;Original OSM
Routenpunkt (Way);Peter-Behrens-Straße (Bussteig Richtung West);49.8853125;8.6691306;;Original OSM
Routenpunkt (Way);Schwarzer Weg;49.885266;8.6691128;30.0;Original OSM
