Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Haltestelle;Kleyerstraße;49.8588593;8.6236002;;Original OSM;W
Routenpunkt (Way);Kleyerstraße;49.8588593;8.6236002;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.85885285;8.623547850000001;;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.85884995;8.623526949999999;;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.8589341;8.6235213;;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.8589312;8.6235004;;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.8589312;8.6235004;;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.85892905;8.623577300000001;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.8589988;8.6235544;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.85911214;8.62351714;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.85922548;8.62347988;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.859338820000005;8.62344262;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.85945216;8.62340536;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.8595655;8.6233681;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.859671;8.62333344;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.8597765;8.62329878;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.859882;8.62326412;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.8599875;8.623229460000001;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.860093;8.6231948;50.0;Original OSM;T
Routenpunkt (Way);Rosa-Parks-Straße;49.8601426;8.6232553;;Original OSM;T
Routenpunkt (Way);Rosa-Parks-Straße;49.8601454;8.6232762;;Original OSM;T
Routenpunkt (Way);Rosa-Parks-Straße;49.8602312;8.623248;;Interpoliert;T
Routenpunkt (Way);Rosa-Parks-Straße;49.8602284;8.62322715;;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.8602028;8.6231587;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.8602148;8.6231547;50.0;Original OSM;T
Haltestelle;Rosa-Parks-Straße;49.8603173;8.623121;50.0;Original OSM;W
Routenpunkt (Way);Rosa-Parks-Straße;49.8603142;8.623199;;Original OSM;T
Routenpunkt (Way);Rosa-Parks-Straße;49.8603142;8.623199;;Original OSM;T
Routenpunkt (Way);Rosa-Parks-Straße;49.860317;8.6232198;;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.8604284;8.623084500000001;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.8605395;8.623048;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.8606403;8.6230149;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.86070695;8.622993000000001;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.8607736;8.6229711;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.8608599;8.6229427;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.8609019;8.6229289;50.0;Original OSM;T
Routenpunkt (Way);Kleyerstraße;49.861026875;8.622887825;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.86115185;8.62284675;50.0;Interpoliert;T
Routenpunkt (Way);Kleyerstraße;49.861276825;8.622805675;50.0;Interpoliert;T
