Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Heinheimer Straße;49.8823654;8.6602848;;Bus Stop
Routenpunkt (Way);Heinheimer Straße;49.8823654;8.6602848;30.0;Original OSM
Routenpunkt (Way);Darmstadt Heinheimer Straße;49.8824139;8.6602071;;Original OSM
Routenpunkt (Way);Darmstadt Heinheimer Straße;49.8824113;8.6601792;;Original OSM
Routenpunkt (Way);Darmstadt Heinheimer Straße;49.8824113;8.6601792;;Original OSM
Routenpunkt (Way);Darmstadt Heinheimer Straße;49.8822795;8.6602086;;Original OSM
Routenpunkt (Way);Darmstadt Heinheimer Straße;49.8822821;8.6602365;;Original OSM
Routenpunkt (Way);Heinheimer Straße;49.8822486;8.660313499999999;30.0;Interpoliert
Routenpunkt (Way);Heinheimer Straße;49.8821318;8.6603422;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.882015;8.6603709;30.0;Original OSM
Routenpunkt (Way);Heinheimer Straße;49.882015;8.6603709;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.8820137;8.6602964;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.8820144;8.6602638;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.882016;8.6601927;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.882023775;8.6599997;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88203155;8.6598067;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.882039325;8.6596137;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.8820471;8.6594207;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.8820471;8.6594207;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.882050027272726;8.659227090909091;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88205295454546;8.659033481818183;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88205588181818;8.658839872727272;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88205880909091;8.658646263636363;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88206173636364;8.658452654545455;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88206466363636;8.658259045454546;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.882067590909095;8.658065436363637;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88207051818182;8.657871827272729;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.882073445454544;8.657678218181818;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88207637272728;8.65748460909091;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.8820793;8.657291;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.8820793;8.657291;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.882084166666665;8.657097683333333;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88208903333334;8.656904366666668;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.8820939;8.65671105;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.882098766666665;8.656517733333333;30.0;Interpoliert
Routenpunkt (Way);Liebfrauenstraße;49.88210363333334;8.656324416666667;30.0;Interpoliert
Routenpunkt (Way);Friedrich-Ebert-Platz;49.8821085;8.6561311;30.0;Original OSM
Routenpunkt (Way);Liebfrauenstraße;49.8821085;8.6561311;30.0;Original OSM
Routenpunkt (Way);Friedrich-Ebert-Platz;49.8821105;8.6560738;30.0;Original OSM
Routenpunkt (Way);Friedrich-Ebert-Platz;49.8821113;8.6560178;30.0;Original OSM
Routenpunkt (Way);Friedrich-Ebert-Platz;49.882116833333335;8.6558566;30.0;Interpoliert
