Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Haltestelle;TU-Lichtwiese/Campus;49.8621471;8.6807616;;Original OSM;W
Routenpunkt (Way);TU-Lichtwiese/Campus;49.862171;8.6806863;;Original OSM;T
Routenpunkt (Way);Unbekannt;49.8621471;8.680673;;Original OSM;T
Routenpunkt (Way);Unbekannt;49.8621494;8.6806481;;Original OSM;T
Routenpunkt (Way);Unbekannt;49.8621506;8.6806326;;Original OSM;T
Routenpunkt (Way);Unbekannt;49.8621565;8.6805994;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8621812;8.6805565;;Original OSM;T
Routenpunkt (Way);Unbekannt;49.8621812;8.6805565;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8621982;8.6805499;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.862212;8.6805469;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8622298;8.6805435;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8622646;8.6805418;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8623198;8.6805536;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8623652;8.6805666;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8624259;8.6805834;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8624792;8.6805988;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8625849;8.6806358;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8626989;8.6806449;;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8628103;8.680647033333333;;Interpoliert;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8629217;8.680649166666667;;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8630331;8.6806513;30.0;Original OSM;T
Routenpunkt (Way);Franziska-Braun-Straße;49.8630331;8.6806513;;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86314156666667;8.6806509;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86325003333333;8.680650499999999;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8633585;8.6806501;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8633585;8.6806501;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8634536;8.68064675;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8635487;8.6806434;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8635716;8.6806431;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86367573333333;8.680645133333332;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86377986666667;8.680647166666667;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.863884;8.6806492;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8640028;8.6806459;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8640028;8.6806459;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.864103875;8.68064345;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86420495;8.680641;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.864306025000005;8.68063855;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8644071;8.6806361;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.864537875;8.680635124999998;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86466865;8.68063415;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.864799425;8.680633175;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8649302;8.6806322;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.865063675;8.680631;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86519715;8.6806298;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.865330625;8.6806286;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8654641;8.6806274;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8655667;8.6806238;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8656693;8.6806202;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.865748;8.68060525;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8658267;8.6805903;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86589305;8.68056575;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8659594;8.6805412;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8660277;8.68048975;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.866096;8.6804383;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86615465;8.68037545;30.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8662133;8.6803126;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8663176;8.680188;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8663738;8.6801127;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8663738;8.6801127;30.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.866471175;8.679992125;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86656855;8.679871550000001;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.866665925;8.679750975000001;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8667633;8.6796304;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86685803333334;8.679543800000001;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86695276666666;8.6794572;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8670475;8.6793706;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.86713086666666;8.679308766666667;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.867214233333335;8.679246933333333;50.0;Interpoliert;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8672976;8.6791851;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8673222;8.6791697;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8673365;8.679149;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8673365;8.679149;50.0;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.867393;8.6790561;50.0;Interpoliert;T
Routenpunkt (Way);Breslauer Platz;49.8674495;8.6789632;;Original OSM;T
Routenpunkt (Way);Eugen-Kogon-Straße;49.8674495;8.6789632;50.0;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.86749975;8.678826650000001;;Interpoliert;T
Routenpunkt (Way);Breslauer Platz;49.86755;8.6786901;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.867594;8.6785566;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.867594;8.6785566;;Original OSM;T
Routenpunkt (Way);Breslauer Platz;49.8676567;8.6784;;Original OSM;T
