Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Haltestelle;Gablonzer Straße;50.0889969;8.6714739;50.0;Original OSM;W
Routenpunkt (Way);Stresemannallee;50.08911535;8.671464100000001;50.0;Interpoliert;T
Routenpunkt (Way);Stresemannallee;50.0892338;8.6714543;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0893;8.671447;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0893209;8.6714429;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0893399;8.6714364;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0893399;8.6714364;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0893611;8.6714247;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0893756;8.6714141;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0893966;8.6713954;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0894085;8.6713824;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0894346;8.6713505;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0894691;8.6713056;50.0;Original OSM;T
Routenpunkt (Way);Stresemannallee;50.0894691;8.6713056;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0894733;8.6712695;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0894733;8.6712695;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0895069;8.6712078;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0895189;8.6711893;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0895344;8.6711672;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0895531;8.671147;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0895669;8.6711341;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0895855;8.6711212;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0895971;8.671115;50.0;Original OSM;T
Routenpunkt (Way);Mörfelder Landstraße;50.0896119;8.6711104;50.0;Original OSM;T
