Typ;Name;Latitude;Longitude;Tempolimit;Details
Haltestelle;Hilsenhain Dell;49.5136955;8.7772684;;Bus Stop
Haltestelle;Hilsenhain Dell;49.5136692;8.7771885;;Bus Stop
Routenpunkt (Way);Bärsbacher Straße;49.5136692;8.7771885;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5137379;8.777069000000001;70.0;Interpoliert
Routenpunkt (Way);Bärsbacher Straße;49.5138066;8.7769495;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.51385725;8.77687825;70.0;Interpoliert
Routenpunkt (Way);Bärsbacher Straße;49.5139079;8.776807;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5139869;8.7767124;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.514081;8.7766141;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5141685;8.77649875;70.0;Interpoliert
Routenpunkt (Way);Bärsbacher Straße;49.514256;8.7763834;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.51431285;8.77630325;70.0;Interpoliert
Routenpunkt (Way);Bärsbacher Straße;49.5143697;8.7762231;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5144514;8.7761309;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5145073;8.776077;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5145717;8.7760317;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.514663;8.7759899;70.0;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.514663;8.7759899;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.51474025;8.775961;;Interpoliert
Routenpunkt (Way);Bärsbacher Straße;49.5148175;8.7759321;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5148963;8.7759005;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5149499;8.7758667;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5150045;8.7758201;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.51506;8.7757492;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5151141;8.7756497;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5151482;8.7755548;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5151684;8.7754827;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5151795;8.7753959;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5151807;8.775303;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.515176;8.7752075;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5151658;8.7751201;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5151488;8.7750405;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5151239;8.7749664;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5150914;8.7748923;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5150491;8.7748289;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5149996;8.7747694;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5149482;8.774728;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5149007;8.7747003;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5148549;8.7746834;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5148056;8.7746771;;Original OSM
Routenpunkt (Way);Bärsbacher Straße;49.5147598;8.774678;;Original OSM
