Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Routenpunkt (Way);T;Dieburger Straße;49.8841124;8.685314;50.0;;;;;;Original OSM
Haltestelle;W;Darmstadt Fasanerie;49.8841124;8.685314;50.0;12:47:00;12:47:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 23m) | Auf Route gesnappt (3m)
Routenpunkt (Way);T;Dieburger Straße;49.8841124;8.685314;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.88406168333333;8.685202716666666;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.884010966666665;8.685091433333334;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88394973333333;8.684956966666666;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.88389114791667;8.684830264583333;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.883832562500004;8.6847035625;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.88378105125;8.684593991249999;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.88372954;8.684484419999999;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.883660080000006;8.68433664;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88359062;8.684188859999999;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88352116;8.68404108;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.883460686250004;8.68391193375;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.8834002125;8.6837827875;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.88333443958334;8.683643510416667;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.883268666666666;8.683504233333334;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88320143333333;8.683363666666667;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8831342;8.6832231;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88306696666667;8.683082533333334;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.882999733333335;8.682941966666668;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8829325;8.6828014;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.8828787;8.682624566666668;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8828249;8.682447733333333;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8827711;8.6822709;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.882719;8.6820995;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.882672025000005;8.681909525;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88262505;8.68171955;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.882578075;8.681529574999999;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8825311;8.6813396;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.882484125000005;8.681149625;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88243715;8.680959649999998;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.882390175;8.680769674999999;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.88235759375;8.680637393749999;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.882325012500004;8.680505112499999;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.88229041875;8.68035919375;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.882255825;8.680213275;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88221695;8.68004575;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.882178075;8.679878225;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.8821436625;8.6797299625;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.882109250000006;8.6795817;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.8820715;8.67941905;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.88203375;8.6792564;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.88199165;8.679075000000001;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.881954;8.6789128;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.8819242;8.678768333333334;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8818944;8.678623866666667;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.88185579;8.678442503333333;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.88181718;8.67826114;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.88178705333333;8.678126326666666;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.88175692666667;8.677991513333334;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.8817268;8.6778567;30.0;;;;;;Interpoliert
Haltestelle;W;Darmstadt Regerweg;49.8816848;8.6776702;30.0;12:49:00;12:49:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 4m) | Auf Route gesnappt (7m)
Routenpunkt (Way);T;;49.88166896428571;8.677514614285712;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Regerweg (Bussteig Richtung West);49.88165312857142;8.677359028571427;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.88159909428571;8.677233144285713;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.88154506;8.67710726;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88149242;8.67692152;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88143978;8.67673578;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88138714;8.67655004;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8813345;8.6763643;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.8812797;8.676220075;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8812249;8.67607585;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8811701;8.675931625;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8811153;8.6757874;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.88105352;8.675632700000001;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88099174;8.675478;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88092996;8.6753233;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88086818;8.6751686;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8808064;8.6750139;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.88074808571428;8.6748555;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88068977142857;8.6746971;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88063145714285;8.6745387;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.880573142857145;8.674380300000001;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88051482857143;8.674221900000001;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88045651428572;8.6740635;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.880418532142855;8.6739592;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.88038055;8.6738549;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.8803458;8.673756149999999;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.88031105;8.6736574;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8802592;8.6735101;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.880207771428566;8.673347242857142;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88015634285714;8.673184385714286;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88010491428571;8.673021528571429;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.880053485714285;8.672858671428571;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.88000205714285;8.672695814285714;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.87995062857143;8.672532957142858;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8798992;8.6723701;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.87984665;8.6722033;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8797941;8.6720365;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.8797453;8.6718814;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.87968905;8.671702725;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8796328;8.67152405;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.87957655;8.671345375000001;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8795203;8.6711667;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.87947836666667;8.671022766666667;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.87943643333333;8.670878833333333;30.0;;;;;;Interpoliert
Haltestelle;W;Darmstadt Spessartring;49.8793945;8.6707349;30.0;12:51:00;12:51:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 2m) | Auf Route gesnappt (2m)
Routenpunkt (Way);T;Dieburger Straße;49.879377033333334;8.670674766666666;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.87934410555556;8.670537422649572;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.87931117777778;8.670400078632479;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.879278250000006;8.670262734615385;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.87921889166667;8.670100683974358;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.879159533333336;8.669938633333333;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.87911919166667;8.669818116666665;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.87907885;8.6696976;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Dieburger Straße;49.87902675;8.66954535;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Dieburger Straße;49.8789809;8.6694114;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.87892447083334;8.6692275;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Dieburger Straße;49.87886804166667;8.6690436;30.0;;;;;;Original OSM
