Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Routenpunkt (Way);T;Am Hauptbahnhof;49.8720468;8.6316407;;;;;;;Original OSM
Haltestelle;W;Darmstadt Hauptbahnhof Ost;49.8720468;8.6316407;;04:44:00;04:44:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 57m) | Auf Route gesnappt (37m)
Routenpunkt (Way);T;;49.8719779875;8.631676425;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Am Hauptbahnhof;49.871909175;8.63171215;;;;;;;Original OSM
Routenpunkt (Way);T;;49.871815837499994;8.631788775;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Am Hauptbahnhof;49.8717225;8.6318654;;;;;;;Original OSM
Routenpunkt (Way);T;Am Hauptbahnhof;49.87163815;8.63193905;;;;;;;Interpoliert
Routenpunkt (Way);T;Am Hauptbahnhof;49.8715538;8.6320127;;;;;;;Original OSM
Routenpunkt (Way);T;Am Hauptbahnhof;49.87147145;8.63208315;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.87138350357143;8.632158339285713;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Am Hauptbahnhof;49.87129555714286;8.632233528571428;;;;;;;Original OSM
Routenpunkt (Way);T;;49.87118446857143;8.632328004285714;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Am Hauptbahnhof;49.87107338;8.63242248;;;;;;;Interpoliert
Routenpunkt (Way);T;Am Hauptbahnhof;49.87097466;8.63250626;;;;;;;Interpoliert
Routenpunkt (Way);T;Am Hauptbahnhof;49.87087594;8.63259004;;;;;;;Interpoliert
Routenpunkt (Way);T;Am Hauptbahnhof;49.87077722;8.632673819999999;;;;;;;Interpoliert
Routenpunkt (Way);T;Am Hauptbahnhof;49.870668466666665;8.632766066666667;;;;;;;Original OSM
Routenpunkt (Way);T;Am Hauptbahnhof;49.8705607;8.632861250000001;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.87047988214286;8.632993625000001;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Am Hauptbahnhof;49.87039906428572;8.633126;;;;;;;Original OSM
Routenpunkt (Way);T;;49.870399098412705;8.633272077777779;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.87039913253968;8.633418155555555;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rheinstraße;49.870399166666665;8.633564233333333;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.870424533333335;8.633748566666666;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.8704499;8.6339329;;;;;;;Original OSM
Routenpunkt (Way);T;Rheinstraße;49.8704774625;8.6341330375;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.870505025;8.634333175;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.8705325875;8.6345333125;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.87056015;8.634733449999999;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.8705877125;8.634933587499999;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.870615275;8.635133725;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.8706428375;8.6353338625;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.870677122083336;8.635475489583333;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rheinstraße;49.870711406666665;8.635617116666667;;;;;;;Original OSM
Haltestelle;W;Darmstadt Berliner Allee;49.870753140000005;8.6357525;;04:46:00;04:46:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (1m)
Routenpunkt (Way);T;Berliner Allee;49.87074439749999;8.635872125;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.87076263708333;8.636005979166667;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Berliner Allee;49.870780876666664;8.636139833333333;;;;;;;Interpoliert
Routenpunkt (Way);T;Berliner Allee;49.87080501333333;8.636315199999999;;;;;;;Interpoliert
Routenpunkt (Way);T;Berliner Allee;49.87083298;8.63649354;;;;;;;Original OSM
Routenpunkt (Way);T;;49.870835168125;8.636619898125;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rheinstraße;49.87083735625;8.63674625625;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.8708642125;8.6369413125;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.87089106875;8.63713636875;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.870917925;8.637331425;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.87094478125;8.63752648125;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.8709716375;8.6377215375;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.87099849375;8.637916593749999;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.87102535;8.638111649999999;;;;;;;Interpoliert
Routenpunkt (Way);T;Rheinstraße;49.87105220625;8.63830670625;;;;;;;Interpoliert
