Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;W;Darmstadt Alfred-Messel-Weg;49.8859453;8.672777400000001;30.0;18:26:00;18:26:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (4m)
Routenpunkt (Way);T;Alfred-Messel-Weg;49.88591563571429;8.672686164285716;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.88587067380953;8.672546680357144;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.885825711904765;8.672407196428573;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Schwarzer Weg;49.88578075;8.6722677125;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.885744900000006;8.67211735625;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Schwarzer Weg;49.88570905;8.671967;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.88568375;8.67186105;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Schwarzer Weg;49.88565845;8.6717551;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.885628975;8.671631600000001;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Schwarzer Weg;49.8855995;8.6715081;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Schwarzer Weg;49.88555443333333;8.671319933333333;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Schwarzer Weg;49.88550936666667;8.671131766666667;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Schwarzer Weg;49.8854643;8.6709436;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Schwarzer Weg;49.88542426666667;8.670797166666667;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Schwarzer Weg;49.88538423333333;8.670650733333332;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.885354416666665;8.670514016666665;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Schwarzer Weg;49.8853246;8.670377299999998;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.88530715;8.670218899999998;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Schwarzer Weg;49.8852897;8.6700605;30.0;;;;;;Original OSM
Routenpunkt (Way);T;Schwarzer Weg;49.88528503333333;8.669885866666666;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Schwarzer Weg;49.88528036666667;8.669711233333334;30.0;;;;;;Interpoliert
Routenpunkt (Way);T;Schwarzer Weg;49.8852757;8.6695366;30.0;;;;;;Original OSM
