Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;W;Heidelberg, Hauptbahnhof;49.4046964;8.6765406;;13:39:00;13:39:00;Kein Umlauf;Unbekannt;133.0;Original GTFS (Snap-Distanz 21m) | Auf Route gesnappt (1m)
Routenpunkt (Way);T;;49.404654158854164;8.676710653125;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40461191770833;8.67688070625;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.404569676562495;8.677050759375001;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40452743541666;8.677220812500002;;;;;;;Original OSM
Routenpunkt (Way);T;;49.40450687951388;8.677420243750001;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40448632361111;8.677619675;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40446576770833;8.677819106250002;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40444521180555;8.678018537500002;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.40442465590278;8.678217968750001;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.4044041;8.6784174;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.404423300000005;8.6786145;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4044425;8.6788116;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.40446535;8.6789698;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4044882;8.679128;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.40451965;8.67930925;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4045511;8.6794905;;;;;;;Original OSM
Routenpunkt (Way);T;Unbekannt;49.40458655;8.6796842375;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.404622;8.679877975;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40465745;8.6800717125;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4046929;8.68026545;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40472835;8.6804591875;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.4047638;8.680652925;;;;;;;Interpoliert
Routenpunkt (Way);T;Unbekannt;49.40479925;8.6808466625;;;;;;;Interpoliert
Routenpunkt (Way);T;;49.40483199166667;8.681039281250001;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.40486473333333;8.6812319;;;;;;;Original OSM
