Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Routenpunkt (Way);T;Johannes-Hoops-Weg;49.3955274;8.7093409;30.0;;;;;;Original OSM
Haltestelle;W;Heidelberg, Speyererhof;49.3955274;8.7093409;30.0;07:01:00;07:01:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 20m) | Auf Route gesnappt (0m)
Routenpunkt (Way);T;;49.3955799;8.709250938636366;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Johannes-Hoops-Weg;49.395632400000004;8.70916097727273;30.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.39550689615385;8.709123894405597;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.3953813923077;8.709086811538462;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.39525588846154;8.70904972867133;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.395130384615385;8.709012645804197;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.395004880769235;8.708975562937063;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.39487937692308;8.70893848006993;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.39475387307692;8.708901397202798;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.394628369230766;8.708864314335665;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.39450286538462;8.70882723146853;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.39437736153846;8.708790148601398;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.3942518576923;8.708753065734266;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.394126353846154;8.708715982867131;30.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyererhofweg;49.39400085;8.708678899999999;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyererhofweg;49.39389145;8.70863265;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.393803475;8.708595975;50.0;;;;;;Interpoliert (15m)
Haltestelle;W;Heidelberg, Kühruhweg;49.3937155;8.7085593;50.0;07:02:00;07:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (9m)
Routenpunkt (Way);T;;49.39365231666666;8.708515925;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyererhofweg;49.39358913333333;8.70847255;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.39350635555555;8.708400933333333;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.393423577777774;8.708329316666667;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyererhofweg;49.3933408;8.7082577;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyererhofweg;49.3932336;8.708148600000001;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyererhofweg;49.3931264;8.7080395;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyererhofweg;49.3930192;8.7079304;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyererhofweg;49.3929274;8.7078367;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.39285276470588;8.707707314705882;50.0;;;;;;Interpoliert (15m)
