Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Haltestelle;W;Heidelberg, Bismarckplatz;49.4099745;8.6929145;;11:30:00;11:30:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 22m) | Auf Route gesnappt (2m)
Routenpunkt (Way);T;Unbekannt;49.4099745;8.6929145;;;;;;;Original OSM
Routenpunkt (Way);T;;49.4099011;8.69290405;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.4098277;8.6928936;;;;;;;Original OSM
Routenpunkt (Way);T;;49.4097387125;8.692859895833333;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.409649725;8.692826191666667;;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Unbekannt;49.4095607375;8.6927924875;;;;;;;Original OSM
Routenpunkt (Way);T;;49.40945301875;8.692736193750001;;;;;;;Interpoliert (15m)
Ampel;A;Ampel;49.4093453;8.6926799;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Bismarckstraße;49.4092821;8.6926211;50.0;;;;;;Original OSM
Ampel;A;Ampel;49.4092056;8.6925549;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Bismarckstraße;49.4092056;8.6925549;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.40910773571429;8.692494;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Bismarckstraße;49.40900987142857;8.6924331;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.40890708571429;8.692421450000001;50.0;;;;;;Interpoliert (15m)
Ampel;A;Ampel;49.4088043;8.6924098;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Rohrbacher Straße;49.4087147;8.69242;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.40863865;8.692428616666668;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.4085626;8.692437233333335;50.0;;;;;;Original OSM
Ampel;A;Ampel;49.4084424;8.6924509;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.40836633928571;8.692459560714287;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.40829027857143;8.692468221428571;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.40820386428572;8.692478060714286;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.408117450000006;8.6924879;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.408048975;8.6924957;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.4079805;8.6925035;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.40789770000001;8.692512916666669;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.407814900000005;8.692522333333335;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Rohrbacher Straße;49.407688;8.692536766666667;50.0;;;;;;Interpoliert
Ampel;A;Ampel;49.4075611;8.6925512;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Rohrbacher Straße;49.4075327;8.692553;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Rohrbacher Straße;49.40744465;8.69258185;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Rohrbacher Straße;49.40732494;8.692623000000001;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.407222270000005;8.692662850000001;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.4071196;8.6927027;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.407009775000006;8.692728599999999;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.40689995;8.6927545;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.406827725;8.692752625;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.4067555;8.69275075;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.406674249999995;8.692765325;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.406592999999994;8.6927799;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.406521999999995;8.6927864;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.406451;8.6927929;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Rohrbacher Straße;49.4063347;8.69277935;50.0;;;;;;Interpoliert
Ampel;A;Ampel;49.4062184;8.6927658;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Rohrbacher Straße;49.4062093;8.69276355;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.40614135;8.692746775;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.4060734;8.692730000000001;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Rohrbacher Straße;49.4059466;8.692698700000001;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Rohrbacher Straße;49.4058198;8.6926674;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Rohrbacher Straße;49.405693;8.6926361;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.4055704;8.69260585;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Rohrbacher Straße;49.4054478;8.6925756;50.0;;;;;;Original OSM
