Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details
Routenpunkt (Way);T;Speyerer Straße;49.3981089;8.6737037;50.0;;;;;;Original OSM
Haltestelle;W;Leimen, Friedhof;49.3981089;8.6737037;50.0;07:36:00;07:36:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 6274m) | Auf Route gesnappt (6254m)
Haltestelle;W;Leimen, Moltkestraße;49.3981089;8.6737037;50.0;07:37:00;07:37:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 6009m) | Auf Route gesnappt (6009m)
Haltestelle;W;Leimen, Kurpfalz-Centrum;49.3981089;8.6737037;50.0;07:38:00;07:38:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 5673m) | Auf Route gesnappt (5673m)
Haltestelle;W;Leimen, Georgi-Marktplatz;49.3981089;8.6737037;50.0;07:39:00;07:39:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 5527m) | Auf Route gesnappt (5527m)
Haltestelle;W;Leimen, Johannes-Reidel-Straße;49.3981089;8.6737037;50.0;07:41:00;07:41:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 5074m) | Auf Route gesnappt (5074m)
Haltestelle;W;Leimen, Zementwerk;49.3981089;8.6737037;50.0;07:42:00;07:42:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 4654m) | Auf Route gesnappt (4654m)
Haltestelle;W;Rohrbach, Süd;49.3981089;8.6737037;50.0;07:44:00;07:44:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 3748m) | Auf Route gesnappt (3748m)
Haltestelle;W;Rohrbach, Freiburger Straße;49.3981089;8.6737037;50.0;07:46:00;07:46:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 2905m) | Auf Route gesnappt (2905m)
Haltestelle;W;Rohrbach, Ortenauer Straße;49.3981089;8.6737037;50.0;07:47:00;07:47:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 2580m) | Auf Route gesnappt (2580m)
Haltestelle;W;Rohrbach, Markt;49.3981089;8.6737037;50.0;07:48:00;07:48:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 2221m) | Auf Route gesnappt (2221m)
Haltestelle;W;Rohrbach, Eichendorffplatz;49.3981089;8.6737037;50.0;07:49:00;07:49:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 2043m) | Auf Route gesnappt (2043m)
Routenpunkt (Way);T;Speyerer Straße;49.3981759;8.673826550000001;50.0;;;;;;Original OSM
Ampel;A;Ampel;49.3982216;8.6739085;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.3982945;8.6740456;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.398363849999996;8.674175616666666;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.3984332;8.674305633333335;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.398502549999996;8.674435650000001;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.398561416666666;8.674548733333333;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.39862028333333;8.674661816666667;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.39867915;8.6747749;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.3987624;8.6749338;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.3988203;8.675053066666667;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.3988782;8.675172333333332;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.3989361;8.6752916;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.3990101;8.6754407;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.39906673125;8.675552731249999;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.3991233625;8.675664762499999;50.0;;;;;;Original OSM
Ampel;A;Ampel;49.3991888;8.6757897;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.39926526666667;8.675937433333333;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.39934173333333;8.676085166666667;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.3994182;8.6762329;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.39948915;8.67636555;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.399559825;8.676497675;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.3996305;8.676629799999999;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.3997009;8.6767614;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.39977106333333;8.676890711666667;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;;49.39984122666666;8.677020023333332;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.39991138999999;8.677149335;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.399937045;8.6773361175;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.3999627;8.6775229;50.0;;;;;;Original OSM
Haltestelle;W;Rohrbach, Markscheide;49.3999627;8.6775229;50.0;07:50:00;07:50:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 1729m) | Auf Route gesnappt (1729m)
Routenpunkt (Way);T;;49.400019456818185;8.6776472;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.40007621363636;8.677771499999999;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.400131006818185;8.6778875;50.0;;;;;;Interpoliert (15m)
Haltestelle;W;Heidelberg, Rheinstraße;49.4001858;8.6780035;50.0;07:51:00;07:51:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 1463m) | Auf Route gesnappt (1463m)
Ampel;A;Ampel;49.4002126;8.678052;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.4002924;8.6781968;50.0;;;;;;Original OSM
Haltestelle;W;Heidelberg, Bethanien-Krankh.;49.4003047;8.6782192;50.0;07:52:00;07:52:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 1220m) | Auf Route gesnappt (1220m)
Routenpunkt (Way);T;Speyerer Straße;49.400368150000006;8.678307725;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.400417675;8.6783785625;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.4004672;8.6784494;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.4005529;8.6785713;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.4006386;8.6786932;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.40070833333333;8.678780633333334;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.40077806666667;8.678868066666666;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.4008782;8.678994166666667;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.40093615000001;8.679064308333334;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.400994100000005;8.67913445;50.0;;;;;;Interpoliert
Haltestelle;W;Heidelberg, Bergfriedhof;49.400994100000005;8.67913445;50.0;07:53:00;07:53:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 992m) | Auf Route gesnappt (992m)
Routenpunkt (Way);T;Speyerer Straße;49.4010948;8.6792554;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.40119765;8.6793788;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;;49.4012841375;8.679482437499999;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.401370625000006;8.679586075;50.0;;;;;;Original OSM
Routenpunkt (Way);T;;49.4014346125;8.679664187499998;50.0;;;;;;Interpoliert (15m)
Routenpunkt (Way);T;Speyerer Straße;49.4014986;8.6797423;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.4015845;8.6798482;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.4016704;8.6799541;50.0;;;;;;Interpoliert
Routenpunkt (Way);T;Speyerer Straße;49.4017563;8.680060000000001;50.0;;;;;;Interpoliert
Ampel;A;Ampel;49.4018422;8.6801659;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.4018597;8.6801874;50.0;;;;;;Original OSM
Routenpunkt (Way);T;Speyerer Straße;49.40194;8.6802756;50.0;;;;;;Original OSM
Haltestelle;W;Heidelberg, Weststadt/Südstadt;49.40194;8.6802756;50.0;07:54:00;07:54:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 759m) | Auf Route gesnappt (759m)
Haltestelle;W;Heidelberg, Christuskirche;49.40194;8.6802756;50.0;07:56:00;07:56:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 346m) | Auf Route gesnappt (346m)
