Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Am Bahnhof;49.9219262;8.7457708;;;;;;;Original OSM;163.4;-0.13
Haltestelle;W;Messel Bahnhof;49.9219262;8.7457708;;07:36:00;07:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 21m) | Auf Route gesnappt (1m);163.33;-0.16
Routenpunkt (Way);T;Am Bahnhof;49.9219476;8.74594425;;;;;;;Interpoliert;163.29;-0.18
Routenpunkt (Way);T;Am Bahnhof;49.921969;8.7461177;;;;;;;Interpoliert;163.25;-0.21
Routenpunkt (Way);T;Am Bahnhof;49.9219904;8.74629115;;;;;;;Interpoliert;163.22;-0.37
Routenpunkt (Way);T;;49.9220121;8.746467058333334;;;;;;;Interpoliert (15m);163.2;-0.6
Routenpunkt (Way);T;Am Bahnhof;49.9220338;8.746642966666666;;;;;;;Interpoliert;163.1;-0.7
Routenpunkt (Way);T;Am Bahnhof;49.9220558;8.746821333333333;;;;;;;Interpoliert;162.9;-0.79
Routenpunkt (Way);T;Am Bahnhof;49.9220778;8.7469997;;;;;;;Original OSM;162.8;-0.9
Routenpunkt (Way);T;Am Bahnhof;49.92210159166666;8.7471925;;;;;;;Interpoliert;162.7;-0.89
Routenpunkt (Way);T;Am Bahnhof;49.92212538333333;8.7473853;;;;;;;Interpoliert;162.6;-0.72
Routenpunkt (Way);T;Am Bahnhof;49.922149175;8.7475781;;;;;;;Interpoliert;162.5;-0.71
Routenpunkt (Way);T;Am Bahnhof;49.922172966666665;8.7477709;;;;;;;Interpoliert;162.4;-0.71
Routenpunkt (Way);T;Am Bahnhof;49.92219675833333;8.7479637;;;;;;;Interpoliert;162.3;-0.71
Routenpunkt (Way);T;Am Bahnhof;49.92222055;8.7481565;;;;;;;Interpoliert;162.2;-0.43
Routenpunkt (Way);T;Am Bahnhof;49.92224434166667;8.748349300000001;;;;;;;Interpoliert;162.1;0.0
Routenpunkt (Way);T;Am Bahnhof;49.92226813333333;8.7485421;;;;;;;Interpoliert;162.2;0.57
Routenpunkt (Way);T;Am Bahnhof;49.922291925;8.7487349;;;;;;;Interpoliert;162.4;1.14
Routenpunkt (Way);T;Am Bahnhof;49.92231571666667;8.748927700000001;;;;;;;Interpoliert;162.7;1.57
Routenpunkt (Way);T;Am Bahnhof;49.92233950833334;8.7491205;;;;;;;Interpoliert;163.0;1.7
Routenpunkt (Way);T;Am Bahnhof;49.9223633;8.7493133;;;;;;;Original OSM;163.2;1.69
