Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Kranichsteiner Straße;49.8959403;8.6861816;;;;;;;Original OSM;150.6;0.0
Haltestelle;W;Kranichstein Kesselhutweg;49.8959403;8.6861816;;24:59:00;24:59:00;Kein Umlauf;Unbekannt;133.0;Original GTFS (Snap-Distanz 4m) | Auf Route gesnappt (4m);150.33;-0.26
Routenpunkt (Way);T;Kranichsteiner Straße;49.8959403;8.6861816;;;;;;;Original OSM;150.14;-0.21
Routenpunkt (Way);T;Kranichsteiner Straße;49.895913533333335;8.685991566666667;;;;;;;Interpoliert;150.0;-0.21
Routenpunkt (Way);T;Kesselhutweg;49.89591128888889;8.685824677777779;;;;;;;Original OSM;150.0;-0.29
Routenpunkt (Way);T;Kesselhutweg;49.895873682142856;8.68553846785714;;;;;;;Interpoliert;150.0;-0.42
Routenpunkt (Way);T;Kranichsteiner Straße;49.89580595;8.68521155;;;;;;;Interpoliert;149.9;-0.49
Routenpunkt (Way);T;Kranichsteiner Straße;49.895778925;8.685011575;;;;;;;Interpoliert;149.8;-0.76
Routenpunkt (Way);T;Kranichsteiner Straße;49.8957519;8.6848116;;;;;;;Original OSM;149.6;-0.76
Routenpunkt (Way);T;Kranichsteiner Straße;49.89572903571428;8.684608721428571;;;;;;;Interpoliert;149.4;-0.68
Routenpunkt (Way);T;Kranichsteiner Straße;49.89570617142857;8.684405842857142;;;;;;;Interpoliert;149.4;-0.41
Routenpunkt (Way);T;Kranichsteiner Straße;49.89568330714286;8.684202964285713;;;;;;;Interpoliert;149.4;-0.0
Routenpunkt (Way);T;Kranichsteiner Straße;49.89566044285714;8.684000085714286;;;;;;;Interpoliert;149.5;0.27
Routenpunkt (Way);T;Kranichsteiner Straße;49.895637578571424;8.683797207142858;;;;;;;Interpoliert;149.6;0.27
Routenpunkt (Way);T;Kranichsteiner Straße;49.89561471428571;8.683594328571429;;;;;;;Interpoliert;149.6;0.41
Routenpunkt (Way);T;Kranichsteiner Straße;49.89559185;8.68339145;;;;;;;Interpoliert;149.6;0.41
Routenpunkt (Way);T;Kranichsteiner Straße;49.89556898571429;8.683188571428571;;;;;;;Interpoliert;149.7;0.54
Routenpunkt (Way);T;Kranichsteiner Straße;49.895546121428566;8.682985692857143;;;;;;;Interpoliert;149.8;0.81
Routenpunkt (Way);T;Kranichsteiner Straße;49.895523257142855;8.682782814285714;;;;;;;Interpoliert;150.0;1.08
Routenpunkt (Way);T;Kranichsteiner Straße;49.89550039285714;8.682579935714287;;;;;;;Interpoliert;150.2;1.49
