Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Luisenplatz;49.8727311;8.6513157;;;;;;;Original OSM;144.4;0.29
Haltestelle;W;Darmstadt Luisenplatz;49.8727311;8.6513157;;05:45:00;05:45:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 17m) | Auf Route gesnappt (17m);144.5;0.41
Routenpunkt (Way);T;Luisenplatz;49.87273355000001;8.651429075;;;;;;;Original OSM;144.57;0.43
Routenpunkt (Way);T;Luisenplatz;49.87282165;8.651729;;;;;;;Interpoliert;144.75;0.55
Routenpunkt (Way);T;Luisenplatz;49.87294067142857;8.652044928571428;;;;;;;Original OSM;144.89;0.98
Routenpunkt (Way);T;Rheinstraße;49.87298531666666;8.652306316666667;30.0;;;;;;Interpoliert;145.0;1.24
Routenpunkt (Way);T;Rheinstraße;49.87301123333333;8.652494933333333;30.0;;;;;;Interpoliert;145.3;1.52
Routenpunkt (Way);T;Rheinstraße;49.87303715;8.652683549999999;30.0;;;;;;Interpoliert;145.6;2.29
Routenpunkt (Way);T;Rheinstraße;49.87306306666667;8.652872166666667;30.0;;;;;;Interpoliert;145.9;2.51
Routenpunkt (Way);T;Rheinstraße;49.87308898333333;8.653060783333334;30.0;;;;;;Interpoliert;146.5;2.41
Routenpunkt (Way);T;Rheinstraße;49.87311400625;8.65355683125;30.0;;;;;;Original OSM;147.1;3.28
Routenpunkt (Way);T;Rheinstraße;49.872964966666665;8.654003233333333;30.0;;;;;;Interpoliert;147.7;3.47
Routenpunkt (Way);T;Rheinstraße;49.87289833333333;8.654139466666667;30.0;;;;;;Interpoliert;148.5;3.22
Routenpunkt (Way);T;Rheinstraße;49.87279227777778;8.654403355555557;30.0;;;;;;Original OSM;149.2;4.02
Routenpunkt (Way);T;Marktplatz;49.8728004;8.654719700000001;30.0;;;;;;Interpoliert;149.9;4.53
Routenpunkt (Way);T;Marktplatz;49.8728169;8.6548902;30.0;;;;;;Original OSM;150.6;3.65
Routenpunkt (Way);T;Marktplatz;49.87283825;8.655085450000001;30.0;;;;;;Interpoliert;151.2;3.02
Routenpunkt (Way);T;Marktplatz;49.8728596;8.6552807;30.0;;;;;;Original OSM;151.5;2.4
Haltestelle;W;Darmstadt Schloss;49.8728596;8.6552807;30.0;05:46:00;05:46:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (3m);151.6;1.02
Routenpunkt (Way);T;Marktplatz;49.8728596;8.6552807;30.0;;;;;;Original OSM;151.3;0.04
Routenpunkt (Way);T;Schloss;49.8729547909091;8.65559103939394;;;;;;;Original OSM;151.0;-0.66
Routenpunkt (Way);T;Marktplatz;49.87308514347826;8.656144147826087;30.0;;;;;;Original OSM;150.7;-1.25
Routenpunkt (Way);T;Schlossgraben;49.873397;8.6562838;;;;;;;Original OSM;150.2;-1.47
