Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Unbekannt;49.8621471;8.680673;;;;;;;Original OSM;171.0;-0.57
Haltestelle;W;Da. TU-Lichtwiese/Campus;49.8621471;8.680673;;18:02:00;18:02:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 77m) | Auf Route gesnappt (57m);170.67;-0.79
Routenpunkt (Way);T;Unbekannt;49.862254892307696;8.6805752;;;;;;;Original OSM;170.43;-0.86
Routenpunkt (Way);T;;49.8623648948718;8.6805954;;;;;;;Interpoliert (15m);170.25;-1.04
Routenpunkt (Way);T;;49.8624748974359;8.6806156;;;;;;;Interpoliert (15m);170.11;-1.35
Routenpunkt (Way);T;Franziska-Braun-Straße;49.8625849;8.6806358;;;;;;;Original OSM;170.0;-1.33
Routenpunkt (Way);T;Franziska-Braun-Straße;49.8626989;8.6806449;;;;;;;Original OSM;169.8;-1.69
Routenpunkt (Way);T;Franziska-Braun-Straße;49.8628103;8.680647033333333;;;;;;;Interpoliert;169.6;-2.11
Routenpunkt (Way);T;Franziska-Braun-Straße;49.8629217;8.680649166666667;;;;;;;Interpoliert;169.2;-2.59
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8630331;8.6806513;30.0;;;;;;Original OSM;168.8;-2.61
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86314156666667;8.6806509;30.0;;;;;;Interpoliert;168.4;-2.62
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86325003333333;8.680650499999999;30.0;;;;;;Interpoliert;168.2;-2.35
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8633585;8.6806501;30.0;;;;;;Original OSM;168.0;-2.04
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8634536;8.68064675;30.0;;;;;;Interpoliert;167.8;-1.69
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86356015;8.68064325;30.0;;;;;;Original OSM;167.6;-1.88
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86367573333333;8.680645133333332;30.0;;;;;;Interpoliert;167.4;-2.06
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86377986666667;8.680647166666667;30.0;;;;;;Interpoliert;167.1;-1.84
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.863884;8.6806492;30.0;;;;;;Original OSM;166.8;-1.68
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8640028;8.6806459;30.0;;;;;;Original OSM;166.7;-1.54
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864103875;8.68064345;30.0;;;;;;Interpoliert;166.6;-1.2
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86420495;8.680641;30.0;;;;;;Interpoliert;166.5;-0.86
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864306025000005;8.68063855;30.0;;;;;;Interpoliert;166.4;-0.99
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8644071;8.6806361;30.0;;;;;;Original OSM;166.3;-1.08
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864537875;8.680635124999998;30.0;;;;;;Interpoliert;166.1;-1.18
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86466865;8.68063415;30.0;;;;;;Interpoliert;165.9;-1.14
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864799425;8.680633175;30.0;;;;;;Interpoliert;165.7;-1.1
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8649302;8.6806322;30.0;;;;;;Original OSM;165.6;-0.96
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.865063675;8.680631;30.0;;;;;;Interpoliert;165.5;-0.82
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86519715;8.6806298;30.0;;;;;;Interpoliert;165.4;-0.54
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.865330625;8.6806286;30.0;;;;;;Interpoliert;165.3;-0.4
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8654641;8.6806274;30.0;;;;;;Original OSM;165.3;-0.27
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8655667;8.6806238;30.0;;;;;;Interpoliert;165.3;0.0
Routenpunkt (Way);T;;49.86569587777778;8.680583970370371;30.0;;;;;;Interpoliert (15m);165.3;0.27
Routenpunkt (Way);T;;49.86582505555556;8.680544140740741;30.0;;;;;;Interpoliert (15m);165.4;0.43
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86595423333334;8.680504311111113;30.0;;;;;;Original OSM;165.5;1.05
Routenpunkt (Way);T;;49.86605444166667;8.680412683333333;30.0;;;;;;Interpoliert (15m);165.6;1.66
Routenpunkt (Way);T;;49.86615465;8.680321055555556;30.0;;;;;;Interpoliert (15m);166.0;2.15
Routenpunkt (Way);T;;49.866254858333335;8.680229427777778;30.0;;;;;;Interpoliert (15m);166.4;2.49
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86635506666666;8.680137799999999;30.0;;;;;;Original OSM;166.8;2.58
Routenpunkt (Way);T;;49.86641312083333;8.6800649625;30.0;;;;;;Interpoliert (15m);167.0;2.1
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866471175;8.679992125;50.0;;;;;;Interpoliert;167.1;1.63
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86656855;8.679871550000001;50.0;;;;;;Interpoliert;167.2;1.16
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866665925;8.679750975000001;50.0;;;;;;Interpoliert;167.3;0.84
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8667633;8.6796304;50.0;;;;;;Original OSM;167.4;0.76
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86685803333334;8.679543800000001;50.0;;;;;;Interpoliert;167.5;0.62
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86695276666666;8.6794572;50.0;;;;;;Interpoliert;167.6;0.47
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.8670475;8.6793706;50.0;;;;;;Original OSM;167.6;0.33
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86713086666666;8.679308766666667;50.0;;;;;;Interpoliert;167.6;0.36
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.867214233333335;8.679246933333333;50.0;;;;;;Interpoliert;167.6;0.39
Routenpunkt (Way);T;;49.86729174523809;8.679168845238095;50.0;;;;;;Interpoliert (15m);167.7;0.56
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.867369257142855;8.679090757142857;50.0;;;;;;Original OSM;167.8;0.22
Routenpunkt (Way);T;;49.86743450357143;8.678958703571428;50.0;;;;;;Interpoliert (15m);167.9;-0.13
Routenpunkt (Way);T;Breslauer Platz;49.86749975;8.678826650000001;;;;;;;Interpoliert;167.7;-0.7
Routenpunkt (Way);T;Breslauer Platz;49.86755;8.6786901;;;;;;;Original OSM;167.5;-1.22
Routenpunkt (Way);T;Breslauer Platz;49.867594;8.6785566;;;;;;;Original OSM;167.3;-2.04
Routenpunkt (Way);T;;49.867664885;8.67842605;;;;;;;Interpoliert (15m);167.1;-2.76
Routenpunkt (Way);T;Breslauer Platz;49.86773577;8.6782955;;;;;;;Original OSM;166.7;-3.46
Routenpunkt (Way);T;;49.867794535;8.67824195;;;;;;;Interpoliert (15m);166.3;-16.92
Routenpunkt (Way);T;Botanischer Garten/Vivarium;49.8678533;8.6781884;;;;;;;Original OSM;165.9;-17.21
Haltestelle;W;Darmstadt Bot. Garten/Vivarium;49.8678553;8.6781936;;18:05:00;18:05:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 7m) | Auf Route gesnappt (7m);165.6;-17.08
Routenpunkt (Way);T;Breslauer Platz;49.86792455;8.6781103;;;;;;;Interpoliert;165.3;-16.03
Routenpunkt (Way);T;Breslauer Platz;49.8680181;8.678048400000002;;;;;;;Interpoliert;165.0;-14.76
Routenpunkt (Way);T;Breslauer Platz;49.86811165;8.677986500000001;;;;;;;Interpoliert;165.0;-0.71
Routenpunkt (Way);T;;49.868179675;8.67791186;;;;;;;Interpoliert (15m);165.1;0.3
Routenpunkt (Way);T;Breslauer Platz;49.8682477;8.677837219999999;;;;;;;Original OSM;165.2;1.22
Routenpunkt (Way);T;;49.86826565;8.677698509999999;;;;;;;Interpoliert (15m);165.4;1.49
Routenpunkt (Way);T;Roßdörfer Straße;49.8682836;8.6775598;30.0;;;;;;Original OSM;165.6;1.41
Routenpunkt (Way);T;Roßdörfer Straße;49.8683039;8.6773567;30.0;;;;;;Interpoliert;165.8;1.37
Routenpunkt (Way);T;Roßdörfer Straße;49.8683242;8.6771536;30.0;;;;;;Original OSM;165.9;1.16
Routenpunkt (Way);T;Roßdörfer Straße;49.8683398;8.6769975;30.0;;;;;;Interpoliert;166.0;0.94
Routenpunkt (Way);T;Roßdörfer Straße;49.8683554;8.6768414;30.0;;;;;;Interpoliert;166.1;0.67
Routenpunkt (Way);T;Roßdörfer Straße;49.868371;8.676685299999999;30.0;;;;;;Interpoliert;166.2;0.31
Routenpunkt (Way);T;Roßdörfer Straße;49.8683914;8.676481299999999;30.0;;;;;;Original OSM;166.2;-0.08
Routenpunkt (Way);T;;49.868407133333335;8.6763555;30.0;;;;;;Interpoliert (15m);166.1;-0.53
Routenpunkt (Way);T;Roßdörfer Straße;49.86842286666667;8.6762297;30.0;;;;;;Interpoliert;166.0;-0.97
Routenpunkt (Way);T;Roßdörfer Straße;49.86844953333333;8.676026;30.0;;;;;;Interpoliert;165.8;-1.43
Routenpunkt (Way);T;Roßdörfer Straße;49.8684762;8.6758223;30.0;;;;;;Original OSM;165.6;-1.51
Routenpunkt (Way);T;Roßdörfer Straße;49.868501071428575;8.675641742857144;30.0;;;;;;Interpoliert;165.3;-1.59
Routenpunkt (Way);T;Roßdörfer Straße;49.86852594285715;8.675461185714285;30.0;;;;;;Interpoliert;165.1;-1.63
Routenpunkt (Way);T;Roßdörfer Straße;49.86855081428572;8.675280628571429;30.0;;;;;;Interpoliert;164.9;-1.51
Routenpunkt (Way);T;Roßdörfer Straße;49.86857568571428;8.675100071428572;30.0;;;;;;Interpoliert;164.7;-1.06
Routenpunkt (Way);T;Roßdörfer Straße;49.868600557142855;8.674919514285715;30.0;;;;;;Interpoliert;164.6;-0.76
Routenpunkt (Way);T;Roßdörfer Straße;49.86862542857143;8.674738957142857;30.0;;;;;;Interpoliert;164.6;-0.45
Routenpunkt (Way);T;Roßdörfer Straße;49.8686503;8.6745584;30.0;;;;;;Original OSM;164.6;-0.15
Routenpunkt (Way);T;Roßdörfer Straße;49.8686722;8.67435405;30.0;;;;;;Interpoliert;164.6;0.0
Routenpunkt (Way);T;Roßdörfer Straße;49.8686941;8.674149700000001;30.0;;;;;;Interpoliert;164.6;0.13
Routenpunkt (Way);T;Roßdörfer Straße;49.868716;8.67394535;30.0;;;;;;Interpoliert;164.6;0.3
Routenpunkt (Way);T;Roßdörfer Straße;49.8687379;8.673741;30.0;;;;;;Original OSM;164.7;0.46
Routenpunkt (Way);T;Roßdörfer Straße;49.86876162;8.673575679999999;30.0;;;;;;Interpoliert;164.8;0.63
Routenpunkt (Way);T;Roßdörfer Straße;49.86878534;8.67341036;30.0;;;;;;Interpoliert;164.9;0.79
Routenpunkt (Way);T;Roßdörfer Straße;49.86880906;8.67324504;30.0;;;;;;Interpoliert;165.0;0.82
Routenpunkt (Way);T;Roßdörfer Straße;49.86883278;8.67307972;30.0;;;;;;Interpoliert;165.1;0.82
Routenpunkt (Way);T;Roßdörfer Straße;49.8688565;8.6729144;30.0;;;;;;Original OSM;165.2;0.81
Routenpunkt (Way);T;Roßdörfer Straße;49.86888006;8.67274204;30.0;;;;;;Interpoliert;165.3;0.8
Routenpunkt (Way);T;Roßdörfer Straße;49.86890362;8.67256968;30.0;;;;;;Interpoliert;165.4;0.64
Routenpunkt (Way);T;Roßdörfer Straße;49.86892718;8.67239732;30.0;;;;;;Interpoliert;165.5;0.48
Routenpunkt (Way);T;;49.86896059346154;8.672223423846154;30.0;;;;;;Interpoliert (15m);165.5;0.32
Routenpunkt (Way);T;Heidenreichstraße;49.86899400692308;8.672049527692307;;;;;;;Original OSM;165.5;0.16
Routenpunkt (Way);T;;49.869006003461536;8.671898113846154;;;;;;;Interpoliert (15m);165.5;0.0
Haltestelle;W;Darmstadt Heidenreichstraße;49.869018;8.6717467;30.0;18:06:00;18:06:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (1m);165.5;-0.14
Routenpunkt (Way);T;;49.86903745625;8.6715450625;30.0;;;;;;Interpoliert (15m);165.5;-0.28
Routenpunkt (Way);T;Roßdörfer Straße;49.8690569125;8.671343425;30.0;;;;;;Original OSM;165.4;-0.43
Routenpunkt (Way);T;;49.86907560625;8.6711519125;30.0;;;;;;Interpoliert (15m);165.3;-0.43
Routenpunkt (Way);T;Roßdörfer Straße;49.8690943;8.670960399999998;30.0;;;;;;Interpoliert;165.2;-0.43
Routenpunkt (Way);T;;49.86910835333333;8.67082007;30.0;;;;;;Interpoliert (15m);165.2;-0.29
Routenpunkt (Way);T;;49.86912240666667;8.670679739999999;30.0;;;;;;Interpoliert (15m);165.2;-0.14
Routenpunkt (Way);T;Roßdörfer Straße;49.86913646;8.67053941;30.0;;;;;;Original OSM;165.2;0.0
Routenpunkt (Way);T;;49.86915216222222;8.67038925111111;30.0;;;;;;Interpoliert (15m);165.2;0.0
Routenpunkt (Way);T;;49.86916786444444;8.670239092222223;30.0;;;;;;Interpoliert (15m);165.2;0.0
Routenpunkt (Way);T;Roßdörfer Straße;49.86918356666666;8.670088933333334;30.0;;;;;;Interpoliert;165.2;0.14
Routenpunkt (Way);T;Roßdörfer Straße;49.86920563333334;8.669892266666666;30.0;;;;;;Interpoliert;165.2;0.29
Routenpunkt (Way);T;Roßdörfer Straße;49.8692277;8.6696956;30.0;;;;;;Original OSM;165.3;0.49
Routenpunkt (Way);T;Roßdörfer Straße;49.8692463;8.6695163;30.0;;;;;;Original OSM;165.4;0.49
Routenpunkt (Way);T;Roßdörfer Straße;49.8692612;8.669373;30.0;;;;;;Original OSM;165.5;0.49
Routenpunkt (Way);T;Roßdörfer Straße;49.86927953333333;8.669196133333333;30.0;;;;;;Interpoliert;165.5;0.5
Routenpunkt (Way);T;Roßdörfer Straße;49.86929786666666;8.669019266666668;30.0;;;;;;Interpoliert;165.5;0.53
Routenpunkt (Way);T;Roßdörfer Straße;49.8693162;8.6688424;30.0;;;;;;Original OSM;165.6;-0.18
Routenpunkt (Way);T;Roßdörfer Straße;49.86933195;8.668690600000001;30.0;;;;;;Interpoliert;165.7;-0.69
Routenpunkt (Way);T;;49.86934305;8.668583700000001;30.0;;;;;;Interpoliert (15m);165.5;-1.58
Routenpunkt (Way);T;Roßdörfer Straße;49.86935415;8.6684768;30.0;;;;;;Original OSM;165.3;-1.74
Haltestelle;W;Darmstadt Beckstraße;49.8693606;8.6684148;30.0;18:07:00;18:07:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 0m) | Auf Route gesnappt (0m);165.1;-2.47
Routenpunkt (Way);T;Roßdörfer Straße;49.8693606;8.6684148;30.0;;;;;;Original OSM;164.8;-2.7
Routenpunkt (Way);T;Beckstraße;49.86941883333333;8.668293833333335;;;;;;;Original OSM;164.5;-2.93
Routenpunkt (Way);T;;49.86942139166667;8.668180927380952;;;;;;;Interpoliert (15m);164.2;-2.25
Routenpunkt (Way);T;Roßdörfer Straße;49.869423950000005;8.66806802142857;30.0;;;;;;Original OSM;163.9;-2.47
Routenpunkt (Way);T;;49.869417725;8.667939777380951;30.0;;;;;;Interpoliert (15m);163.8;-2.16
Routenpunkt (Way);T;Beckstraße;49.86941149999999;8.667811533333333;30.0;;;;;;Original OSM;163.7;-0.93
Routenpunkt (Way);T;;49.8693388;8.667801633333333;30.0;;;;;;Interpoliert (15m);163.6;0.11
Routenpunkt (Way);T;Beckstraße;49.8692661;8.667791733333333;30.0;;;;;;Interpoliert;163.8;0.62
Routenpunkt (Way);T;Beckstraße;49.8691437;8.667775066666668;30.0;;;;;;Interpoliert;164.0;1.27
Routenpunkt (Way);T;Beckstraße;49.8690213;8.6677584;30.0;;;;;;Interpoliert;164.2;1.96
Routenpunkt (Way);T;Beckstraße;49.8688989;8.667741733333333;30.0;;;;;;Interpoliert;164.5;1.9
Routenpunkt (Way);T;Beckstraße;49.8687765;8.667725066666668;30.0;;;;;;Interpoliert;164.8;2.05
Routenpunkt (Way);T;Kiesstraße;49.8686541;8.6677084;30.0;;;;;;Original OSM;165.1;1.91
Routenpunkt (Way);T;Kiesstraße;49.868651575;8.667518675;30.0;;;;;;Interpoliert;165.4;1.76
Routenpunkt (Way);T;Kiesstraße;49.86864905;8.66732895;30.0;;;;;;Interpoliert;165.5;1.8
Routenpunkt (Way);T;Kiesstraße;49.868646525;8.667139225;30.0;;;;;;Interpoliert;165.7;1.84
Routenpunkt (Way);T;;49.8686450375;8.6670222125;30.0;;;;;;Interpoliert (15m);165.9;1.86
Routenpunkt (Way);T;Kiesstraße;49.86864355;8.666905199999999;30.0;;;;;;Original OSM;166.1;2.17
Routenpunkt (Way);T;;49.868642325;8.6667843;30.0;;;;;;Interpoliert (15m);166.3;2.02
Routenpunkt (Way);T;Kiesstraße;49.8686411;8.6666634;30.0;;;;;;Interpoliert;166.5;1.68
Routenpunkt (Way);T;Kiesstraße;49.8686391;8.666465899999999;30.0;;;;;;Interpoliert;166.6;1.35
Routenpunkt (Way);T;Kiesstraße;49.8686371;8.6662684;30.0;;;;;;Interpoliert;166.7;1.04
Routenpunkt (Way);T;Kiesstraße;49.8686351;8.6660709;30.0;;;;;;Original OSM;166.8;0.42
Routenpunkt (Way);T;Kiesstraße;49.86863364;8.665887719999999;30.0;;;;;;Interpoliert;166.9;-0.02
Routenpunkt (Way);T;Kiesstraße;49.86863218;8.66570454;30.0;;;;;;Interpoliert;166.8;-0.47
Routenpunkt (Way);T;Kiesstraße;49.86863072;8.66552136;30.0;;;;;;Interpoliert;166.6;-0.91
Routenpunkt (Way);T;Kiesstraße;49.86862926;8.665338180000001;30.0;;;;;;Interpoliert;166.4;-1.41
Routenpunkt (Way);T;Kiesstraße;49.8686278;8.665155;30.0;;;;;;Original OSM;166.2;-1.43
