Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Unbekannt;49.8917975;8.6533796;;;;;;;Original OSM;142.0;-4.97
Haltestelle;W;Darmstadt Nordbahnhof;49.8917975;8.6533796;;19:27:00;19:27:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 21m) | Auf Route gesnappt (1m);140.5;-6.31
Routenpunkt (Way);T;Unbekannt;49.8918004;8.65327942;;;;;;;Original OSM;139.43;-6.65
Routenpunkt (Way);T;;49.8917384625;8.65322841;;;;;;;Interpoliert (15m);138.62;-7.4
Routenpunkt (Way);T;Frankfurter Straße;49.891676525;8.6531774;50.0;;;;;;Interpoliert;138.0;-8.31
Routenpunkt (Way);T;Frankfurter Straße;49.89155935;8.6531468;50.0;;;;;;Interpoliert;137.5;-6.93
Routenpunkt (Way);T;Frankfurter Straße;49.891442175;8.6531162;50.0;;;;;;Interpoliert;136.9;-7.79
Routenpunkt (Way);T;;49.8913755375;8.653099025;50.0;;;;;;Interpoliert (15m);136.3;-7.65
Routenpunkt (Way);T;Frankfurter Straße;49.8913089;8.65308185;50.0;;;;;;Original OSM;135.2;-8.56
Routenpunkt (Way);T;Frankfurter Straße;49.891186475;8.6530544;50.0;;;;;;Interpoliert;134.2;-7.49
Routenpunkt (Way);T;Frankfurter Straße;49.89108015;8.6530307;50.0;;;;;;Interpoliert;133.2;-5.72
Routenpunkt (Way);T;Frankfurter Straße;49.890973825;8.653007;50.0;;;;;;Interpoliert;133.3;-2.66
Routenpunkt (Way);T;Frankfurter Straße;49.8908675;8.6529833;50.0;;;;;;Original OSM;133.4;-1.06
Routenpunkt (Way);T;Frankfurter Straße;49.89073856;8.652955420000001;50.0;;;;;;Interpoliert;133.5;0.89
Routenpunkt (Way);T;Frankfurter Straße;49.89060962;8.65292754;50.0;;;;;;Interpoliert;133.6;1.0
Routenpunkt (Way);T;Frankfurter Straße;49.89048068;8.652899660000001;50.0;;;;;;Interpoliert;133.8;1.11
Routenpunkt (Way);T;Frankfurter Straße;49.89035174;8.65287178;50.0;;;;;;Interpoliert;134.0;1.3
Routenpunkt (Way);T;Frankfurter Straße;49.8902228;8.6528439;50.0;;;;;;Original OSM;134.2;1.3
Routenpunkt (Way);T;Frankfurter Straße;49.8901166;8.652807;50.0;;;;;;Original OSM;134.4;1.02
Routenpunkt (Way);T;Frankfurter Straße;49.8899876;8.6527623;50.0;;;;;;Original OSM;134.5;0.74
Routenpunkt (Way);T;Frankfurter Straße;49.8898968;8.6527393;50.0;;;;;;Interpoliert;134.5;0.47
Routenpunkt (Way);T;;49.88981233888889;8.652690100000001;50.0;;;;;;Interpoliert (15m);134.5;0.14
Routenpunkt (Way);T;;49.88972787777778;8.6526409;50.0;;;;;;Interpoliert (15m);134.5;0.0
Routenpunkt (Way);T;Frankfurter Straße;49.889643416666665;8.6525917;50.0;;;;;;Original OSM;134.5;-0.32
Routenpunkt (Way);T;;49.88959868333333;8.6524329;50.0;;;;;;Interpoliert (15m);134.5;-0.71
Routenpunkt (Way);T;Carl-Schenck-Ring;49.88955395;8.6522741;50.0;;;;;;Interpoliert;134.3;-1.02
Routenpunkt (Way);T;Carl-Schenck-Ring;49.8895367;8.6521344;50.0;;;;;;Original OSM;134.1;-1.32
Routenpunkt (Way);T;Carl-Schenck-Ring;49.88950256;8.65195668;50.0;;;;;;Interpoliert;133.9;-1.62
Routenpunkt (Way);T;Carl-Schenck-Ring;49.88946842;8.65177896;50.0;;;;;;Interpoliert;133.7;-1.75
Routenpunkt (Way);T;Carl-Schenck-Ring;49.88943428;8.65160124;50.0;;;;;;Interpoliert;133.5;-1.81
Routenpunkt (Way);T;Carl-Schenck-Ring;49.88940014;8.65142352;50.0;;;;;;Interpoliert;133.2;-1.93
Routenpunkt (Way);T;Carl-Schenck-Ring;49.889366;8.6512458;50.0;;;;;;Original OSM;132.9;-1.63
Routenpunkt (Way);T;Carl-Schenck-Ring;49.88932766666667;8.651056666666667;50.0;;;;;;Interpoliert;132.6;-1.33
Routenpunkt (Way);T;Carl-Schenck-Ring;49.88928933333334;8.650867533333333;50.0;;;;;;Interpoliert;132.6;-1.2
Routenpunkt (Way);T;Carl-Schenck-Ring;49.889251;8.6506784;50.0;;;;;;Original OSM;132.6;-1.07
