Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Böllenfalltor;49.85259;8.669732849999999;;;;;;;Interpoliert;194.8;1.14
Haltestelle;W;Darmstadt Böllenfalltor;49.85259;8.669732849999999;;07:14:00;07:14:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 21m) | Auf Route gesnappt (1m);195.5;0.86
Routenpunkt (Way);T;Böllenfalltor;49.852576685;8.66993561;;;;;;;Original OSM;196.0;0.68
Routenpunkt (Way);T;;49.85248104555556;8.669998717777776;;;;;;;Interpoliert (15m);196.0;0.68
Routenpunkt (Way);T;;49.85238540611111;8.670061825555555;;;;;;;Interpoliert (15m);196.0;1.41
Routenpunkt (Way);T;Klappacher Straße;49.85228976666667;8.670124933333332;50.0;;;;;;Original OSM;196.0;1.46
Routenpunkt (Way);T;;49.852270233333336;8.670014291666664;50.0;;;;;;Interpoliert (15m);196.3;1.87
Routenpunkt (Way);T;Klappacher Straße;49.8522507;8.669903649999998;50.0;;;;;;Interpoliert;196.6;1.87
Routenpunkt (Way);T;Klappacher Straße;49.8522157;8.6697081;50.0;;;;;;Original OSM;196.9;1.41
Routenpunkt (Way);T;Klappacher Straße;49.85218381428572;8.669531757142856;50.0;;;;;;Interpoliert;196.9;0.23
Routenpunkt (Way);T;Klappacher Straße;49.85215192857143;8.669355414285715;50.0;;;;;;Interpoliert;196.6;-1.42
Routenpunkt (Way);T;Klappacher Straße;49.852120042857145;8.669179071428571;50.0;;;;;;Interpoliert;196.3;-2.28
Routenpunkt (Way);T;Klappacher Straße;49.85208815714286;8.669002728571428;50.0;;;;;;Interpoliert;195.7;-2.74
Routenpunkt (Way);T;Klappacher Straße;49.85205627142857;8.668826385714285;50.0;;;;;;Interpoliert;195.4;-2.74
Routenpunkt (Way);T;Klappacher Straße;49.85202438571429;8.668650042857143;50.0;;;;;;Interpoliert;195.1;-2.7
Routenpunkt (Way);T;Klappacher Straße;49.8519925;8.6684737;50.0;;;;;;Original OSM;194.8;-2.91
Routenpunkt (Way);T;Klappacher Straße;49.851957850000005;8.6682818375;50.0;;;;;;Interpoliert;194.5;-3.57
Routenpunkt (Way);T;Klappacher Straße;49.8519232;8.668089975000001;50.0;;;;;;Interpoliert;193.7;-4.24
Routenpunkt (Way);T;Klappacher Straße;49.85188855;8.6678981125;50.0;;;;;;Interpoliert;192.9;-4.9
Routenpunkt (Way);T;Klappacher Straße;49.8518539;8.66770625;50.0;;;;;;Interpoliert;192.1;-5.6
Routenpunkt (Way);T;Klappacher Straße;49.851819250000005;8.6675143875;50.0;;;;;;Interpoliert;191.3;-5.18
Routenpunkt (Way);T;Klappacher Straße;49.8517846;8.667322525;50.0;;;;;;Interpoliert;190.5;-2.84
Routenpunkt (Way);T;Klappacher Straße;49.85174995;8.6671306625;50.0;;;;;;Interpoliert;190.0;-0.51
Routenpunkt (Way);T;;49.85172915;8.66702065625;50.0;;;;;;Interpoliert (15m);190.5;1.91
Routenpunkt (Way);T;Klappacher Straße;49.85170835;8.66691065;50.0;;;;;;Original OSM;191.0;4.33
Routenpunkt (Way);T;;49.8516875375;8.666808012499999;50.0;;;;;;Interpoliert (15m);191.5;6.38
Routenpunkt (Way);T;Klappacher Straße;49.851666725;8.666705375;50.0;;;;;;Interpoliert;192.0;6.52
Routenpunkt (Way);T;Klappacher Straße;49.851632050000006;8.666528249999999;50.0;;;;;;Interpoliert;192.9;6.66
Routenpunkt (Way);T;Klappacher Straße;49.851597375;8.666351125;50.0;;;;;;Interpoliert;193.8;6.68
Routenpunkt (Way);T;Klappacher Straße;49.8515627;8.666174;50.0;;;;;;Original OSM;194.7;6.71
Routenpunkt (Way);T;Klappacher Straße;49.85152957272727;8.665990672727272;50.0;;;;;;Interpoliert;195.6;6.67
Routenpunkt (Way);T;Klappacher Straße;49.85149644545455;8.665807345454546;50.0;;;;;;Interpoliert;196.5;5.17
Routenpunkt (Way);T;Klappacher Straße;49.85146331818182;8.665624018181818;50.0;;;;;;Interpoliert;197.4;3.66
Routenpunkt (Way);T;Klappacher Straße;49.85143019090909;8.66544069090909;50.0;;;;;;Interpoliert;197.3;2.2
Routenpunkt (Way);T;Klappacher Straße;49.85139706363636;8.665257363636364;50.0;;;;;;Interpoliert;197.2;0.73
Routenpunkt (Way);T;Klappacher Straße;49.85136393636364;8.665074036363636;50.0;;;;;;Interpoliert;197.1;-1.03
Routenpunkt (Way);T;Klappacher Straße;49.85133080909091;8.66489070909091;50.0;;;;;;Interpoliert;197.0;-1.32
