Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Unbekannt;50.0831591;8.6809099;;;;;;;Original OSM;130.4;-0.18
Haltestelle;W;F Lerchesberg;50.0831591;8.6809099;;12:47:00;12:47:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 33m) | Auf Route gesnappt (13m);130.33;-0.25
Routenpunkt (Way);T;Unbekannt;50.0831864;8.68079345;;;;;;;Original OSM;130.29;-0.27
Routenpunkt (Way);T;;50.083179400000006;8.680683575;;;;;;;Interpoliert (15m);130.25;-0.3
Routenpunkt (Way);T;Bertha-von-Suttner-Ring;50.0831724;8.6805737;50.0;;;;;;Original OSM;130.22;-0.71
Routenpunkt (Way);T;Bertha-von-Suttner-Ring;50.083061;8.680468366666666;50.0;;;;;;Interpoliert;130.2;-1.38
Routenpunkt (Way);T;Bertha-von-Suttner-Ring;50.0829496;8.680363033333334;50.0;;;;;;Interpoliert;129.9;-1.81
Routenpunkt (Way);T;;50.082914;8.680269754166666;50.0;;;;;;Interpoliert (15m);129.6;-2.08
Routenpunkt (Way);T;Bertha-von-Suttner-Ring;50.0828784;8.680176475;50.0;;;;;;Original OSM;129.4;-2.39
Routenpunkt (Way);T;;50.082942725;8.6800458625;50.0;;;;;;Interpoliert (15m);129.2;-2.8
Routenpunkt (Way);T;Bischofsweg;50.08300705;8.67991525;30.0;;;;;;Interpoliert;129.0;-2.84
Routenpunkt (Way);T;;50.0830693375;8.6797753375;30.0;;;;;;Interpoliert (15m);128.5;-3.02
Routenpunkt (Way);T;Bischofsweg;50.083131625;8.679635425;30.0;;;;;;Interpoliert;128.0;-3.68
Routenpunkt (Way);T;Bischofsweg;50.083194;8.67945935;30.0;;;;;;Interpoliert;127.5;-4.1
Routenpunkt (Way);T;Bischofsweg;50.0832354;8.6793346;30.0;;;;;;Original OSM;127.0;-4.34
Routenpunkt (Way);T;Bischofsweg;50.08326635;8.679155900000001;30.0;;;;;;Interpoliert;126.5;-3.51
Routenpunkt (Way);T;Bischofsweg;50.0832973;8.6789772;30.0;;;;;;Original OSM;125.8;-4.15
Haltestelle;W;F Lerchesbergring;50.0832973;8.6789772;30.0;12:47:00;12:47:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 0m) | Auf Route gesnappt (0m);125.1;-6.07
Routenpunkt (Way);T;Bischofsweg;50.0833169;8.6788339;30.0;;;;;;Interpoliert;124.4;-8.24
Routenpunkt (Way);T;;50.083331;8.678730550000001;30.0;;;;;;Interpoliert (15m);123.3;-8.88
Routenpunkt (Way);T;Bischofsweg;50.0833451;8.6786272;30.0;;;;;;Original OSM;122.2;-10.59
Routenpunkt (Way);T;;50.08335735;8.678497233333331;30.0;;;;;;Interpoliert (15m);121.4;-10.38
Routenpunkt (Way);T;Bischofsweg;50.083369600000005;8.678367266666665;30.0;;;;;;Interpoliert;120.6;-9.09
Routenpunkt (Way);T;Bischofsweg;50.0833855;8.678170733333333;30.0;;;;;;Interpoliert;119.8;-7.8
Routenpunkt (Way);T;;50.08341293;8.677986261666668;30.0;;;;;;Interpoliert (15m);118.7;-7.57
Routenpunkt (Way);T;Bischofsweg;50.08344036;8.67780179;30.0;;;;;;Original OSM;117.6;-7.34
Routenpunkt (Way);T;;50.08347438;8.677679695;30.0;;;;;;Interpoliert (15m);116.9;-7.5
Routenpunkt (Way);T;Bischofsweg;50.0835084;8.6775576;30.0;;;;;;Interpoliert;116.2;-6.61
Routenpunkt (Way);T;Bischofsweg;50.0835519;8.677422100000001;30.0;;;;;;Interpoliert;115.5;-5.62
Routenpunkt (Way);T;Bischofsweg;50.0835954;8.6772866;30.0;;;;;;Original OSM;115.1;-4.78
Routenpunkt (Way);T;Bischofsweg;50.08364313333333;8.677127083333334;30.0;;;;;;Interpoliert;114.7;-3.95
