Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Max-Jarecki-Straße;49.4011361;8.6723984;30.0;;;;;;Original OSM;112.2;0.74
Haltestelle;W;Bahnstadt, Hauptbahnhof Süd;49.4011361;8.6723984;30.0;07:21:00;07:21:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 24m) | Auf Route gesnappt (4m);112.5;0.62
Routenpunkt (Way);T;Max-Jarecki-Straße;49.4012161;8.6724495;30.0;;;;;;Original OSM;112.71;0.54
Routenpunkt (Way);T;;49.4013275875;8.672522887500001;30.0;;;;;;Interpoliert (15m);112.75;0.57
Routenpunkt (Way);T;;49.401439075;8.672596275;30.0;;;;;;Interpoliert (15m);112.78;0.87
Routenpunkt (Way);T;;49.4015505625;8.6726696625;30.0;;;;;;Interpoliert (15m);112.8;0.72
Routenpunkt (Way);T;;49.40166205;8.672743050000001;30.0;;;;;;Interpoliert (15m);113.0;0.96
Routenpunkt (Way);T;;49.4017735375;8.6728164375;30.0;;;;;;Interpoliert (15m);113.2;0.77
Routenpunkt (Way);T;;49.401885025;8.672889825;30.0;;;;;;Interpoliert (15m);113.4;0.59
Routenpunkt (Way);T;;49.4019965125;8.6729632125;30.0;;;;;;Interpoliert (15m);113.3;0.11
Routenpunkt (Way);T;Max-Jarecki-Straße;49.402108;8.6730366;30.0;;;;;;Original OSM;113.2;-1.18
Ampel;A;Ampel;49.4021966;8.6731015;30.0;;;;;;Original OSM;113.1;-2.34
Routenpunkt (Way);T;Max-Jarecki-Straße;49.40227405;8.67317225;30.0;;;;;;Original OSM;112.6;-3.06
Routenpunkt (Way);T;;49.40235054166666;8.673223008333334;30.0;;;;;;Interpoliert (15m);112.2;-3.51
Routenpunkt (Way);T;Czernyring;49.40242703333333;8.673273766666666;50.0;;;;;;Original OSM;111.8;-3.65
Ampel;A;Ampel;49.4024982;8.6731248;50.0;;;;;;Original OSM;111.4;-2.98
Routenpunkt (Way);T;Czernyring;49.40256336666666;8.6729885;50.0;;;;;;Interpoliert;111.2;-2.44
Routenpunkt (Way);T;Czernyring;49.402628533333335;8.6728522;50.0;;;;;;Interpoliert;111.0;-1.89
Routenpunkt (Way);T;Czernyring;49.4026937;8.6727159;50.0;;;;;;Original OSM;110.8;-1.59
Routenpunkt (Way);T;Czernyring;49.4027687;8.6725776;50.0;;;;;;Interpoliert;110.6;-1.54
Routenpunkt (Way);T;Czernyring;49.4028437;8.6724393;50.0;;;;;;Original OSM;110.4;-0.94
Routenpunkt (Way);T;Czernyring;49.4029332;8.6722876;50.0;;;;;;Interpoliert;110.2;0.02
Ampel;A;Ampel;49.4030227;8.6721359;50.0;;;;;;Original OSM;110.4;0.92
Routenpunkt (Way);T;Czernyring;49.403102083333344;8.672009533333332;50.0;;;;;;Original OSM;110.8;1.83
Routenpunkt (Way);T;;49.403188041666674;8.671880516666665;50.0;;;;;;Interpoliert (15m);111.2;3.4
Routenpunkt (Way);T;Czernyring;49.403274;8.6717515;50.0;;;;;;Original OSM;111.6;3.48
Ampel;A;Ampel;49.4032948;8.6717238;50.0;;;;;;Original OSM;111.8;3.2
Routenpunkt (Way);T;Czernyring;49.403374675;8.67162255;50.0;;;;;;Interpoliert;112.0;2.95
Routenpunkt (Way);T;Czernyring;49.40345455;8.6715213;50.0;;;;;;Interpoliert;112.2;2.7
Routenpunkt (Way);T;Czernyring;49.403534425;8.67142005;50.0;;;;;;Interpoliert;112.4;1.89
Routenpunkt (Way);T;Czernyring;49.4036143;8.6713188;50.0;;;;;;Original OSM;112.6;2.05
Routenpunkt (Way);T;Czernyring;49.4037007;8.67122095;50.0;;;;;;Interpoliert;112.9;1.34
Routenpunkt (Way);T;Czernyring;49.4037871;8.6711231;50.0;;;;;;Original OSM;113.2;0.62
Routenpunkt (Way);T;Czernyring;49.40386445;8.67102885;50.0;;;;;;Interpoliert;113.0;-0.05
Routenpunkt (Way);T;Czernyring;49.4039418;8.6709346;50.0;;;;;;Original OSM;112.8;-0.88
Routenpunkt (Way);T;Czernyring;49.40402716;8.67082968;50.0;;;;;;Interpoliert;112.6;-1.72
Routenpunkt (Way);T;Czernyring;49.40411252;8.67072476;50.0;;;;;;Interpoliert;112.4;-1.68
Routenpunkt (Way);T;Czernyring;49.40419788;8.67061984;50.0;;;;;;Interpoliert;112.2;-1.71
Routenpunkt (Way);T;Czernyring;49.40428324;8.67051492;50.0;;;;;;Interpoliert;112.0;-1.77
Routenpunkt (Way);T;;49.40435474333333;8.670426013333334;50.0;;;;;;Interpoliert (15m);111.8;-2.03
Routenpunkt (Way);T;;49.40442624666667;8.670337106666667;50.0;;;;;;Interpoliert (15m);111.6;-2.25
Routenpunkt (Way);T;Czernyring;49.40449775;8.6702482;50.0;;;;;;Original OSM;111.3;-2.29
Routenpunkt (Way);T;;49.404573075;8.67015245;50.0;;;;;;Interpoliert (15m);111.0;-2.19
Routenpunkt (Way);T;Czernyring;49.4046484;8.6700567;50.0;;;;;;Interpoliert;110.8;-2.08
Routenpunkt (Way);T;Czernyring;49.4047452;8.6699375;50.0;;;;;;Original OSM;110.6;-1.78
Routenpunkt (Way);T;Czernyring;49.4048474;8.6698242;50.0;;;;;;Interpoliert;110.4;-1.6
Ampel;A;Ampel;49.4049496;8.6697109;50.0;;;;;;Original OSM;110.2;-0.68
Routenpunkt (Way);T;;49.40504499666667;8.6696758;50.0;;;;;;Interpoliert (15m);110.0;0.04
Routenpunkt (Way);T;Czernyring;49.40514039333333;8.6696407;50.0;;;;;;Original OSM;110.3;0.75
Routenpunkt (Way);T;;49.40525868952381;8.669711185714286;50.0;;;;;;Interpoliert (15m);110.6;1.85
Routenpunkt (Way);T;Czernyring;49.40537698571429;8.669781671428572;50.0;;;;;;Interpoliert;110.9;3.03
Routenpunkt (Way);T;Czernyring;49.40548637142857;8.669895742857143;50.0;;;;;;Interpoliert;111.5;3.57
Routenpunkt (Way);T;Czernyring;49.405595757142855;8.670009814285715;50.0;;;;;;Interpoliert;112.1;4.24
Routenpunkt (Way);T;Czernyring;49.40570514285714;8.670123885714286;50.0;;;;;;Interpoliert;112.9;4.9
Routenpunkt (Way);T;Czernyring;49.40581452857143;8.670237957142858;50.0;;;;;;Interpoliert;113.7;4.9
Routenpunkt (Way);T;Czernyring;49.40592391428572;8.670352028571429;50.0;;;;;;Interpoliert;114.5;5.66
Routenpunkt (Way);T;Czernyring;49.4060333;8.6704661;50.0;;;;;;Original OSM;115.1;4.83
Routenpunkt (Way);T;;49.4060845;8.670536049999999;50.0;;;;;;Interpoliert (15m);115.7;3.9
Routenpunkt (Way);T;Alte Eppelheimer Straße;49.4061357;8.670606;50.0;;;;;;Original OSM;115.8;2.98
Routenpunkt (Way);T;;49.4061732;8.670766916666665;50.0;;;;;;Interpoliert (15m);115.9;1.68
Routenpunkt (Way);T;Alte Eppelheimer Straße;49.4062107;8.670927833333332;50.0;;;;;;Original OSM;116.0;-0.37
Routenpunkt (Way);T;;49.406218800000005;8.671042316666666;50.0;;;;;;Interpoliert (15m);115.8;-0.64
Routenpunkt (Way);T;Alte Eppelheimer Straße;49.4062269;8.6711568;50.0;;;;;;Original OSM;115.6;-0.8
Haltestelle;W;Heidelberg, Czernybrücke;49.4062269;8.6711568;50.0;07:24:00;07:24:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 68m) | Auf Route gesnappt (48m);115.4;-1.71
Routenpunkt (Way);T;Alte Eppelheimer Straße;49.4062269;8.6711568;50.0;;;;;;Original OSM;115.0;-1.6
Routenpunkt (Way);T;Alte Eppelheimer Straße;49.4062062;8.671301566666667;50.0;;;;;;Interpoliert;114.6;-1.44
Routenpunkt (Way);T;Alte Eppelheimer Straße;49.4061855;8.671446333333334;50.0;;;;;;Interpoliert;114.4;-1.77
Routenpunkt (Way);T;;49.40616315;8.671613883333332;50.0;;;;;;Interpoliert (15m);114.2;-2.5
