Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Königstuhl;49.40266745;8.72778355;30.0;;;;;;Interpoliert;559.6;-0.18
Haltestelle;W;Heidelberg, Königstuhl;49.40266745;8.72778355;30.0;14:00:00;14:00:00;Kein Umlauf;Sa,So;1318.0;Original GTFS (Snap-Distanz 22m) | Auf Route gesnappt (2m);559.5;-0.24
Routenpunkt (Way);T;Königstuhl;49.402549075;8.727789325;30.0;;;;;;Interpoliert;559.43;-0.25
Routenpunkt (Way);T;Königstuhl;49.4024307;8.7277951;30.0;;;;;;Original OSM;559.38;-0.3
Routenpunkt (Way);T;Königstuhl;49.40230712;8.72780026;30.0;;;;;;Interpoliert;559.33;-0.44
Routenpunkt (Way);T;Königstuhl;49.40218354;8.72780542;30.0;;;;;;Interpoliert;559.3;-0.34
Routenpunkt (Way);T;Königstuhl;49.40205996;8.72781058;30.0;;;;;;Interpoliert;559.2;-0.25
Routenpunkt (Way);T;Königstuhl;49.40193638;8.727815739999999;30.0;;;;;;Interpoliert;559.2;0.04
Routenpunkt (Way);T;;49.40185789;8.727818753333333;30.0;;;;;;Interpoliert (15m);559.2;0.34
Routenpunkt (Way);T;Königstuhl;49.4017794;8.727821766666667;30.0;;;;;;Original OSM;559.3;0.75
Routenpunkt (Way);T;;49.4017101;8.727821183333333;30.0;;;;;;Interpoliert (15m);559.4;-0.28
Routenpunkt (Way);T;Turmweg;49.4016408;8.7278206;50.0;;;;;;Original OSM;559.5;-1.31
Routenpunkt (Way);T;Turmweg;49.40152608333334;8.727755216666665;50.0;;;;;;Interpoliert;558.8;-2.57
Routenpunkt (Way);T;Turmweg;49.40141136666667;8.727689833333333;50.0;;;;;;Interpoliert;558.1;-3.86
Routenpunkt (Way);T;Turmweg;49.401296650000006;8.72762445;50.0;;;;;;Interpoliert;557.4;-5.15
Routenpunkt (Way);T;Turmweg;49.40118193333333;8.727559066666666;50.0;;;;;;Interpoliert;556.7;-5.58
Routenpunkt (Way);T;Turmweg;49.40106721666667;8.727493683333332;50.0;;;;;;Interpoliert;556.0;-6.01
Routenpunkt (Way);T;;49.400975288333335;8.727439311666666;50.0;;;;;;Interpoliert (15m);555.2;-5.72
Routenpunkt (Way);T;Turmweg;49.40088336;8.72738494;50.0;;;;;;Original OSM;554.4;-5.44
Routenpunkt (Way);T;;49.40078893;8.72735197;50.0;;;;;;Interpoliert (15m);554.0;-5.32
Haltestelle;W;Heidelberg, Sternwarte;49.4006945;8.727319;50.0;14:02:00;14:02:00;Kein Umlauf;Sa,So;1318.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (4m);553.6;-3.16
Routenpunkt (Way);T;Königstuhl;49.400636266666666;8.727400483333334;50.0;;;;;;Original OSM;553.2;-1.01
Routenpunkt (Way);T;;49.400545227777776;8.727475572222222;50.0;;;;;;Interpoliert (15m);553.6;0.43
Routenpunkt (Way);T;;49.40045418888889;8.727550661111112;50.0;;;;;;Interpoliert (15m);554.0;2.09
Routenpunkt (Way);T;Königstuhlweg;49.40036315;8.72762575;;;;;;;Interpoliert;554.4;3.81
Routenpunkt (Way);T;Königstuhlweg;49.4002782;8.7277016;;;;;;;Original OSM;554.9;3.98
Routenpunkt (Way);T;Königstuhlweg;49.4001851;8.7277943;;;;;;;Original OSM;555.4;4.39
Routenpunkt (Way);T;Königstuhlweg;49.4000998;8.7278871;;;;;;;Original OSM;555.9;4.23
Routenpunkt (Way);T;Königstuhlweg;49.4000075;8.7279886;;;;;;;Original OSM;556.6;3.85
Routenpunkt (Way);T;Königstuhlweg;49.39992965;8.72808615;;;;;;;Interpoliert;556.9;3.51
Routenpunkt (Way);T;Königstuhlweg;49.3998518;8.7281837;;;;;;;Original OSM;557.2;3.13
Routenpunkt (Way);T;Königstuhlweg;49.3997641;8.7282979;;;;;;;Original OSM;557.5;2.5
Routenpunkt (Way);T;Königstuhlweg;49.3996796;8.728413;;;;;;;Interpoliert;557.8;2.5
