Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Unbekannt;49.4044136;8.677765;;;;;;;Original OSM;120.0;-0.76
Haltestelle;W;Heidelberg, Hauptbahnhof;49.4044136;8.677765;;05:51:00;05:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 47m) | Auf Route gesnappt (27m);119.67;-1.0
Routenpunkt (Way);T;;49.40440680625;8.6779091375;;;;;;;Interpoliert (15m);119.43;-1.01
Routenpunkt (Way);T;Unbekannt;49.4044000125;8.678053275;;;;;;;Interpoliert;119.25;-1.18
Routenpunkt (Way);T;;49.40440205625;8.6782353375;;;;;;;Interpoliert (15m);119.11;-1.73
Routenpunkt (Way);T;Unbekannt;49.4044041;8.6784174;;;;;;;Original OSM;119.0;-1.83
Routenpunkt (Way);T;Unbekannt;49.404423300000005;8.6786145;;;;;;;Interpoliert;118.6;-2.17
Routenpunkt (Way);T;Unbekannt;49.4044425;8.6788116;;;;;;;Original OSM;118.2;-2.64
Routenpunkt (Way);T;Unbekannt;49.40446535;8.6789698;;;;;;;Interpoliert;117.8;-2.77
Routenpunkt (Way);T;Unbekannt;49.4044882;8.679128;;;;;;;Original OSM;117.4;-2.21
Routenpunkt (Way);T;Unbekannt;49.40451965;8.67930925;;;;;;;Interpoliert;117.2;-1.66
Routenpunkt (Way);T;Unbekannt;49.4045511;8.6794905;;;;;;;Original OSM;117.2;-0.98
Routenpunkt (Way);T;Unbekannt;49.40458655;8.6796842375;;;;;;;Interpoliert;117.2;-0.57
Routenpunkt (Way);T;Unbekannt;49.404622;8.679877975;;;;;;;Interpoliert;117.2;-0.55
Routenpunkt (Way);T;Unbekannt;49.40465745;8.6800717125;;;;;;;Interpoliert;117.0;-0.55
Routenpunkt (Way);T;Unbekannt;49.4046929;8.68026545;;;;;;;Interpoliert;116.8;-0.55
Routenpunkt (Way);T;Unbekannt;49.40472835;8.6804591875;;;;;;;Interpoliert;116.8;-0.55
Routenpunkt (Way);T;Unbekannt;49.4047638;8.680652925;;;;;;;Interpoliert;116.8;-0.41
Routenpunkt (Way);T;Unbekannt;49.40479925;8.6808466625;;;;;;;Interpoliert;116.8;-0.56
Routenpunkt (Way);T;;49.40483199166667;8.681039281250001;;;;;;;Interpoliert (15m);116.7;-0.69
Routenpunkt (Way);T;Unbekannt;49.40486473333333;8.6812319;;;;;;;Original OSM;116.4;-0.82
Routenpunkt (Way);T;;49.4048970037037;8.681433044444445;;;;;;;Interpoliert (15m);116.3;-0.69
Routenpunkt (Way);T;;49.40492927407408;8.68163418888889;;;;;;;Interpoliert (15m);116.2;-0.14
Routenpunkt (Way);T;Stadtwerke;49.40496154444445;8.681835333333334;;;;;;;Interpoliert;116.3;0.7
Routenpunkt (Way);T;;49.40499686851852;8.682027716666667;;;;;;;Interpoliert (15m);116.6;1.24
