Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3895279;8.735256;100.0;;;;;;Original OSM;498.4;1.04
Haltestelle;W;Heidelberg, Kohlhof-Fachklinik;49.3895279;8.735256;100.0;20:35:00;20:35:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 22m) | Auf Route gesnappt (2m);499.0;1.37
Routenpunkt (Way);T;;49.38945061842105;8.735108492105264;100.0;;;;;;Interpoliert (15m);499.43;1.59
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38937333684211;8.734960984210527;100.0;;;;;;Original OSM;499.75;0.07
Routenpunkt (Way);T;;49.38933624894893;8.734766121815635;100.0;;;;;;Interpoliert (15m);500.11;-0.88
Routenpunkt (Way);T;;49.38929916105575;8.734571259420742;100.0;;;;;;Interpoliert (15m);499.0;-2.46
Routenpunkt (Way);T;;49.38926207316257;8.73437639702585;100.0;;;;;;Interpoliert (15m);498.3;-3.88
Routenpunkt (Way);T;;49.389224985269394;8.734181534630956;100.0;;;;;;Interpoliert (15m);497.6;-6.14
Routenpunkt (Way);T;;49.38918789737621;8.733986672236064;100.0;;;;;;Interpoliert (15m);496.9;-6.4
Routenpunkt (Way);T;;49.38915080948303;8.733791809841172;100.0;;;;;;Interpoliert (15m);495.6;-7.21
Routenpunkt (Way);T;;49.38911372158985;8.733596947446278;100.0;;;;;;Interpoliert (15m);494.3;-8.44
Routenpunkt (Way);T;;49.38907663369667;8.733402085051386;100.0;;;;;;Interpoliert (15m);493.0;-9.66
Routenpunkt (Way);T;;49.389039545803485;8.733207222656494;100.0;;;;;;Interpoliert (15m);491.4;-10.21
Routenpunkt (Way);T;;49.38900245791031;8.7330123602616;100.0;;;;;;Interpoliert (15m);489.8;-8.85
Routenpunkt (Way);T;;49.388965370017125;8.732817497866709;100.0;;;;;;Interpoliert (15m);488.1;-7.49
Routenpunkt (Way);T;;49.38892828212395;8.732622635471815;100.0;;;;;;Interpoliert (15m);487.8;-5.45
Routenpunkt (Way);T;Drei-Eichen-Weg;49.388891194230766;8.732427773076923;100.0;;;;;;Original OSM;487.5;-3.42
Routenpunkt (Way);T;;49.38884503791208;8.73225211978022;100.0;;;;;;Interpoliert (15m);487.4;-1.25
Routenpunkt (Way);T;;49.3887988815934;8.732076466483516;100.0;;;;;;Interpoliert (15m);487.3;-0.99
Routenpunkt (Way);T;;49.38875272527472;8.731900813186813;100.0;;;;;;Interpoliert (15m);487.2;-0.73
Routenpunkt (Way);T;;49.388706568956046;8.731725159890109;100.0;;;;;;Interpoliert (15m);487.1;-0.29
Routenpunkt (Way);T;;49.38866041263736;8.731549506593407;100.0;;;;;;Interpoliert (15m);487.0;-0.58
Routenpunkt (Way);T;;49.38861425631868;8.731373853296702;100.0;;;;;;Interpoliert (15m);487.2;-1.12
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3885681;8.7311982;100.0;;;;;;Original OSM;486.9;-1.65
Routenpunkt (Way);T;;49.3884908;8.731169175;100.0;;;;;;Interpoliert (15m);486.6;-2.75
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3884135;8.73114015;100.0;;;;;;Original OSM;486.3;-4.84
Haltestelle;W;Heidelberg, Alter Kohlhof;49.3883715;8.7311246;100.0;20:36:00;20:36:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (1m);486.0;-5.16
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3883229;8.7311066;100.0;;;;;;Original OSM;485.5;-5.24
Routenpunkt (Way);T;;49.388205722222224;8.731075486111111;100.0;;;;;;Interpoliert (15m);485.0;-5.32
Routenpunkt (Way);T;;49.38808854444444;8.731044372222224;100.0;;;;;;Interpoliert (15m);484.5;-4.07
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38797136666667;8.731013258333334;100.0;;;;;;Original OSM;484.0;-2.27
Routenpunkt (Way);T;;49.387860200000006;8.731012595833334;100.0;;;;;;Interpoliert (15m);484.0;-0.51
Routenpunkt (Way);T;Drei-Eichen-Weg;49.387749033333336;8.731011933333333;100.0;;;;;;Interpoliert;484.0;1.24
Routenpunkt (Way);T;Drei-Eichen-Weg;49.387659166666666;8.731017866666667;100.0;;;;;;Interpoliert;484.5;2.73
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3875693;8.7310238;100.0;;;;;;Original OSM;485.0;3.47
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38744806666667;8.731050733333333;100.0;;;;;;Interpoliert;485.5;4.2
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38732683333333;8.731077666666666;100.0;;;;;;Interpoliert;486.0;4.72
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3872056;8.7311046;100.0;;;;;;Original OSM;486.5;5.23
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3870896;8.731144050000001;100.0;;;;;;Interpoliert;487.5;6.06
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3869736;8.7311835;100.0;;;;;;Original OSM;488.5;4.23
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38686755;8.73125055;100.0;;;;;;Interpoliert;489.5;2.45
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3867615;8.7313176;100.0;;;;;;Original OSM;488.8;-0.11
Routenpunkt (Way);T;Drei-Eichen-Weg;49.386661875;8.731420275000001;100.0;;;;;;Interpoliert;488.1;-2.68
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38656225;8.73152295;100.0;;;;;;Interpoliert;487.4;-5.3
Routenpunkt (Way);T;Drei-Eichen-Weg;49.386462625;8.731625625;100.0;;;;;;Interpoliert;486.7;-5.42
Routenpunkt (Way);T;Drei-Eichen-Weg;49.386363;8.7317283;100.0;;;;;;Original OSM;486.0;-5.59
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3862861;8.731834066666666;100.0;;;;;;Interpoliert;485.3;-5.58
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3862092;8.731939833333334;100.0;;;;;;Interpoliert;484.6;-5.36
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3861323;8.7320456;100.0;;;;;;Original OSM;484.0;-5.14
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38604228333333;8.732190566666667;100.0;;;;;;Interpoliert;483.4;-3.09
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38595226666666;8.732335533333332;100.0;;;;;;Interpoliert;482.8;-1.05
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38586225;8.7324805;100.0;;;;;;Interpoliert;483.4;0.83
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38577223333333;8.732625466666667;100.0;;;;;;Interpoliert;484.0;2.48
Routenpunkt (Way);T;Drei-Eichen-Weg;49.385682216666666;8.732770433333332;100.0;;;;;;Interpoliert;484.6;1.26
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3855922;8.7329154;100.0;;;;;;Original OSM;485.2;0.57
Routenpunkt (Way);T;Drei-Eichen-Weg;49.3855197;8.733012800000001;100.0;;;;;;Interpoliert;484.1;-0.12
Routenpunkt (Way);T;;49.38540640000001;8.733106534000001;100.0;;;;;;Interpoliert (15m);484.2;-1.65
Routenpunkt (Way);T;;49.385293100000005;8.733200268000001;100.0;;;;;;Interpoliert (15m);484.3;-3.17
Routenpunkt (Way);T;;49.38517980000001;8.733294002000001;100.0;;;;;;Interpoliert (15m);483.8;-1.82
Routenpunkt (Way);T;;49.38506650000001;8.733387736000001;100.0;;;;;;Interpoliert (15m);483.3;-2.83
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38495320000001;8.733481470000001;100.0;;;;;;Original OSM;482.8;-2.62
Routenpunkt (Way);T;;49.38485100000001;8.733499446666666;100.0;;;;;;Interpoliert (15m);482.3;-1.57
Routenpunkt (Way);T;;49.3847488;8.733517423333334;100.0;;;;;;Interpoliert (15m);482.5;-0.43
Haltestelle;W;Heidelberg, Posseltslust;49.3846466;8.7335354;100.0;20:37:00;20:37:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 2m) | Auf Route gesnappt (2m);482.7;4.44
Routenpunkt (Way);T;;49.38459298333333;8.733440474999998;100.0;;;;;;Interpoliert (15m);482.9;7.03
Routenpunkt (Way);T;Drei-Eichen-Weg;49.38453936666667;8.733345549999997;100.0;;;;;;Original OSM;484.8;8.39
Routenpunkt (Way);T;;49.38449859722223;8.733162058928569;100.0;;;;;;Interpoliert (15m);486.0;9.75
Routenpunkt (Way);T;;49.38445782777778;8.73297856785714;100.0;;;;;;Interpoliert (15m);487.2;11.02
Routenpunkt (Way);T;;49.38441705833333;8.732795076785713;100.0;;;;;;Interpoliert (15m);488.4;8.55
Routenpunkt (Way);T;;49.38437628888889;8.732611585714285;100.0;;;;;;Interpoliert (15m);489.6;8.84
