Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Johannes-Hoops-Weg;49.3955274;8.7093409;30.0;;;;;;Original OSM;297.6;-1.63
Haltestelle;W;Heidelberg, Speyererhof;49.3955274;8.7093409;30.0;07:01:00;07:01:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 20m) | Auf Route gesnappt (0m);297.0;-2.14
Routenpunkt (Way);T;;49.3955799;8.709250938636366;30.0;;;;;;Interpoliert (15m);296.57;-2.07
Routenpunkt (Way);T;Johannes-Hoops-Weg;49.3956324;8.70916097727273;30.0;;;;;;Original OSM;296.25;-2.35
Routenpunkt (Way);T;;49.39550689615385;8.709123894405597;30.0;;;;;;Interpoliert (15m);296.0;-3.19
Routenpunkt (Way);T;;49.3953813923077;8.709086811538462;30.0;;;;;;Interpoliert (15m);295.8;-3.06
Routenpunkt (Way);T;;49.39525588846154;8.70904972867133;30.0;;;;;;Interpoliert (15m);295.2;-3.17
Routenpunkt (Way);T;;49.395130384615385;8.709012645804197;30.0;;;;;;Interpoliert (15m);294.6;-2.81
Routenpunkt (Way);T;;49.39500488076924;8.708975562937063;30.0;;;;;;Interpoliert (15m);294.0;-2.53
Routenpunkt (Way);T;;49.39487937692308;8.70893848006993;30.0;;;;;;Interpoliert (15m);294.0;-1.27
Routenpunkt (Way);T;;49.39475387307692;8.708901397202798;30.0;;;;;;Interpoliert (15m);294.0;-0.0
Routenpunkt (Way);T;;49.394628369230766;8.708864314335665;30.0;;;;;;Interpoliert (15m);294.3;1.27
Routenpunkt (Way);T;;49.39450286538462;8.70882723146853;30.0;;;;;;Interpoliert (15m);294.6;1.69
Routenpunkt (Way);T;;49.39437736153846;8.708790148601398;30.0;;;;;;Interpoliert (15m);294.9;2.11
Routenpunkt (Way);T;;49.3942518576923;8.708753065734266;30.0;;;;;;Interpoliert (15m);295.2;2.11
Routenpunkt (Way);T;;49.39412635384616;8.708715982867131;30.0;;;;;;Interpoliert (15m);295.5;2.16
Routenpunkt (Way);T;Speyererhofweg;49.39400085;8.708678899999999;50.0;;;;;;Original OSM;295.8;2.33
Routenpunkt (Way);T;Speyererhofweg;49.39389145;8.70863265;50.0;;;;;;Interpoliert;296.1;1.32
Routenpunkt (Way);T;;49.393803475;8.708595975;50.0;;;;;;Interpoliert (15m);296.4;0.12
Haltestelle;W;Heidelberg, Kühruhweg;49.3937155;8.7085593;50.0;07:02:00;07:02:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 1m) | Auf Route gesnappt (9m);296.1;-1.08
Routenpunkt (Way);T;;49.39365231666666;8.708515925;50.0;;;;;;Interpoliert (15m);295.8;-2.13
Routenpunkt (Way);T;Speyererhofweg;49.39358913333333;8.70847255;50.0;;;;;;Original OSM;295.5;-3.29
Routenpunkt (Way);T;;49.39350635555555;8.708400933333333;50.0;;;;;;Interpoliert (15m);295.2;-3.26
Routenpunkt (Way);T;;49.393423577777774;8.708329316666667;50.0;;;;;;Interpoliert (15m);294.9;-2.9
Routenpunkt (Way);T;Speyererhofweg;49.3933408;8.7082577;50.0;;;;;;Original OSM;294.6;-2.54
Routenpunkt (Way);T;Speyererhofweg;49.3932336;8.708148600000001;50.0;;;;;;Interpoliert;294.3;-3.23
Routenpunkt (Way);T;Speyererhofweg;49.3931264;8.7080395;50.0;;;;;;Interpoliert;294.0;-4.13
Routenpunkt (Way);T;Speyererhofweg;49.3930192;8.7079304;50.0;;;;;;Original OSM;293.1;-4.05
Routenpunkt (Way);T;Speyererhofweg;49.3929274;8.7078367;50.0;;;;;;Original OSM;292.2;-2.99
Routenpunkt (Way);T;;49.39285276470588;8.707707314705882;50.0;;;;;;Interpoliert (15m);291.9;-2.41
Routenpunkt (Way);T;;49.39277812941176;8.707577929411764;50.0;;;;;;Interpoliert (15m);292.3;-0.99
Routenpunkt (Way);T;;49.39270349411764;8.707448544117646;50.0;;;;;;Interpoliert (15m);292.4;0.65
