Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%)
Routenpunkt (Way);T;Römerkreis;49.4051362;8.6844885;50.0;;;;;;Original OSM;116.0;0.55
Haltestelle;W;Heidelberg, Römerkreis Süd;49.4051362;8.6844885;50.0;08:50:00;08:50:00;Kein Umlauf;Sa;1474.0;Original GTFS (Snap-Distanz 99m) | Auf Route gesnappt (79m);116.33;0.72
Routenpunkt (Way);T;;49.40525268;8.68439666;50.0;;;;;;Interpoliert (15m);116.57;0.76
Routenpunkt (Way);T;;49.40536916;8.684304820000001;50.0;;;;;;Interpoliert (15m);116.75;0.92
Routenpunkt (Way);T;;49.40548564;8.68421298;50.0;;;;;;Interpoliert (15m);116.89;1.19
Routenpunkt (Way);T;;49.40560212;8.68412114;50.0;;;;;;Interpoliert (15m);117.0;1.58
Ampel;A;Ampel;49.4057186;8.6840293;50.0;;;;;;Original OSM;117.2;1.8
Routenpunkt (Way);T;Kurfürsten-Anlage;49.4056947;8.683919;50.0;;;;;;Original OSM;117.5;2.09
Routenpunkt (Way);T;Kurfürsten-Anlage;49.40565795;8.6837531;50.0;;;;;;Interpoliert;117.8;2.47
Routenpunkt (Way);T;Kurfürsten-Anlage;49.4056212;8.6835872;50.0;;;;;;Original OSM;118.1;2.38
Routenpunkt (Way);T;Kurfürsten-Anlage;49.4055943;8.6834375;50.0;;;;;;Original OSM;118.4;1.85
Routenpunkt (Way);T;Kurfürsten-Anlage;49.405568566666666;8.683295033333334;50.0;;;;;;Interpoliert;118.5;1.54
Routenpunkt (Way);T;Kurfürsten-Anlage;49.40554283333333;8.683152566666667;50.0;;;;;;Interpoliert;118.6;0.85
Routenpunkt (Way);T;Kurfürsten-Anlage;49.40554435;8.68297605;50.0;;;;;;Original OSM;118.7;0.13
Routenpunkt (Way);T;Kurfürsten-Anlage;49.4054932;8.682874;50.0;;;;;;Original OSM;118.6;-0.31
Routenpunkt (Way);T;Stadtwerke;49.4054998;8.682723533333334;;;;;;;Original OSM;118.5;-1.02
Routenpunkt (Way);T;;49.405466200000006;8.682629833333333;;;;;;;Interpoliert (15m);118.4;-1.49
Routenpunkt (Way);T;Kurfürsten-Anlage;49.405432600000005;8.682536133333333;50.0;;;;;;Interpoliert;118.2;-1.59
Routenpunkt (Way);T;Kurfürsten-Anlage;49.405402300000006;8.6823672;50.0;;;;;;Interpoliert;118.0;-1.72
Routenpunkt (Way);T;Kurfürsten-Anlage;49.405372;8.682198266666667;50.0;;;;;;Interpoliert;117.8;-1.78
Routenpunkt (Way);T;Kurfürsten-Anlage;49.4053417;8.682029333333332;50.0;;;;;;Interpoliert;117.6;-1.58
Routenpunkt (Way);T;Kurfürsten-Anlage;49.4053114;8.6818604;50.0;;;;;;Original OSM;117.4;-1.59
Routenpunkt (Way);T;Kurfürsten-Anlage;49.4052816;8.68169425;50.0;;;;;;Interpoliert;117.2;-1.27
Routenpunkt (Way);T;Kurfürsten-Anlage;49.4052518;8.6815281;50.0;;;;;;Interpoliert;117.0;-0.8
Routenpunkt (Way);T;Kurfürsten-Anlage;49.405222;8.68136195;50.0;;;;;;Interpoliert;117.0;-0.24
Ampel;A;Ampel;49.4051922;8.6811958;50.0;;;;;;Original OSM;117.1;0.3
