Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Grillparzerstraße;49.903123;8.663378;30.0;;;;;;Interpoliert;135.0;0.0;asphalt;residential;Grillparzerstraße
Haltestelle;W;Arheilgen Stadtteilschule;49.903123;8.663378;30.0;12:22:00;12:22:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 22m) | Auf Route gesnappt (2m);135.0;0.0;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903121;8.663563;30.0;;;;;;Interpoliert;135.0;0.0;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903118;8.663748;30.0;;;;;;Interpoliert;135.0;0.0;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903116;8.663933;30.0;;;;;;Interpoliert;135.0;0.0;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;;49.903114;8.664044;30.0;;;;;;Interpoliert (15m);135.0;0.0;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903112;8.664155;30.0;;;;;;Original OSM;135.0;0.73;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;;49.903109;8.66427;30.0;;;;;;Interpoliert (15m);135.0;1.16;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903106;8.664385;30.0;;;;;;Interpoliert;135.3;1.59;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903101;8.664579;30.0;;;;;;Interpoliert;135.6;2.02;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903095;8.664773;30.0;;;;;;Interpoliert;135.9;2.17;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.90309;8.664966;30.0;;;;;;Interpoliert;136.2;1.58;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903085;8.66516;30.0;;;;;;Interpoliert;136.3;1.3;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903079;8.665354;30.0;;;;;;Interpoliert;136.4;1.01;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903074;8.665548;30.0;;;;;;Interpoliert;136.5;0.72;asphalt;residential;
Routenpunkt (Way);T;Grillparzerstraße;49.903069;8.665741;30.0;;;;;;Interpoliert;136.6;0.72;asphalt;residential;
Routenpunkt (Way);T;Grillparzerstraße;49.903063;8.665935;30.0;;;;;;Interpoliert;136.7;0.29;asphalt;residential;
Routenpunkt (Way);T;Grillparzerstraße;49.903058;8.666129;30.0;;;;;;Interpoliert;136.8;-0.14;asphalt;residential;
Routenpunkt (Way);T;Grillparzerstraße;49.903053;8.666322;30.0;;;;;;Interpoliert;136.6;-0.68;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903048;8.666516;30.0;;;;;;Original OSM;136.4;-1.21;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903042;8.666659;30.0;;;;;;Interpoliert;136.2;-0.94;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903037;8.666802;30.0;;;;;;Original OSM;136.0;-0.06;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.903018;8.667;30.0;;;;;;Interpoliert;136.3;0.81;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;;49.903003;8.667141;30.0;;;;;;Interpoliert (15m);136.6;1.79;asphalt;residential;Grillparzerstraße
Routenpunkt (Way);T;;49.902988;8.667282;30.0;;;;;;Interpoliert (15m);136.9;2.59;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902974;8.667424;30.0;;;;;;Original OSM;137.2;2.59;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;;49.902948;8.66762;30.0;;;;;;Interpoliert (15m);137.5;2.51;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902923;8.667817;30.0;;;;;;Interpoliert;137.8;2.42;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.9029;8.667981;30.0;;;;;;Interpoliert;138.1;2.32;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902878;8.668144;30.0;;;;;;Original OSM;138.4;2.38;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902854;8.668314;30.0;;;;;;Interpoliert;138.7;1.96;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.90283;8.668485;30.0;;;;;;Interpoliert;139.0;1.46;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902806;8.668655;30.0;;;;;;Original OSM;139.0;0.82;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902761;8.668834;30.0;;;;;;Interpoliert;139.0;0.19;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902716;8.669014;30.0;;;;;;Interpoliert;138.9;-0.43;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902671;8.669193;30.0;;;;;;Interpoliert;138.8;-0.58;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;;49.902622;8.669371;30.0;;;;;;Interpoliert (15m);138.7;-0.74;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902573;8.669548;30.0;;;;;;Original OSM;138.6;-0.76;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;;49.902486;8.669658;30.0;;;;;;Interpoliert (15m);138.5;-0.93;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.9024;8.669768;30.0;;;;;;Interpoliert;138.4;-1.1;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902292;8.669825;30.0;;;;;;Interpoliert;138.2;-1.27;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902184;8.669883;30.0;;;;;;Interpoliert;138.0;-1.42;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.902075;8.66994;30.0;;;;;;Interpoliert;137.8;-1.46;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.901967;8.669997;30.0;;;;;;Original OSM;137.6;-1.34;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.901881;8.670043;30.0;;;;;;Interpoliert;137.5;-1.22;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.901795;8.670088;30.0;;;;;;Interpoliert;137.4;-1.06;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.90171;8.670134;30.0;;;;;;Original OSM;137.3;-0.93;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.9016;8.670192;30.0;;;;;;Interpoliert;137.2;-0.91;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;;49.901507;8.670254;30.0;;;;;;Interpoliert (15m);137.1;-0.71;paving_stones;residential;Grillparzerstraße
Routenpunkt (Way);T;Grillparzerstraße;49.901413;8.670316;30.0;;;;;;Original OSM;137.0;-0.51;paving_stones;residential;Grillparzerstraße
