Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Anne-Frank-Straße;49.847974;8.620918;30.0;;;;;;Original OSM;124.0;-0.88;asphalt;unclassified;Anne-Frank-Straße
Haltestelle;W;Darmstadt Anne-Frank-Straße;49.847974;8.620918;30.0;26:35:00;26:35:00;Kein Umlauf;Mi,Do,Sa;1003.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (3m);124.0;-0.77;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847966;8.620844;30;;;;;;Original OSM;123.86;-0.76;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847774;8.621006;30.0;;;;;;Original OSM;123.75;-0.88;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847675;8.621049;30.0;;;;;;Interpoliert;123.67;-1.06;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847576;8.621092;30.0;;;;;;Interpoliert;123.6;-0.67;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847477;8.621135;30.0;;;;;;Original OSM;123.5;-0.73;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847355;8.621188;30.0;;;;;;Original OSM;123.4;-0.79;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847244;8.621237;30.0;;;;;;Interpoliert;123.3;-0.85;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847156;8.621276;30.0;;;;;;Original OSM;123.2;-0.85;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.847058;8.621318;30.0;;;;;;Interpoliert;123.1;-0.71;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.84696;8.621361;30.0;;;;;;Original OSM;123.0;-0.55;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.84686;8.621405;30.0;;;;;;Original OSM;123.0;-0.35;asphalt;unclassified;Anne-Frank-Straße
Routenpunkt (Way);T;Anne-Frank-Straße;49.846759;8.62145;30.0;;;;;;Original OSM;123.0;-0.18;asphalt;unclassified;Anne-Frank-Straße
