Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);A;Rüdesheimer Straße (Ampel);49.855143;8.637768;50.0;;;;;;Interpoliert;134.2;0.16;asphalt;secondary;Rüdesheimer Straße
Haltestelle;W;Darmstadt Südbahnhof;49.855143;8.637768;50.0;09:13:00;09:13:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 19m) | Auf Route gesnappt (19m);134.5;0.34;asphalt;secondary;Rüdesheimer Straße
Routenpunkt (Way);T;Haardtring;49.854876;8.637283;50.0;;;;;;Original OSM;134.71;0.29;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.854725;8.637371;50.0;;;;;;Original OSM;134.88;0.31;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.854581;8.637456;50.0;;;;;;Interpoliert;134.89;-0.33;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.854476;8.637518;50.0;;;;;;Interpoliert;134.9;-1.06;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.85437;8.63758;50.0;;;;;;Interpoliert;134.5;-0.6;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.854265;8.637642;50.0;;;;;;Interpoliert;134.1;0.01;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.85416;8.637704;50.0;;;;;;Original OSM;134.5;0.63;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.854054;8.637766;50.0;;;;;;Interpoliert;134.9;1.11;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853947;8.637829;50.0;;;;;;Interpoliert;135.3;1.43;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853841;8.637891;50.0;;;;;;Interpoliert;135.2;0.48;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853735;8.637954;50.0;;;;;;Interpoliert;135.0;0.32;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853629;8.638016;50.0;;;;;;Interpoliert;134.8;0.13;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853523;8.638078;50.0;;;;;;Original OSM;135.1;0.74;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853411;8.638144;50.0;;;;;;Interpoliert;135.4;0.91;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853299;8.63821;50.0;;;;;;Interpoliert;135.7;1.08;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853187;8.638276;50.0;;;;;;Interpoliert;135.6;0.45;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.853076;8.638341;50.0;;;;;;Interpoliert;135.5;0.11;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.852964;8.638407;50.0;;;;;;Interpoliert;135.4;-0.23;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Haardtring;49.852804;8.638466;50.0;;;;;;Original OSM;135.5;0.24;asphalt;unclassified;Haardtring
Routenpunkt (Way);T;Heimstättenweg;49.85267;8.638322;30.0;;;;;;Original OSM;135.6;0.86;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852602;8.63818;30.0;;;;;;Interpoliert;135.8;0.85;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852535;8.638038;30.0;;;;;;Interpoliert;136.1;0.6;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852467;8.637896;30.0;;;;;;Interpoliert;136.0;0.35;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852393;8.637741;30.0;;;;;;Original OSM;135.9;0.33;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852323;8.637567;30.0;;;;;;Interpoliert;135.8;0.16;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852261;8.637405;30.0;;;;;;Original OSM;136.0;0.62;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852199;8.637246;30.0;;;;;;Interpoliert;136.2;0.76;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852137;8.637087;30.0;;;;;;Interpoliert;136.4;0.9;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.852023;8.636719;30.0;;;;;;Original OSM;136.4;0.6;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.851946;8.636311;30.0;;;;;;Interpoliert;136.4;0.16;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.851917;8.636121;30.0;;;;;;Interpoliert;136.4;-0.39;asphalt;unclassified;Heimstättenweg
Routenpunkt (Way);T;Heimstättenweg;49.851888;8.635931;30.0;;;;;;Interpoliert;136.3;-0.63;asphalt;unclassified;Heimstättenweg
