Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Haardtring;49.858009;8.635403;50;;;;;;Interpoliert;131.2;1.85;asphalt;secondary;Haardtring
Haltestelle;W;Darmstadt Haardtring;49.858009;8.635403;50;03:46:00;03:46:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 4m) | Auf Route gesnappt (4m);131.33;1.49;asphalt;secondary;Haardtring
Routenpunkt (Way);T;Haardtring;49.858015;8.635425;50;;;;;;Interpoliert;131.43;1.24;asphalt;secondary;Haardtring
Routenpunkt (Way);T;Haardtring;49.858171;8.635332;50;;;;;;Interpoliert;131.5;0.99;asphalt;secondary;Haardtring
Routenpunkt (Way);T;Haardtring;49.858374;8.635253;50.0;;;;;;Interpoliert;131.56;1.15;asphalt;secondary;Haardtring
Routenpunkt (Way);T;Haardtring;49.858481;8.635191;50.0;;;;;;Interpoliert;131.4;0.35;asphalt;secondary;Haardtring
Routenpunkt (Way);T;Haardtring;49.858588;8.635129;50.0;;;;;;Interpoliert;131.5;0.58;asphalt;secondary;Haardtring
Routenpunkt (Way);T;Haardtring;49.858695;8.635066;50.0;;;;;;Original OSM;131.7;0.81;asphalt;secondary;Haardtring
Routenpunkt (Way);A;Haardtring (Ampel);49.858806;8.635002;50.0;;;;;;Original OSM;131.9;1.35;asphalt;secondary;Haardtring
Routenpunkt (Way);T;Haardtring;49.858927;8.634932;50.0;;;;;;Original OSM;132.1;1.43;asphalt;secondary;
Routenpunkt (Way);T;Eschollbrücker Straße;49.859051;8.635142;50.0;;;;;;Original OSM;132.4;1.58;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.859203;8.635394;50.0;;;;;;Interpoliert;132.7;1.74;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.859283;8.635524;50.0;;;;;;Interpoliert;133.0;1.85;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.859364;8.635655;50.0;;;;;;Interpoliert;133.3;2.05;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.859556;8.635972;50.0;;;;;;Original OSM;133.9;2.64;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.859757;8.636302;50.0;;;;;;Interpoliert;134.7;2.91;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.859846;8.636447;50.0;;;;;;Original OSM;135.3;3.17;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.859931;8.636585;50.0;;;;;;Interpoliert;135.8;3.23;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.860016;8.636723;50.0;;;;;;Interpoliert;136.3;2.88;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.860102;8.636861;50.0;;;;;;Interpoliert;136.6;2.19;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.860187;8.636999;50.0;;;;;;Interpoliert;136.7;1.63;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.860272;8.637137;50.0;;;;;;Original OSM;136.8;1.18;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);A;Eschollbrücker Straße (Ampel);49.860418;8.637376;50.0;;;;;;Original OSM;137.0;0.62;asphalt;secondary;Eschollbrücker Straße
Haltestelle;W;Darmstadt Fliederberg;49.860505;8.637518;50.0;03:47:00;03:47:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (3m);137.2;0.41;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Fliederberg;49.860623;8.637637;50;;;;;;Original OSM;137.1;0.1;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.860793;8.63799;50.0;;;;;;Interpoliert;137.0;-0.23;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.860868;8.638114;50.0;;;;;;Interpoliert;136.9;-0.68;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.860944;8.638238;50.0;;;;;;Interpoliert;136.8;-0.39;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.86102;8.638361;50.0;;;;;;Interpoliert;136.7;-0.03;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.861095;8.638485;50.0;;;;;;Original OSM;136.8;0.43;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.861178;8.638624;50.0;;;;;;Interpoliert;137.0;0.74;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.861261;8.638764;50.0;;;;;;Interpoliert;137.2;1.05;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.861344;8.638903;50.0;;;;;;Interpoliert;137.3;1.02;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.861427;8.639042;50.0;;;;;;Original OSM;137.4;0.86;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.861521;8.639196;50.0;;;;;;Original OSM;137.5;0.73;asphalt;secondary;Eschollbrücker Straße
Routenpunkt (Way);T;Eschollbrücker Straße;49.86161;8.639343;50.0;;;;;;Interpoliert;137.6;0.39;asphalt;secondary;Eschollbrücker Straße
