Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Haltestelle;W;Darmstadt Alfred-Messel-Weg;49.885945;8.672777;30.0;05:51:00;05:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 3m) | Auf Route gesnappt (4m);154.4;0.67;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;Alfred-Messel-Weg;49.885916;8.672686;30;;;;;;Interpoliert;154.5;0.62;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;;49.885871;8.672547;30;;;;;;Interpoliert (15m);154.57;0.57;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;;49.885826;8.672407;30;;;;;;Interpoliert (15m);154.62;0.11;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;Schwarzer Weg;49.885781;8.672268;30.0;;;;;;Original OSM;154.67;-0.51;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;;49.885745;8.672117;30.0;;;;;;Interpoliert (15m);154.4;-1.14;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;Schwarzer Weg;49.885709;8.671967;30.0;;;;;;Interpoliert;154.2;-1.73;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;;49.885684;8.671861;30.0;;;;;;Interpoliert (15m);154.0;-2.44;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;Schwarzer Weg;49.885658;8.671755;30.0;;;;;;Original OSM;153.8;-2.82;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;;49.885629;8.671632;30.0;;;;;;Interpoliert (15m);153.5;-3.03;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;Schwarzer Weg;49.8856;8.671508;30.0;;;;;;Original OSM;153.1;-3.09;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;Schwarzer Weg;49.885554;8.67132;30.0;;;;;;Interpoliert;152.7;-3.15;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;Schwarzer Weg;49.885509;8.671132;30.0;;;;;;Interpoliert;152.3;-3.22;asphalt;residential;Schwarzer Weg
Routenpunkt (Way);T;Schwarzer Weg;49.885464;8.670944;30.0;;;;;;Original OSM;151.9;-2.55;asphalt;residential;Schwarzer Weg
