Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);A;Am Hauptbahnhof (Ampel);49.872047;8.631641;50;;;;;;Original OSM;134.2;-0.68;paving_stones;pedestrian;Am Hauptbahnhof
Haltestelle;W;Darmstadt Hauptbahnhof Ost;49.872047;8.631641;50;07:51:00;07:51:00;Kein Umlauf;Mo,Di,Mi,Do,Fr;446.0;Original GTFS (Snap-Distanz 37m) | Auf Route gesnappt (37m);133.83;-0.88;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.871937;8.631698;50;;;;;;Original OSM;133.57;-0.93;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;;49.87183;8.631782;50;;;;;;Interpoliert (15m);133.38;-1.16;asphalt;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.871722;8.631865;50;;;;;;Original OSM;133.22;-1.34;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.871638;8.631939;50;;;;;;Interpoliert;133.1;-1.13;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.871554;8.632013;50;;;;;;Original OSM;133.0;-1.37;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.871471;8.632083;50;;;;;;Interpoliert;132.9;-1.68;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;;49.871384;8.632158;50;;;;;;Interpoliert (15m);132.6;-1.45;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.871296;8.632234;50;;;;;;Original OSM;132.3;-0.84;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;;49.871184;8.632328;50;;;;;;Interpoliert (15m);132.3;-0.17;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.871073;8.632422;50;;;;;;Interpoliert;132.6;0.85;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.870975;8.632506;50;;;;;;Interpoliert;132.9;1.86;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.870876;8.63259;50;;;;;;Interpoliert;133.2;2.3;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.870777;8.632674;50;;;;;;Interpoliert;133.5;2.31;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.870668;8.632766;50;;;;;;Original OSM;133.8;2.27;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.870561;8.632861;50;;;;;;Interpoliert;134.1;2.08;paving_stones;pedestrian;Am Hauptbahnhof
Routenpunkt (Way);T;;49.870452;8.632953;50;;;;;;Interpoliert (15m);134.4;1.97;asphalt;busway;Am Hauptbahnhof
Routenpunkt (Way);T;Am Hauptbahnhof;49.870344;8.633045;50;;;;;;Original OSM;134.6;1.35;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;;49.870249;8.633066;50;;;;;;Interpoliert (15m);134.8;0.73;asphalt;primary;Berliner Allee
Routenpunkt (Way);A;Ampel;49.870153;8.633087;50;;;;;;Interpoliert (15m);134.7;0.11;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.870057;8.633108;50.0;;;;;;Interpoliert;134.6;-0.33;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.869961;8.633145;50.0;;;;;;Interpoliert;134.5;-0.89;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.869843;8.633191;50.0;;;;;;Original OSM;134.4;-0.89;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;;49.86975;8.633227;50.0;;;;;;Interpoliert (15m);134.3;-1.08;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;;49.869657;8.633263;50.0;;;;;;Interpoliert (15m);134.2;-1.25;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.869564;8.633299;50.0;;;;;;Original OSM;134.0;-1.27;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;;49.869464;8.633338;50.0;;;;;;Interpoliert (15m);133.8;-1.22;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.869363;8.633376;50.0;;;;;;Interpoliert;133.7;-1.18;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.869238;8.633424;50.0;;;;;;Interpoliert;133.6;-0.94;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.869113;8.633472;50.0;;;;;;Interpoliert;133.5;-0.75;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.868988;8.63352;50.0;;;;;;Original OSM;133.4;-0.74;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.86888;8.633561;50.0;;;;;;Interpoliert;133.3;-0.28;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.868772;8.633602;50.0;;;;;;Interpoliert;133.2;0.18;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.868663;8.633644;50.0;;;;;;Interpoliert;133.4;0.92;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.868555;8.633685;50.0;;;;;;Original OSM;133.6;1.68;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.868467;8.633721;50.0;;;;;;Interpoliert;133.9;2.31;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;Berliner Allee;49.86838;8.633757;50.0;;;;;;Interpoliert;134.2;2.47;asphalt;primary;Berliner Allee
Routenpunkt (Way);T;;49.868267;8.633746;50.0;;;;;;Interpoliert (15m);134.5;1.99;asphalt;primary;Berliner Allee
Routenpunkt (Way);A;Ampel;49.868154;8.633735;50.0;;;;;;Interpoliert (15m);134.8;1.25;asphalt;primary;Haardtring
Routenpunkt (Way);T;Berliner Allee;49.86804;8.633724;50.0;;;;;;Original OSM;134.7;0.51;asphalt;primary;Haardtring
Routenpunkt (Way);T;;49.867937;8.63361;50.0;;;;;;Interpoliert (15m);134.6;0.32;asphalt;primary;Haardtring
