Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Unbekannt;49.862147;8.680673;30.0;;;;;;Original OSM;171.0;-0.57;asphalt;service;
Haltestelle;W;Da. TU-Lichtwiese/Campus;49.862147;8.680673;30.0;18:02:00;18:02:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 77m) | Auf Route gesnappt (57m);170.67;-0.79;asphalt;service;
Routenpunkt (Way);T;Unbekannt;49.862255;8.680575;30.0;;;;;;Original OSM;170.43;-0.86;asphalt;service;Franziska-Braun-Straße
Routenpunkt (Way);T;;49.862365;8.680595;30.0;;;;;;Interpoliert (15m);170.25;-1.04;asphalt;service;Franziska-Braun-Straße
Routenpunkt (Way);T;;49.862475;8.680616;30.0;;;;;;Interpoliert (15m);170.11;-1.35;asphalt;service;Franziska-Braun-Straße
Routenpunkt (Way);T;Franziska-Braun-Straße;49.862585;8.680636;30.0;;;;;;Original OSM;170.0;-1.33;asphalt;service;Franziska-Braun-Straße
Routenpunkt (Way);T;Franziska-Braun-Straße;49.862699;8.680645;30.0;;;;;;Original OSM;169.8;-1.69;asphalt;service;Franziska-Braun-Straße
Routenpunkt (Way);T;Franziska-Braun-Straße;49.86281;8.680647;30.0;;;;;;Interpoliert;169.6;-2.11;asphalt;service;Franziska-Braun-Straße
Routenpunkt (Way);T;Franziska-Braun-Straße;49.862922;8.680649;30.0;;;;;;Interpoliert;169.2;-2.59;asphalt;service;Franziska-Braun-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.863033;8.680651;30.0;;;;;;Original OSM;168.8;-2.61;asphalt;service;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.863142;8.680651;30.0;;;;;;Interpoliert;168.4;-2.62;asphalt;service;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86325;8.68065;30.0;;;;;;Interpoliert;168.2;-2.35;asphalt;service;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.863358;8.68065;30.0;;;;;;Original OSM;168.0;-2.04;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.863454;8.680647;30.0;;;;;;Interpoliert;167.8;-1.69;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86356;8.680643;30.0;;;;;;Original OSM;167.6;-1.88;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.863676;8.680645;30.0;;;;;;Interpoliert;167.4;-2.06;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86378;8.680647;30.0;;;;;;Interpoliert;167.1;-1.84;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.863884;8.680649;30.0;;;;;;Original OSM;166.8;-1.68;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864003;8.680646;30.0;;;;;;Original OSM;166.7;-1.54;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864104;8.680643;30.0;;;;;;Interpoliert;166.6;-1.2;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864205;8.680641;30.0;;;;;;Interpoliert;166.5;-0.86;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864306;8.680639;30.0;;;;;;Interpoliert;166.4;-0.99;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864407;8.680636;30.0;;;;;;Original OSM;166.3;-1.08;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864538;8.680635;30.0;;;;;;Interpoliert;166.1;-1.18;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864669;8.680634;30.0;;;;;;Interpoliert;165.9;-1.14;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.864799;8.680633;30.0;;;;;;Interpoliert;165.7;-1.1;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.86493;8.680632;30.0;;;;;;Original OSM;165.6;-0.96;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.865064;8.680631;30.0;;;;;;Interpoliert;165.5;-0.82;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.865197;8.68063;30.0;;;;;;Interpoliert;165.4;-0.54;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.865331;8.680629;30.0;;;;;;Interpoliert;165.3;-0.4;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.865464;8.680627;30.0;;;;;;Original OSM;165.3;-0.27;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.865567;8.680624;30.0;;;;;;Interpoliert;165.3;0.0;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;;49.865696;8.680584;30.0;;;;;;Interpoliert (15m);165.3;0.27;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;;49.865825;8.680544;30.0;;;;;;Interpoliert (15m);165.4;0.43;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.865954;8.680504;30.0;;;;;;Original OSM;165.5;1.05;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;;49.866054;8.680413;30.0;;;;;;Interpoliert (15m);165.6;1.66;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;;49.866155;8.680321;30.0;;;;;;Interpoliert (15m);166.0;2.15;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;;49.866255;8.680229;30.0;;;;;;Interpoliert (15m);166.4;2.49;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866355;8.680138;30.0;;;;;;Original OSM;166.8;2.58;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;;49.866413;8.680065;30.0;;;;;;Interpoliert (15m);167.0;2.1;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866471;8.679992;50.0;;;;;;Interpoliert;167.1;1.63;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866569;8.679872;50.0;;;;;;Interpoliert;167.2;1.16;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866666;8.679751;50.0;;;;;;Interpoliert;167.3;0.84;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866763;8.67963;50.0;;;;;;Original OSM;167.4;0.76;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866858;8.679544;50.0;;;;;;Interpoliert;167.5;0.62;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.866953;8.679457;50.0;;;;;;Interpoliert;167.6;0.47;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.867048;8.679371;50.0;;;;;;Original OSM;167.6;0.33;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.867131;8.679309;50.0;;;;;;Interpoliert;167.6;0.36;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.867214;8.679247;50.0;;;;;;Interpoliert;167.6;0.39;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);A;Ampel;49.867292;8.679169;50.0;;;;;;Interpoliert (15m);167.7;0.56;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Eugen-Kogon-Straße;49.867369;8.679091;50.0;;;;;;Original OSM;167.8;0.22;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;;49.867435;8.678959;50.0;;;;;;Interpoliert (15m);167.9;-0.13;asphalt;unclassified;Eugen-Kogon-Straße
Routenpunkt (Way);T;Breslauer Platz;49.8675;8.678827;50.0;;;;;;Interpoliert;167.7;-0.7;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;Breslauer Platz;49.86755;8.67869;50.0;;;;;;Original OSM;167.5;-1.22;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;Breslauer Platz;49.867594;8.678557;50.0;;;;;;Original OSM;167.3;-2.04;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;;49.867665;8.678426;50.0;;;;;;Interpoliert (15m);167.1;-2.76;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;Breslauer Platz;49.867736;8.678296;50.0;;;;;;Original OSM;166.7;-3.46;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;;49.867795;8.678242;50.0;;;;;;Interpoliert (15m);166.3;-16.92;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;Botanischer Garten/Vivarium;49.867853;8.678188;50.0;;;;;;Original OSM;165.9;-17.21;asphalt;service;Breslauer Platz
Haltestelle;W;Darmstadt Bot. Garten/Vivarium;49.867855;8.678194;50.0;18:05:00;18:05:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 7m) | Auf Route gesnappt (7m);165.6;-17.08;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;Breslauer Platz;49.867925;8.67811;50.0;;;;;;Interpoliert;165.3;-16.03;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;Breslauer Platz;49.868018;8.678048;50.0;;;;;;Interpoliert;165.0;-14.76;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;Breslauer Platz;49.868112;8.677987;50.0;;;;;;Interpoliert;165.0;-0.71;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;;49.86818;8.677912;50.0;;;;;;Interpoliert (15m);165.1;0.3;asphalt;service;Breslauer Platz
Routenpunkt (Way);T;Breslauer Platz;49.868248;8.677837;30;;;;;;Original OSM;165.2;1.22;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;;49.868266;8.677699;30;;;;;;Interpoliert (15m);165.4;1.49;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868284;8.67756;30.0;;;;;;Original OSM;165.6;1.41;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868304;8.677357;30.0;;;;;;Interpoliert;165.8;1.37;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868324;8.677154;30.0;;;;;;Original OSM;165.9;1.16;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.86834;8.676998;30.0;;;;;;Interpoliert;166.0;0.94;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868355;8.676841;30.0;;;;;;Interpoliert;166.1;0.67;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868371;8.676685;30.0;;;;;;Interpoliert;166.2;0.31;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868391;8.676481;30.0;;;;;;Original OSM;166.2;-0.08;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;;49.868407;8.676356;30.0;;;;;;Interpoliert (15m);166.1;-0.53;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868423;8.67623;30.0;;;;;;Interpoliert;166.0;-0.97;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.86845;8.676026;30.0;;;;;;Interpoliert;165.8;-1.43;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868476;8.675822;30.0;;;;;;Original OSM;165.6;-1.51;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868501;8.675642;30.0;;;;;;Interpoliert;165.3;-1.59;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868526;8.675461;30.0;;;;;;Interpoliert;165.1;-1.63;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868551;8.675281;30.0;;;;;;Interpoliert;164.9;-1.51;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868576;8.6751;30.0;;;;;;Interpoliert;164.7;-1.06;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868601;8.67492;30.0;;;;;;Interpoliert;164.6;-0.76;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868625;8.674739;30.0;;;;;;Interpoliert;164.6;-0.45;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.86865;8.674558;30.0;;;;;;Original OSM;164.6;-0.15;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868672;8.674354;30.0;;;;;;Interpoliert;164.6;0.0;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868694;8.67415;30.0;;;;;;Interpoliert;164.6;0.13;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868716;8.673945;30.0;;;;;;Interpoliert;164.6;0.3;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868738;8.673741;30.0;;;;;;Original OSM;164.7;0.46;asphalt;residential;Roßdörfer Straße
Routenpunkt (Way);T;Roßdörfer Straße;49.868762;8.673576;30.0;;;;;;Interpoliert;164.8;0.63;asphalt;residential;Roßdörfer Straße
