Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Pankratiusstraße;49.882335;8.659535;30.0;;;;;;Interpoliert;144.0;0.0;asphalt;residential;Pankratiusstraße
Haltestelle;W;Darmstadt Pankratiusstraße;49.882335;8.659535;30.0;13:11:00;13:11:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 25m) | Auf Route gesnappt (5m);144.0;0.0;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;Pankratiusstraße;49.882454;8.659615;30;;;;;;Original OSM;144.0;0.0;asphalt;residential;Pankratiusstraße
Haltestelle;W;Darmstadt Heinheimer Straße;49.882504;8.659663;30;13:12:00;13:12:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 48m) | Auf Route gesnappt (48m);144.0;0.0;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;Pankratiusstraße;49.882426;8.659594;30;;;;;;Interpoliert;144.0;0.16;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;;49.882318;8.659538;30;;;;;;Interpoliert (15m);144.0;0.39;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;Pankratiusstraße;49.882209;8.659483;30.0;;;;;;Interpoliert;144.1;0.62;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;;49.882134;8.659453;30.0;;;;;;Interpoliert (15m);144.2;0.76;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;Pankratiusstraße;49.882059;8.659424;30.0;;;;;;Original OSM;144.3;0.62;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.88205;8.659227;30.0;;;;;;Interpoliert;144.4;0.32;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882053;8.659033;30.0;;;;;;Interpoliert;144.3;-0.06;asphalt;residential;
Routenpunkt (Way);T;Liebfrauenstraße;49.882056;8.65884;30.0;;;;;;Interpoliert;144.2;-0.44;asphalt;residential;
Routenpunkt (Way);T;Liebfrauenstraße;49.882059;8.658646;30.0;;;;;;Interpoliert;144.1;-0.58;asphalt;residential;
Routenpunkt (Way);T;Liebfrauenstraße;49.882062;8.658453;30.0;;;;;;Interpoliert;144.0;-0.43;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882065;8.658259;30.0;;;;;;Interpoliert;144.0;-0.43;asphalt;unclassified;Liebfrauenstraße
