Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Haltestelle;W;Darmstadt Heinheimer Straße;49.882282;8.660236;30.0;13:12:00;13:12:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 22m) | Auf Route gesnappt (7m);145.0;-0.57;asphalt;tertiary;Heinheimer Straße
Routenpunkt (Way);T;Darmstadt Heinheimer Straße;49.88227;8.660253;30;;;;;;Original OSM;145.0;-0.75;asphalt;tertiary;Heinheimer Straße
Routenpunkt (Way);T;;49.882201;8.660298;30;;;;;;Interpoliert (15m);144.86;-0.73;asphalt;tertiary;Heinheimer Straße
Routenpunkt (Way);T;Heinheimer Straße;49.882132;8.660342;30.0;;;;;;Interpoliert;144.75;-0.85;asphalt;tertiary;Heinheimer Straße
Routenpunkt (Way);T;Liebfrauenstraße;49.882015;8.660299;30.0;;;;;;Original OSM;144.67;-1.04;paving_stones;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;;49.882019;8.660149;30.0;;;;;;Interpoliert (15m);144.6;-0.69;paving_stones;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882024;8.66;30.0;;;;;;Interpoliert;144.5;-0.44;paving_stones;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882032;8.659807;30.0;;;;;;Interpoliert;144.5;-0.31;paving_stones;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882039;8.659614;30.0;;;;;;Interpoliert;144.5;-0.19;paving_stones;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882047;8.659421;30.0;;;;;;Original OSM;144.5;-0.29;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.88205;8.659227;30.0;;;;;;Interpoliert;144.5;-0.43;asphalt;residential;Pankratiusstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882053;8.659033;30.0;;;;;;Interpoliert;144.3;-0.58;asphalt;residential;
Routenpunkt (Way);T;Liebfrauenstraße;49.882056;8.65884;30.0;;;;;;Interpoliert;144.2;-0.72;asphalt;residential;
Routenpunkt (Way);T;Liebfrauenstraße;49.882059;8.658646;30.0;;;;;;Interpoliert;144.1;-0.72;asphalt;residential;
Routenpunkt (Way);T;Liebfrauenstraße;49.882062;8.658453;30.0;;;;;;Interpoliert;144.0;-0.43;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882065;8.658259;30.0;;;;;;Interpoliert;144.0;-0.43;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882068;8.658065;30.0;;;;;;Interpoliert;144.0;-0.43;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882071;8.657872;30.0;;;;;;Interpoliert;143.9;-0.43;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882073;8.657678;30.0;;;;;;Interpoliert;143.8;-0.86;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882076;8.657485;30.0;;;;;;Interpoliert;143.7;-1.01;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882079;8.657291;30.0;;;;;;Original OSM;143.4;-1.01;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882084;8.657098;30.0;;;;;;Interpoliert;143.3;-1.01;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882089;8.656904;30.0;;;;;;Interpoliert;143.2;-1.01;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882094;8.656711;30.0;;;;;;Interpoliert;143.1;-0.72;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882099;8.656518;30.0;;;;;;Interpoliert;143.0;-0.81;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Liebfrauenstraße;49.882104;8.656324;30.0;;;;;;Interpoliert;142.9;-0.91;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;;49.882107;8.656206;30.0;;;;;;Interpoliert (15m);142.8;-0.93;asphalt;unclassified;Liebfrauenstraße
Routenpunkt (Way);T;Friedrich-Ebert-Platz;49.88211;8.656088;30.0;;;;;;Original OSM;142.7;-0.95;asphalt;unclassified;Friedrich-Ebert-Platz
Routenpunkt (Way);T;;49.882127;8.655923;30.0;;;;;;Interpoliert (15m);142.6;-0.67;asphalt;unclassified;Friedrich-Ebert-Platz
Routenpunkt (Way);T;Friedrich-Ebert-Platz;49.882145;8.655757;30.0;;;;;;Interpoliert;142.5;-0.27;asphalt;unclassified;Friedrich-Ebert-Platz
Routenpunkt (Way);T;Friedrich-Ebert-Platz;49.882158;8.655552;30;;;;;;Interpoliert;142.6;0.17;asphalt;unclassified;Friedrich-Ebert-Platz
