Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Stresemannallee;50.089397;8.671395;50.0;;;;;;Original OSM;103.0;0.0;;;
Haltestelle;W;F Stresemannall./Mörf. Ldstr.;50.089397;8.671395;50.0;14:38:00;14:38:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 29m) | Auf Route gesnappt (9m);103.0;0.0;;;
Routenpunkt (Way);T;;50.089432;8.671559;50.0;;;;;;Interpoliert (15m);103.0;0.0;;;
Routenpunkt (Way);T;Stresemannallee;50.089468;8.671722;50.0;;;;;;Original OSM;103.0;0.0;;;
Routenpunkt (Way);T;Stresemannallee;50.089375;8.671727;50.0;;;;;;Original OSM;103.0;0.0;;;
Routenpunkt (Way);T;Stresemannallee;50.089265;8.671737;50.0;;;;;;Interpoliert;103.0;0.0;;;
Routenpunkt (Way);T;Stresemannallee;50.089155;8.671748;50.0;;;;;;Interpoliert;103.0;0.0;;;
Routenpunkt (Way);T;Stresemannallee;50.089045;8.671758;50.0;;;;;;Original OSM;103.0;0.0;;;
Routenpunkt (Way);T;Stresemannallee;50.088941;8.671762;50.0;;;;;;Interpoliert;103.0;0.17;;;
Routenpunkt (Way);T;Stresemannallee;50.088838;8.671765;50.0;;;;;;Interpoliert;103.0;0.35;;;
Routenpunkt (Way);T;Stresemannallee;50.088734;8.671769;50.0;;;;;;Interpoliert;103.1;0.51;;;
Routenpunkt (Way);T;Stresemannallee;50.088631;8.671773;50.0;;;;;;Original OSM;103.2;0.68;;;
Routenpunkt (Way);T;Stresemannallee;50.088522;8.671765;50.0;;;;;;Interpoliert;103.3;0.84;;;
Routenpunkt (Way);T;Stresemannallee;50.088412;8.671756;50.0;;;;;;Interpoliert;103.4;0.98;;;
Routenpunkt (Way);T;Stresemannallee;50.088303;8.671748;50.0;;;;;;Original OSM;103.5;1.09;;;
Routenpunkt (Way);T;Stresemannallee;50.08819;8.671738;50.0;;;;;;Interpoliert;103.7;1.35;;;
