Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Unbekannt;50.083159;8.68091;50.0;;;;;;Original OSM;130.4;-0.18;;;
Haltestelle;W;F Lerchesberg;50.083159;8.68091;50.0;12:47:00;12:47:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 33m) | Auf Route gesnappt (13m);130.33;-0.25;;;
Routenpunkt (Way);T;Unbekannt;50.083186;8.680793;50.0;;;;;;Original OSM;130.29;-0.27;;;
Routenpunkt (Way);T;;50.083179;8.680684;50.0;;;;;;Interpoliert (15m);130.25;-0.3;;;
Routenpunkt (Way);T;Bertha-von-Suttner-Ring;50.083172;8.680574;50.0;;;;;;Original OSM;130.22;-0.71;;;
Routenpunkt (Way);T;Bertha-von-Suttner-Ring;50.083061;8.680468;50.0;;;;;;Interpoliert;130.2;-1.38;;;
Routenpunkt (Way);T;Bertha-von-Suttner-Ring;50.08295;8.680363;50.0;;;;;;Interpoliert;129.9;-1.81;;;
Routenpunkt (Way);T;;50.082914;8.68027;50.0;;;;;;Interpoliert (15m);129.6;-2.08;;;
Routenpunkt (Way);T;Bertha-von-Suttner-Ring;50.082878;8.680176;50.0;;;;;;Original OSM;129.4;-2.39;;;
Routenpunkt (Way);T;;50.082943;8.680046;50.0;;;;;;Interpoliert (15m);129.2;-2.8;;;
Routenpunkt (Way);T;Bischofsweg;50.083007;8.679915;30.0;;;;;;Interpoliert;129.0;-2.84;;;
Routenpunkt (Way);T;;50.083069;8.679775;30.0;;;;;;Interpoliert (15m);128.5;-3.02;;;
Routenpunkt (Way);T;Bischofsweg;50.083132;8.679635;30.0;;;;;;Interpoliert;128.0;-3.68;;;
Routenpunkt (Way);T;Bischofsweg;50.083194;8.679459;30.0;;;;;;Interpoliert;127.5;-4.1;;;
Routenpunkt (Way);T;Bischofsweg;50.083235;8.679335;30.0;;;;;;Original OSM;127.0;-4.34;;;
Routenpunkt (Way);T;Bischofsweg;50.083266;8.679156;30.0;;;;;;Interpoliert;126.5;-3.51;;;
Routenpunkt (Way);T;Bischofsweg;50.083297;8.678977;30.0;;;;;;Original OSM;125.8;-4.15;;;
Haltestelle;W;F Lerchesbergring;50.083297;8.678977;30.0;12:47:00;12:47:00;Kein Umlauf;So;1372.0;Original GTFS (Snap-Distanz 0m) | Auf Route gesnappt (0m);125.1;-6.07;;;
Routenpunkt (Way);T;Bischofsweg;50.083317;8.678834;30.0;;;;;;Interpoliert;124.4;-8.24;;;
Routenpunkt (Way);T;;50.083331;8.678731;30.0;;;;;;Interpoliert (15m);123.3;-8.88;;;
Routenpunkt (Way);T;Bischofsweg;50.083345;8.678627;30.0;;;;;;Original OSM;122.2;-10.59;;;
Routenpunkt (Way);T;;50.083357;8.678497;30.0;;;;;;Interpoliert (15m);121.4;-10.38;;;
Routenpunkt (Way);T;Bischofsweg;50.08337;8.678367;30.0;;;;;;Interpoliert;120.6;-9.09;;;
Routenpunkt (Way);T;Bischofsweg;50.083386;8.678171;30.0;;;;;;Interpoliert;119.8;-7.8;;;
Routenpunkt (Way);T;;50.083413;8.677986;30.0;;;;;;Interpoliert (15m);118.7;-7.57;;;
Routenpunkt (Way);T;Bischofsweg;50.08344;8.677802;30.0;;;;;;Original OSM;117.6;-7.34;;;
Routenpunkt (Way);T;;50.083474;8.67768;30.0;;;;;;Interpoliert (15m);116.9;-7.5;;;
Routenpunkt (Way);T;Bischofsweg;50.083508;8.677558;30.0;;;;;;Interpoliert;116.2;-6.61;;;
Routenpunkt (Way);T;Bischofsweg;50.083552;8.677422;30.0;;;;;;Interpoliert;115.5;-5.62;;;
Routenpunkt (Way);T;Bischofsweg;50.083595;8.677287;30.0;;;;;;Original OSM;115.1;-4.78;;;
Routenpunkt (Way);T;Bischofsweg;50.083643;8.677127;30.0;;;;;;Interpoliert;114.7;-3.95;;;
Routenpunkt (Way);T;Bischofsweg;50.083691;8.676968;30.0;;;;;;Interpoliert;114.3;-3.29;;;
Routenpunkt (Way);T;Bischofsweg;50.083739;8.676808;30.0;;;;;;Interpoliert;113.9;-2.71;;;
Routenpunkt (Way);T;Bischofsweg;50.083786;8.676649;30.0;;;;;;Interpoliert;113.5;-2.39;;;
Routenpunkt (Way);T;Bischofsweg;50.083834;8.676489;30.0;;;;;;Interpoliert;113.4;-2.06;;;
