Typ;Type;Name;Latitude;Longitude;Tempolimit;Ankunft;Abfahrt;Block_ID;Betriebstage;Service_ID;Details;Altitude (m);Roadgrade (%);Surface;Highway_Type;OSM_Name
Routenpunkt (Way);T;Unbekannt;49.40969;8.692862;50.0;;;;;;Original OSM;120.0;0.0;;;
Haltestelle;W;Heidelberg, Bismarckplatz;49.40969;8.692862;50.0;25:08:00;25:08:00;Kein Umlauf;Sa,So;1000.0;Original GTFS (Snap-Distanz 32m) | Auf Route gesnappt (12m);120.0;0.0;;;
Routenpunkt (Way);T;;49.4096;8.692814;50.0;;;;;;Interpoliert (15m);120.0;0.0;;;
Routenpunkt (Way);T;Unbekannt;49.40951;8.692766;50.0;;;;;;Original OSM;120.0;0.62;;;
Routenpunkt (Way);T;;49.409428;8.692723;50.0;;;;;;Interpoliert (15m);120.0;1.35;;;
Ampel;A;Ampel;49.409345;8.69268;50.0;;;;;;Original OSM;120.3;1.96;;;
Routenpunkt (Way);T;Bismarckstraße;49.409282;8.692621;50.0;;;;;;Original OSM;120.6;1.96;;;
Ampel;A;Ampel;49.409206;8.692555;50.0;;;;;;Original OSM;120.9;2.48;;;
Routenpunkt (Way);T;Bismarckstraße;49.409206;8.692555;50.0;;;;;;Original OSM;121.2;2.37;;;
Routenpunkt (Way);T;;49.409108;8.692494;50.0;;;;;;Interpoliert (15m);121.5;2.16;;;
Routenpunkt (Way);T;Bismarckstraße;49.40901;8.692433;50.0;;;;;;Original OSM;121.8;2.07;;;
Routenpunkt (Way);T;;49.408907;8.692421;50.0;;;;;;Interpoliert (15m);122.1;1.67;;;
Ampel;A;Ampel;49.408804;8.69241;50.0;;;;;;Original OSM;122.4;1.16;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.408715;8.69242;50.0;;;;;;Original OSM;122.2;-0.06;;;
Routenpunkt (Way);T;;49.408639;8.692429;50.0;;;;;;Interpoliert (15m);122.2;-1.03;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.408563;8.692437;50.0;;;;;;Original OSM;121.9;-2.01;;;
Ampel;A;Ampel;49.408442;8.692451;50.0;;;;;;Original OSM;121.6;-2.26;;;
Routenpunkt (Way);T;Rohrbacher Straße;49.408323;8.692465;50.0;;;;;;Original OSM;121.3;-2.9;;;
Routenpunkt (Way);T;;49.408244;8.692503;50.0;;;;;;Interpoliert (15m);121.0;-2.85;;;
Routenpunkt (Way);T;Unbekannt;49.408165;8.692542;50.0;;;;;;Original OSM;120.7;-3.06;;;
Routenpunkt (Way);T;;49.408085;8.69257;50.0;;;;;;Interpoliert (15m);120.4;-3.41;;;
Routenpunkt (Way);T;Unbekannt;49.408005;8.692599;50.0;;;;;;Original OSM;120.1;-2.76;;;
Routenpunkt (Way);T;;49.407937;8.692609;50.0;;;;;;Interpoliert (15m);119.8;-2.88;;;
Routenpunkt (Way);T;Unbekannt;49.40787;8.692619;50.0;;;;;;Interpoliert;119.8;-2.98;;;
Routenpunkt (Way);T;;49.407752;8.692613;50.0;;;;;;Interpoliert (15m);119.3;-3.09;;;
Routenpunkt (Way);T;;49.407635;8.692606;50.0;;;;;;Interpoliert (15m);118.8;-3.06;;;
Routenpunkt (Way);T;;49.407517;8.6926;50.0;;;;;;Interpoliert (15m);118.3;-3.83;;;
Routenpunkt (Way);T;Unbekannt;49.4074;8.692594;50.0;;;;;;Original OSM;117.8;-3.83;;;
Routenpunkt (Way);T;;49.407337;8.692443;50.0;;;;;;Interpoliert (15m);117.3;-3.84;;;
Routenpunkt (Way);T;;49.407273;8.692292;50.0;;;;;;Interpoliert (15m);116.8;-3.76;;;
Routenpunkt (Way);T;Unbekannt;49.40721;8.692141;50.0;;;;;;Interpoliert;116.3;-3.68;;;
Routenpunkt (Way);T;Unbekannt;49.407175;8.691948;50.0;;;;;;Interpoliert;115.8;-3.35;;;
Routenpunkt (Way);T;Unbekannt;49.40714;8.691754;50.0;;;;;;Interpoliert;115.3;-2.58;;;
Routenpunkt (Way);T;Unbekannt;49.407098;8.691574;50.0;;;;;;Interpoliert;115.0;-1.81;;;
